ID,Age_weeks,Date,Time_weighed,Time_weighed_fraction,Time_weighed_hours,Weight,Species,Sex,Diet,Eclosion_weight,FW_length,Longevity
HL1,3.0,2022-04-01,10:52:00,0.4528,10.87,0.175,Hecale,F,PF,0.142,37,119
HL2,3.0,2022-04-06,13:17:00,0.5535,13.28,0.16,Hecale,F,PF,0.154,37,69
HL4,1.0,2022-04-11,12:57:00,0.5396,12.95,0.213,Hecale,F,PF,0.284,39,87
HL1,5.0,2022-04-15,14:30:00,0.6042,14.5,0.161,Hecale,F,PF,0.142,37,119
HL10,1.0,2022-04-15,14:30:00,0.6042,14.5,0.18,Hecale,F,PF,0.203,39,41
HL11,1.0,2022-04-15,14:30:00,0.6042,14.5,0.278,Hecale,F,PF,0.31,43,55
HL12,1.0,2022-04-15,14:30:00,0.6042,14.5,0.108,Hecale,M,PF,0.134,37,76
HL13,1.0,2022-04-15,14:30:00,0.6042,14.5,0.192,Hecale,M,PF,0.286,40,81
HL5,1.0,2022-04-15,14:30:00,0.6042,14.5,0.176,Hecale,M,PF,0.211,40,83
HL6,1.0,2022-04-15,14:30:00,0.6042,14.5,0.248,Hecale,F,PF,0.228,43,50
HL7,1.0,2022-04-15,14:30:00,0.6042,14.5,0.168,Hecale,F,PF,0.182,40,119
HL8,1.0,2022-04-15,14:30:00,0.6042,14.5,0.224,Hecale,F,PF,0.179,40,77
HL9,1.0,2022-04-15,14:30:00,0.6042,14.5,0.186,Hecale,F,PF,0.189,41,52
HL14,1.0,2022-04-18,12:54:00,0.5375,12.9,0.233,Hecale,F,PF,0.213,40,63
HL15,1.0,2022-04-18,12:54:00,0.5375,12.9,0.244,Hecale,M,PF,0.27,47,86
HL2,5.0,2022-04-20,12:34:00,0.5236,12.57,0.191,Hecale,F,PF,0.154,37,69
HL17,1.0,2022-04-20,12:34:00,0.5236,12.57,0.135,Hecale,M,PF,0.171,39,77
