ID,Age_weeks,Date,Time_assayed,Time_assayed_fraction,Time_assayed_hours,Weight,GS1,GS2,GS3,GS4,GS5,Max_GS,Species,Sex,Diet,Eclosion_weight,FW_length,Longevity
HL1,1,2022-03-18,,,,,,,,,,,Hecale,F,PF,0.142,37,119
HL2,1,2022-03-23,,,,,,,,,,,Hecale,F,PF,0.154,37,69
HL1,3,2022-04-01,10:52:00,0.4528,10.87,0.175,,,,,,,Hecale,F,PF,0.142,37,119
HL2,3,2022-04-06,13:17:00,0.5535,13.28,0.16,,,,,,,Hecale,F,PF,0.154,37,69
HL4,1,2022-04-11,12:57:00,0.5396,12.95,0.213,,,,,,,Hecale,F,PF,0.284,39,87
HL1,5,2022-04-15,14:30:00,0.6042,14.5,0.161,1.465,1.422,1.019,1.005,0.858,1.465,Hecale,F,PF,0.142,37,119
HL10,1,2022-04-15,14:30:00,0.6042,14.5,0.18,0.675,1.509,0.89,1.975,2.218,2.218,Hecale,F,PF,0.203,39,41
HL11,1,2022-04-15,14:30:00,0.6042,14.5,0.278,2.15,1.049,1.423,1.456,1.683,2.15,Hecale,F,PF,0.31,43,55
HL12,1,2022-04-15,14:30:00,0.6042,14.5,0.108,0.751,2.502,2.122,1.44,1.693,2.502,Hecale,M,PF,0.134,37,76
HL13,1,2022-04-15,14:30:00,0.6042,14.5,0.192,1.642,1.341,2.229,1.119,3.118,3.118,Hecale,M,PF,0.286,40,81
HL5,1,2022-04-15,14:30:00,0.6042,14.5,0.176,1.778,1.723,2.064,2.142,2.627,2.627,Hecale,M,PF,0.211,40,83
HL6,1,2022-04-15,14:30:00,0.6042,14.5,0.248,1.395,1.123,1.771,1.768,2.124,2.124,Hecale,F,PF,0.228,43,50
HL7,1,2022-04-15,14:30:00,0.6042,14.5,0.168,1.802,1.707,1.321,1.582,2.235,2.235,Hecale,F,PF,0.182,40,119
HL8,1,2022-04-15,14:30:00,0.6042,14.5,0.224,1.156,0.854,0.738,1.878,2.092,2.092,Hecale,F,PF,0.179,40,77
HL9,1,2022-04-15,14:30:00,0.6042,14.5,0.186,0.522,1.409,1.928,1.522,1.072,1.928,Hecale,F,PF,0.189,41,52
HL14,1,2022-04-18,12:54:00,0.5375,12.9,0.233,1.616,2.252,1.786,4.033,0.598,4.033,Hecale,F,PF,0.213,40,63
HL15,1,2022-04-18,12:54:00,0.5375,12.9,0.244,1.67,1.958,2.132,2.299,2.799,2.799,Hecale,M,PF,0.27,47,86
HL16,1,2022-04-18,12:54:00,0.5375,12.9,0.215,2.569,1.637,1.5,1.693,1.902,2.569,Hecale,F,PF,0.118,40,59
HL2,5,2022-04-20,12:34:00,0.5236,12.57,0.191,2.756,1.206,1.539,1.676,1.565,2.756,Hecale,F,PF,0.154,37,69
HL17,1,2022-04-20,12:34:00,0.5236,12.57,0.135,0.928,1.283,1.608,1.056,1.288,1.608,Hecale,M,PF,0.171,39,77
HL18,1,2022-04-20,12:34:00,0.5236,12.57,0.163,1.195,1.414,1.719,1.836,2.737,2.737,Hecale,M,PF,0.192,40,77
HL19,1,2022-04-20,12:34:00,0.5236,12.57,0.155,1.918,2.246,2.933,1.157,1.828,2.933,Hecale,M,PF,0.191,40,54
HL24,1,2022-04-22,,,,,,,,,,,Hecale,F,PF,0.166,40,112
HL27,1,2022-04-22,12:44:00,0.5306,12.73,0.17,1.647,1.3,1.465,1.548,1.426,1.647,Hecale,F,PD,0.145,37,52
HL23,1,2022-04-22,12:04:00,0.5028,12.07,0.176,0.833,1.055,0.271,1.503,1.132,1.503,Hecale,M,PD,0.209,44,11
HL25,1,2022-04-22,12:04:00,0.5028,12.07,0.154,0.365,0.559,0.643,0.292,1.355,1.355,Hecale,M,PD,0.162,39,47
HL26,1,2022-04-22,12:04:00,0.5028,12.07,0.166,0.732,0.047,0.722,1.139,1.017,1.139,Hecale,M,PD,0.2,42,11
HL29,1,2022-04-22,12:04:00,0.5028,12.07,0.157,0.35,0.868,0.984,0.709,0.658,0.984,Hecale,M,PD,0.179,38,10
HL21,1,2022-04-22,12:04:00,0.5028,12.07,0.244,1.151,3.007,2.116,2.627,1.666,3.007,Hecale,M,PF,0.247,46,96
HL4,3,2022-04-25,13:00:00,0.5417,13.0,0.206,0.212,0.743,1.203,0.73,0.902,1.203,Hecale,F,PF,0.284,39,87
HL30,1,2022-04-25,13:00:00,0.5417,13.0,0.14,0.953,0.979,0.988,1.668,0.989,1.668,Hecale,M,PF,0.153,40,29
HL31,1,2022-04-25,13:00:00,0.5417,13.0,0.206,0.439,1.446,1.517,1.545,0.828,1.545,Hecale,F,PD,0.181,40,42
HL34,1,2022-04-25,13:00:00,0.5417,13.0,0.154,0.921,0.82,1.209,1.018,0.879,1.209,Hecale,M,PD,0.162,41,8
HL32,1,2022-04-25,13:00:00,0.5417,13.0,0.217,1.139,1.366,1.539,1.516,1.871,1.871,Hecale,F,PD,0.181,41,57
HL33,1,2022-04-27,,,0.0,,,,,,,,Hecale,M,PF,0.232,43,78
HL35,1,2022-04-27,12:30:00,0.5208,12.5,0.182,0.758,0.667,1.507,0.78,0.94,1.507,Hecale,F,PD,0.164,40,76
HL12,3,2022-04-29,12:36:00,0.525,12.6,0.122,2.013,1.55,1.67,1.753,1.812,2.013,Hecale,M,PF,0.134,37,76
HL5,3,2022-04-29,12:36:00,0.525,12.6,0.18,2.966,1.955,4.245,2.276,1.305,4.245,Hecale,M,PF,0.211,40,83
HL13,3,2022-04-29,12:36:00,0.525,12.6,0.19,1.772,3.315,3.306,1.666,3.009,3.315,Hecale,M,PF,0.286,40,81
HL8,3,2022-04-29,13:02:00,0.5431,13.03,0.188,1.53,2.293,2.684,2.903,2.948,2.948,Hecale,F,PF,0.179,40,77
HL6,3,2022-04-29,13:02:00,0.5431,13.03,0.253,4.335,3.564,2.016,2.138,2.279,4.335,Hecale,F,PF,0.228,43,50
HL1,7,2022-04-29,13:02:00,0.5431,13.03,0.146,2.202,2.252,1.924,2.13,1.797,2.252,Hecale,F,PF,0.142,37,119
HL10,3,2022-04-29,13:02:00,0.5431,13.03,0.184,1.318,1.352,1.278,1.295,2.149,2.149,Hecale,F,PF,0.203,39,41
HL11,3,2022-04-29,13:02:00,0.5431,13.03,0.278,2.55,3.051,1.646,2.677,2.996,3.051,Hecale,F,PF,0.31,43,55
HL9,3,2022-04-29,13:02:00,0.5431,13.03,0.183,2.278,2.333,2.649,1.08,2.043,2.649,Hecale,F,PF,0.189,41,52
HL7,3,2022-04-29,13:02:00,0.5431,13.03,0.198,2.464,2.736,2.098,2.443,1.238,2.736,Hecale,F,PF,0.182,40,119
HL36,1,2022-05-02,13:02:00,0.5431,13.03,0.272,1.347,1.715,1.179,2.112,2.014,2.112,Hecale,F,PD,0.252,44,32
HL14,3,2022-05-02,13:02:00,0.5431,13.03,0.234,1.735,1.721,1.744,1.742,1.01,1.744,Hecale,F,PF,0.213,40,63
HL16,3,2022-05-02,13:02:00,0.5431,13.03,0.21,1.303,1.34,1.364,1.039,2.613,2.613,Hecale,F,PF,0.118,40,59
HL15,3,2022-05-02,13:02:00,0.5431,13.03,0.305,2.757,1.426,1.487,1.944,1.063,2.757,Hecale,M,PF,0.27,47,86
HL42,1,2022-05-04,13:30:00,0.5625,13.5,0.175,1.185,0.768,0.91,1.267,1.644,1.644,Hecale,M,PD,0.218,41,19
HL19,3,2022-05-04,13:30:00,0.5625,13.5,0.161,1.472,1.75,0.943,0.575,2.13,2.13,Hecale,M,PF,0.191,40,54
HL18,3,2022-05-04,13:30:00,0.5625,13.5,0.149,1.253,0.845,1.519,1.425,1.249,1.519,Hecale,M,PF,0.192,40,77
HL40,1,2022-05-04,13:30:00,0.5625,13.5,0.181,1.723,3.098,1.699,1.461,1.501,3.098,Hecale,M,PD,0.204,44,38
HL17,3,2022-05-04,13:30:00,0.5625,13.5,0.126,1.311,1.475,0.945,0.681,1.003,1.475,Hecale,M,PF,0.171,39,77
HL45,1,2022-05-04,13:30:00,0.5625,13.5,0.251,1.34,0.996,1.097,1.513,1.633,1.633,Hecale,F,PD,0.248,45,106
HL38,1,2022-05-04,13:30:00,0.5625,13.5,0.281,1.928,2.318,3.226,3.304,2.404,3.304,Hecale,F,PD,0.264,45,76
HL2,7,2022-05-04,13:30:00,0.5625,13.5,0.136,0.753,1.22,1.784,2.36,1.941,2.36,Hecale,F,PF,0.154,37,69
HL48,1,2022-05-06,13:15:00,0.5521,13.25,0.139,0.464,0.637,0.532,0.46,0.571,0.637,Hecale,F,PD,0.135,33,40
HL21,3,2022-05-06,13:15:00,0.5521,13.25,0.241,1.469,1.739,1.444,2.818,1.312,2.818,Hecale,M,PF,0.247,46,96
HL47,1,2022-05-06,13:15:00,0.5521,13.25,0.248,1.262,0.645,0.879,0.999,1.148,1.262,Hecale,F,PD,0.289,40,74
HL43,1,2022-05-06,13:15:00,0.5521,13.25,0.226,0.491,0.58,0.636,1.016,2.331,2.331,Hecale,F,PD,0.18,42,20
HL24,3,2022-05-06,13:15:00,0.5521,13.25,0.156,0.716,0.448,1.62,1.113,0.604,1.62,Hecale,F,PF,0.166,40,112
HL27,3,2022-05-06,13:15:00,0.5521,13.25,0.126,0.52,0.663,0.639,0.276,0.328,0.663,Hecale,F,PD,0.145,37,52
HL50,1,2022-05-06,13:15:00,0.5521,13.25,0.248,1.588,0.869,1.214,1.105,0.521,1.588,Hecale,M,PD,0.303,45,66
HL49,1,2022-05-06,13:15:00,0.5521,13.25,0.153,0.872,0.338,0.641,0.898,0.4,0.898,Hecale,M,PD,0.238,40,16
HL44,1,2022-05-06,13:15:00,0.5521,13.25,0.147,0.904,0.59,1.002,0.791,1.429,1.429,Hecale,M,PD,0.183,40,21
HL25,3,2022-05-06,13:15:00,0.5521,13.25,0.129,0.442,0.276,0.403,0.627,0.937,0.937,Hecale,M,PD,0.162,39,47
HL52,1,2022-05-09,12:32:00,0.5222,12.53,0.181,1.249,1.348,1.769,2.039,1.421,2.039,Hecale,M,PD,0.208,44,38
HL30,3,2022-05-09,12:32:00,0.5222,12.53,0.13,1.779,0.692,1.664,1.447,1.509,1.779,Hecale,M,PF,0.153,40,29
HL31,3,2022-05-09,12:32:00,0.5222,12.53,0.189,1.737,1.346,1.564,1.196,1.279,1.737,Hecale,F,PD,0.181,40,42
HL32,3,2022-05-09,12:32:00,0.5222,12.53,0.179,3.216,1.912,2.035,1.744,1.615,3.216,Hecale,F,PD,0.181,41,57
HL4,5,2022-05-09,12:32:00,0.5222,12.53,0.211,1.382,1.736,1.479,2.017,2.117,2.117,Hecale,F,PF,0.284,39,87
HL35,3,2022-05-11,13:06:00,0.5458,13.1,0.184,1.35,0.528,1.067,0.757,0.633,1.35,Hecale,F,PD,0.164,40,76
HL33,3,2022-05-11,13:06:00,0.5458,13.1,0.212,0.737,1.23,1.298,1.188,0.77,1.298,Hecale,M,PF,0.232,43,78
