ID,Age_weeks,Date,FW_apex,UV,Lux,Time_assayed_1,Time_assayed_fraction_1,Alightments_1,Time_active_1,Distance_1,Time_assayed_2,Time_assayed_fraction_2,Alightments_2,Time_active_2,Distance_2,Raining,Noisy,Lux_scaled,UV_scaled,Time_assayed_fraction_mean,Alightments_mean,Time_active_mean,Distance_mean,Time_assayed_max,Time_assayed_fraction_max,Alightments_max,Time_active_max,Distance_max,Species,Sex,Diet,Eclosion_weight,FW_length,Longevity,Time_active_max_prop,Distance_max_prop
HL1,3,2022-04-01,TRUE,4.8,13990,09:22:00,0.3903,1,0.9,43,09:27:00,0.3938,1,11.21,130.0,FALSE,FALSE,0.34169619700043424,-1.0222385371891616,0.39205,1.0,6.055000000000001,86.5,09:27:00,0.3938,1,11.21,130.0,Hecale,F,PF,0.142,37,119,0.24911111111111112,0.1
HL2,3,2022-04-06,TRUE,6.5,41500,10:35:00,0.441,1,19.69,1300,10:40:00,0.4444,1,16.19,910.0,FALSE,FALSE,3.3461021591433933,0.39507888697430593,0.4427,1.0,17.94,1105.0,10:35:00,0.441,1,19.69,1300.0,Hecale,F,PF,0.154,37,69,0.4375555555555556,1.0
HL4,1,2022-04-11,TRUE,6.0,6050,10:49:00,0.4507,0,45.0,171,10:56:00,0.4556,1,44.65,0.0,FALSE,FALSE,-0.5254424194813939,-0.021779178956125616,0.45315,0.5,44.825,85.5,10:49:00,0.4507,0,45.0,171.0,Hecale,F,PF,0.284,39,87,1.0,0.13153846153846155
HL1,5,2022-04-15,TRUE,5.6,11050,10:46:00,0.4486,1,5.76,124,11:02:00,0.4597,1,16.82,5.0,FALSE,FALSE,0.02061464379431649,-0.35526563170047115,0.45415,1.0,11.29,64.5,11:02:00,0.4597,1,16.82,5.0,Hecale,F,PF,0.142,37,119,0.37377777777777776,0.0038461538461538464
HL10,1,2022-04-15,TRUE,6.0,11020,11:46:00,0.4903,2,2.96,186,12:05:00,0.5035,1,2.5,94.0,FALSE,FALSE,0.017338301414662225,-0.021779178956125616,0.4969,1.5,2.73,140.0,11:46:00,0.4903,2,2.96,186.0,Hecale,F,PF,0.203,39,41,0.06577777777777778,0.14307692307692307
HL11,1,2022-04-15,TRUE,6.0,11020,11:49:00,0.4924,1,3.66,0,12:08:00,0.5056,1,2.32,123.0,FALSE,FALSE,0.017338301414662225,-0.021779178956125616,0.499,1.0,2.99,61.5,11:49:00,0.4924,1,3.66,0.0,Hecale,F,PF,0.31,43,55,0.08133333333333334,0.0
HL12,1,2022-04-15,TRUE,6.0,11020,12:02:00,0.5014,1,2.27,58,12:20:00,0.5139,1,12.82,1210.0,FALSE,FALSE,0.017338301414662225,-0.021779178956125616,0.5076499999999999,1.0,7.545,634.0,12:20:00,0.5139,1,12.82,1210.0,Hecale,M,PF,0.134,37,76,0.2848888888888889,0.9307692307692308
HL13,1,2022-04-15,TRUE,6.0,11020,11:53:00,0.4951,1,25.41,798,12:14:00,0.5097,1,1.46,45.0,FALSE,FALSE,0.017338301414662225,-0.021779178956125616,0.5024,1.0,13.435,421.5,11:53:00,0.4951,1,25.41,798.0,Hecale,M,PF,0.286,40,81,0.5646666666666667,0.6138461538461538
HL5,1,2022-04-15,TRUE,6.0,11020,11:57:00,0.4979,1,2.68,36,12:17:00,0.5118,1,1.5,92.0,FALSE,FALSE,0.017338301414662225,-0.021779178956125616,0.50485,1.0,2.09,64.0,11:57:00,0.4979,1,2.68,36.0,Hecale,M,PF,0.211,40,83,0.059555555555555556,0.027692307692307693
HL6,1,2022-04-15,TRUE,5.6,11050,10:43:00,0.4465,1,32.86,1253,10:58:00,0.4569,1,20.21,1224.0,FALSE,FALSE,0.02061464379431649,-0.35526563170047115,0.4517,1.0,26.535,1238.5,10:43:00,0.4465,1,32.86,1253.0,Hecale,F,PF,0.228,43,50,0.7302222222222222,0.9638461538461538
HL7,1,2022-04-15,TRUE,5.6,11050,10:48:00,0.45,2,29.36,1087,11:05:00,0.4618,1,32.94,1164.0,FALSE,FALSE,0.02061464379431649,-0.35526563170047115,0.45589999999999997,1.5,31.15,1125.5,11:05:00,0.4618,1,32.94,1164.0,Hecale,F,PF,0.182,40,119,0.732,0.8953846153846153
HL8,1,2022-04-15,TRUE,5.6,11050,10:34:00,0.4403,1,38.79,409,10:55:00,0.4549,1,12.07,437.0,FALSE,FALSE,0.02061464379431649,-0.35526563170047115,0.4476,1.0,25.43,423.0,10:34:00,0.4403,1,38.79,409.0,Hecale,F,PF,0.179,40,77,0.862,0.31461538461538463
HL9,1,2022-04-15,TRUE,6.0,11020,11:51:00,0.4938,1,4.38,104,12:11:00,0.5076,4,18.55,987.0,FALSE,FALSE,0.017338301414662225,-0.021779178956125616,0.5007,2.5,11.465,545.5,12:11:00,0.5076,4,18.55,987.0,Hecale,F,PF,0.189,41,52,0.4122222222222222,0.7592307692307693
HL14,1,2022-04-18,TRUE,5.6,13800,10:40:00,0.4444,1,30.37,1216,10:51:00,0.4521,2,33.15,1075.0,FALSE,FALSE,0.3209460285959572,-0.35526563170047115,0.44825000000000004,1.5,31.759999999999998,1145.5,10:51:00,0.4521,2,33.15,1075.0,Hecale,F,PF,0.213,40,63,0.7366666666666666,0.8269230769230769
HL15,1,2022-04-18,TRUE,5.6,13800,10:45:00,0.4479,4,23.74,699,10:55:00,0.4549,1,2.33,330.0,FALSE,FALSE,0.3209460285959572,-0.35526563170047115,0.4514,2.5,13.035,514.5,10:45:00,0.4479,4,23.74,699.0,Hecale,M,PF,0.27,47,86,0.5275555555555556,0.5376923076923077
HL16,1,2022-04-18,TRUE,5.6,13800,10:37:00,0.4424,1,24.34,1300,10:48:00,0.45,1,16.56,678.0,FALSE,FALSE,0.3209460285959572,-0.35526563170047115,0.44620000000000004,1.0,20.45,989.0,10:37:00,0.4424,1,24.34,1300.0,Hecale,F,PF,0.118,40,59,0.5408888888888889,1.0
HL18,1,2022-04-20,TRUE,6.2,10200,10:36:00,0.4417,2,37.81,1124,10:48:00,0.45,1,2.31,98.0,FALSE,FALSE,-0.07221505696255429,0.14496404741604715,0.44584999999999997,1.5,20.060000000000002,611.0,10:36:00,0.4417,2,37.81,1124.0,Hecale,M,PF,0.192,40,77,0.8402222222222223,0.8646153846153846
HL17,1,2022-04-20,TRUE,6.2,10200,10:28:00,0.4361,1,26.15,1300,10:39:00,0.4438,1,37.95,1300.0,FALSE,FALSE,-0.07221505696255429,0.14496404741604715,0.43994999999999995,1.0,32.05,1300.0,10:39:00,0.4438,1,37.95,1300.0,Hecale,M,PF,0.171,39,77,0.8433333333333334,1.0
HL19,1,2022-04-20,TRUE,6.2,10200,10:30:00,0.4375,1,20.63,1114,10:42:00,0.4458,1,14.93,902.0,FALSE,FALSE,-0.07221505696255429,0.14496404741604715,0.44165,1.0,17.78,1008.0,10:30:00,0.4375,1,20.63,1114.0,Hecale,M,PF,0.191,40,54,0.45844444444444443,0.8569230769230769
HL2,5,2022-04-20,TRUE,6.2,10200,10:33:00,0.4396,1,17.65,1191,10:45:00,0.4479,1,19.51,55.0,FALSE,FALSE,-0.07221505696255429,0.14496404741604715,0.44375,1.0,18.58,623.0,10:45:00,0.4479,1,19.51,55.0,Hecale,F,PF,0.154,37,69,0.4335555555555556,0.04230769230769231
HL27,1,2022-04-22,TRUE,8.5,30900,10:45:00,0.4479,2,26.81,399,10:50:00,0.4514,1,16.61,996.0,FALSE,TRUE,2.188461184998887,2.0625111506960323,0.44965,1.5,21.71,697.5,10:45:00,0.4479,2,26.81,399.0,Hecale,F,PD,0.145,37,52,0.5957777777777777,0.3069230769230769
HL23,1,2022-04-22,TRUE,8.5,2680,11:20:00,0.4722,1,16.31,615,11:39:00,0.4854,1,7.16,335.0,FALSE,TRUE,-0.8934848801292228,2.0625111506960323,0.4788,1.0,11.735,475.0,11:20:00,0.4722,1,16.31,615.0,Hecale,M,PD,0.209,44,11,0.3624444444444444,0.47307692307692306
