ID,Species_specific,Species,Sex,Eclosed,Released,Max_age,Last.sighted,Death,Notes
Eu1,Eueides isabella,E_isabella,F,2022-02-25,2022-02-26,21,2022-03-18,,
Eu2,Eueides isabella,E_isabella,F,2022-02-26,2022-02-26,,#N/A,,
Eu3,Eueides isabella,E_isabella,M,2022-02-28,2022-02-28,,#N/A,,
Eu4,Eueides isabella,E_isabella,M,2022-03-01,2022-03-01,,#N/A,,
E1,Erato demophoon,H_erato,M,2022-03-02,2022-03-02,,#N/A,,labelled A1
E2,Erato demophoon,H_erato,M,2022-03-02,2022-03-02,,#N/A,,labelled A2
Eu5,Eueides isabella,E_isabella,M,2022-03-02,2022-03-02,50,2022-04-21,,
Eu6,Eueides isabella,E_isabella,F,2022-03-03,2022-03-03,,#N/A,,
Eu7,Eueides isabella,E_isabella,M,2022-03-03,2022-03-03,,#N/A,,
Eu8,Eueides isabella,E_isabella,M,2022-03-03,2022-03-03,,#N/A,,
Eu9,Eueides isabella,E_isabella,F,2022-03-04,2022-03-04,,#N/A,,
Eu10,Eueides isabella,E_isabella,F,2022-03-07,2022-03-07,,#N/A,,
Eu11,Eueides isabella,E_isabella,M,2022-03-07,2022-03-07,,#N/A,,
Eu12,Eueides isabella,E_isabella,F,2022-03-07,2022-03-07,,#N/A,,
Eu13,Eueides isabella,E_isabella,F,2022-03-07,2022-03-07,,#N/A,,
Eu14,Eueides isabella,E_isabella,F,2022-03-07,2022-03-07,,#N/A,,
Eu15,Eueides isabella,E_isabella,F,2022-03-07,2022-03-07,,#N/A,,
Eu16,Eueides isabella,E_isabella,M,2022-03-07,2022-03-07,,#N/A,,
R2,Melpomene rosina,H_melpomene,M,2022-03-08,2022-03-09,50,2022-04-27,,
R1,Melpomene rosina,H_melpomene,M,2022-03-09,2022-03-09,79,2022-05-27,,
Di1,Dione juno,D_juno,M,2022-03-10,2022-03-10,,#N/A,,
Di2,Dione juno,D_juno,F,2022-03-10,2022-03-10,,#N/A,,
Di3,Dione juno,D_juno,M,2022-03-10,2022-03-10,,#N/A,,
Di4,Dione juno,D_juno,F,2022-03-10,2022-03-10,,#N/A,,
Di10,Dione juno,D_juno,M,2022-03-11,2022-03-11,,#N/A,,
Di11,Dione juno,D_juno,F,2022-03-11,2022-03-11,,#N/A,,
Di12,Dione juno,D_juno,F,2022-03-11,2022-03-11,,#N/A,,
Di13,Dione juno,D_juno,F,2022-03-11,2022-03-11,,#N/A,,
Di14,Dione juno,D_juno,F,2022-03-11,2022-03-11,,#N/A,,
Di15,Dione juno,D_juno,M,2022-03-11,2022-03-11,,#N/A,,
Di16,Dione juno,D_juno,M,2022-03-11,2022-03-11,,#N/A,,
Di5,Dione juno,D_juno,M,2022-03-11,2022-03-11,,#N/A,,
Di6,Dione juno,D_juno,M,2022-03-11,2022-03-11,,#N/A,,
Di7,Dione juno,D_juno,F,2022-03-11,2022-03-11,,#N/A,,
Di8,Dione juno,D_juno,F,2022-03-11,2022-03-11,,#N/A,,
Di9,Dione juno,D_juno,M,2022-03-11,2022-03-11,,#N/A,,
Eu17,Eueides isabella,E_isabella,F,2022-03-11,2022-03-11,3,#N/A,2022-03-14,
R3,Melpomene rosina,H_melpomene,M,2022-03-11,2022-03-11,,#N/A,,
Di17,Dione juno,D_juno,F,2022-03-13,2022-03-11,,#N/A,,
Di18,Dione juno,D_juno,F,2022-03-13,2022-03-11,,#N/A,,
Di19,Dione juno,D_juno,F,2022-03-13,2022-03-11,2,2022-03-15,,
Di20,Dione juno,D_juno,F,2022-03-13,2022-03-11,4,2022-03-17,,
Di21,Dione juno,D_juno,M,2022-03-13,2022-03-11,1,2022-03-14,,
Di22,Dione juno,D_juno,F,2022-03-16,2022-03-17,,#N/A,,
Di23,Dione juno,D_juno,M,2022-03-16,2022-03-17,,#N/A,,
Di24,Dione juno,D_juno,M,2022-03-16,2022-03-17,5,2022-03-21,,
Di25,Dione juno,D_juno,F,2022-03-16,2022-03-17,2,2022-03-18,,
Di26,Dione juno,D_juno,F,2022-03-16,2022-03-17,,#N/A,,
Di27,Dione juno,D_juno,M,2022-03-16,2022-03-17,,#N/A,,
Do1,Doris,H_doris,F,2022-03-17,2022-03-17,,#N/A,,Panama
Di28,Dione juno,D_juno,F,2022-03-18,2022-03-18,,#N/A,,Ecuador
