Species,Species_abbrev,Feeding_habit,Max_lifespan
Agraulis vanillae,A. vanillae,NPF,60.0
Dione juno,D. juno,NPF,14.0
Dryadula phaetusa,D. phaetusa,NPF,85.0
Dryas iulia,D. iulia,NPF,98.0
Eueides isabella,E. isabella,NPF,45.0
Heliconius atthis,H. atthis,PF,210.0
Heliconius charitonia,H. charithonia,PF,184.0
Heliconius clysonymus,H. clysonymus,PF,156.0
Heliconius cydno,H. cydno,PF,244.0
Heliconius doris,H. doris,PF,69.0
Heliconius eleuchia,H. eleuchia,PF,86.0
Heliconius erato,H. erato,PF,274.0
Heliconius ethilla,H. ethilla,PF,162.0
Heliconius hecale,H. hecale,PF,277.0
Heliconius hecalesia,H. hecalesia,PF,89.0
Heliconius hermathena,H. hermathena,PF,139.0
Heliconius hewitsoni,H. hewitsoni,PF,348.0
Heliconius himera,H. himera,PF,155.0
Heliconius hortense,H. hortense,PF,198.0
Heliconius ismenius,H. ismenius,PF,245.0
Heliconius melpomene,H. melpomene,PF,260.0
Heliconius nattereri,H. nattereri,PF,77.0
Heliconius numata,H. numata,PF,210.0
Heliconius pachinus,H. pachinus,PF,106.0
Heliconius sapho,H. sapho,PF,177.0
Heliconius sara,H. sara,PF,170.0
Heliconius xanthocles,H. xanthocles,PF,66.0
Philaethria dido,P. dido,NPF,44.0
