condition,log10_nucleotide_concentration,bound_sites_per_enzyme
ATP,-7.92,0.57
ATP,-7.21,0.7
ATP,-6.8,0.89
ATP,-6.46,1.2
ATP,-6.08,1.39
ATP,-5.73,1.69
ATP,-5.4,1.86
ATP,-5.04,1.95
ATP,-4.71,2.32
ATP,-4.35,2.66
ATP,-4.04,2.75
ATP,-3.7,2.97
ATP,-3.36,2.94
ATP,-3.05,2.93
ATP,-2.69,3
ADP,-7.4,0.51
ADP,-7.15,0.64
ADP,-6.81,0.8
ADP,-6.42,0.95
ADP,-6.07,1.19
ADP,-5.72,1.35
ADP,-5.37,1.5
ADP,-5.04,1.69
ADP,-4.7,2.06
ADP,-4.35,2.48
ADP,-4.04,2.62
ADP,-3.7,2.88
ADP,-3.38,2.85
ADP,-3.09,2.91
ADP,-2.69,3
mixed,-7.93,0.54
mixed,-7.38,0.59
mixed,-7.14,0.71
mixed,-6.79,0.83
mixed,-6.46,1.18
mixed,-6.09,1.49
mixed,-5.73,1.61
mixed,-5.38,1.89
mixed,-5.04,2.06
mixed,-4.7,2.16
mixed,-4.35,2.52
mixed,-4.02,2.83
mixed,-3.69,2.84
mixed,-3.34,2.91
mixed,-3.02,2.94
mixed,-2.69,2.91
