LOG([ATP]),LOG([ADP]),K_CAT,K_ROT,OCC_TOT,OCC_ATP,OCC_ADP,POP_CAT,POP_WAIT,+ATP:80,+ATP:120,+ATP:200,+ATP:240,+ATP:320,+ATP:360,-ADP:80,-ADP:120,-ADP:200,-ADP:240,-ADP:320,-ADP:360,HYD:80,HYD:120,HYD:200,HYD:240,HYD:320,HYD:360,80-oho,80-oha,80-oao,80-oaa,80-haa,80-hao,80-ooh,80-och,80-hoh,80-hho,80-hha,80-hch,80-ooa,80-oco,80-ooo,80-oca,80-hoo,80-hoa,80-ohh,80-oah,80-hco,80-hah,80-hca,80-hhh,120-oah,120-oho,120-ooa,120-ooo,120-oha,120-oao,120-oaa,120-ooc,120-ohc,120-ooh,120-oac,120-ohh
-9.00,-9.00,2.024975e-03,7.483233e-04,1.070809e-01,5.337160e-02,5.370933e-02,9.190052e-02,9.080995e-01,9.145780e-05,5.821029e-04,3.784581e-08,3.260880e-07,3.300626e-08,3.739294e-07,5.718173e-04,9.963956e-05,2.153425e-07,1.762688e-06,1.780700e-07,2.124772e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.163316e-04,4.585745e-04,0.000000e+00,4.740380e-12,6.502805e-08,5.086740e-06,6.979690e-02,8.514273e-04,6.502555e-08,4.740619e-12,1.964138e-08,5.994369e-14,6.095642e-14,7.944786e-10,2.461570e-10,5.086740e-06,1.530274e-06,3.707307e-10,2.098355e-02,4.740423e-12,6.225274e-08,6.109073e-14,6.504078e-08,1.964263e-08,8.089859e-10,2.566469e-04,1.248633e-15,6.504168e-07,4.740459e-11,5.086816e-05,3.707360e-09,6.502871e-07,5.086817e-05,6.979794e-01,1.530297e-05,1.964373e-07,4.740244e-11,2.100016e-01,6.072787e-13
-8.50,-9.00,6.393296e-03,2.301166e-03,2.453800e-01,1.222852e-01,1.230948e-01,9.198555e-02,9.080144e-01,2.891326e-04,1.839911e-03,1.196462e-07,8.733320e-07,8.848873e-08,1.180727e-06,1.833038e-03,2.850116e-04,6.870904e-07,4.711488e-06,4.770634e-07,6.783749e-06,0.000000e+00,0.000000e+00,0.000000e+00,7.265995e-04,1.404681e-03,0.000000e+00,4.729024e-12,6.496903e-08,4.307878e-06,5.919181e-02,7.831759e-04,6.496229e-08,4.729464e-12,3.520688e-08,6.645708e-14,7.193474e-14,8.648123e-10,4.934378e-10,4.307877e-06,2.299012e-06,3.135427e-10,3.157700e-02,4.729016e-12,5.753414e-08,7.188437e-14,6.498643e-08,3.519043e-08,8.937454e-10,4.223207e-04,1.892805e-15,6.498722e-07,4.728964e-11,4.307942e-05,3.135473e-09,6.496917e-07,4.307943e-05,5.919270e-01,2.299049e-05,3.519467e-07,4.729218e-11,3.159767e-01,7.175348e-13
-8.00,-9.00,2.019417e-02,6.922453e-03,4.969056e-01,2.474359e-01,2.494696e-01,9.239914e-02,9.076009e-01,9.148980e-04,5.810661e-03,3.785035e-07,1.862145e-06,1.892872e-07,3.715411e-06,5.958424e-03,7.375215e-04,2.214940e-06,1.001957e-05,1.021941e-06,2.186013e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.543719e-03,4.187686e-03,0.000000e+00,4.698965e-12,6.494422e-08,2.904212e-06,4.007996e-02,6.609301e-04,6.492937e-08,4.699038e-12,8.548794e-08,8.091569e-14,1.074735e-13,1.095322e-09,1.538192e-09,2.904210e-06,3.669521e-06,2.104938e-10,5.078259e-02,4.697957e-12,4.902365e-08,1.076179e-13,6.486981e-08,8.532041e-08,1.091551e-09,8.657695e-04,2.113349e-15,6.487038e-07,4.698742e-11,2.904254e-05,2.104969e-09,6.494335e-07,2.904257e-05,4.008055e-01,3.669581e-05,8.533998e-07,4.699145e-11,5.066984e-01,1.074361e-12
-7.50,-9.00,6.370468e-02,2.070108e-02,7.710150e-01,3.829486e-01,3.880664e-01,9.409204e-02,9.059080e-01,2.910980e-03,1.830799e-02,1.202521e-06,2.913181e-06,2.990561e-07,1.156033e-05,1.932758e-02,1.813321e-03,7.108489e-06,1.554229e-05,1.621149e-06,6.968481e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.850155e-03,1.238473e-02,0.000000e+00,4.616580e-12,6.530822e-08,1.435801e-06,2.008954e-02,5.367516e-04,6.528270e-08,4.616699e-12,2.447509e-07,1.147249e-13,2.206044e-13,1.843442e-09,6.962148e-09,1.435796e-06,5.031612e-06,1.027217e-10,7.141949e-02,4.615211e-12,4.007393e-08,2.207247e-13,6.465745e-08,2.438522e-07,1.523954e-09,2.037622e-03,6.278525e-15,6.465771e-07,4.616554e-11,1.435819e-05,1.027232e-09,6.530598e-07,1.435827e-05,2.008984e-01,5.031695e-05,2.439352e-06,4.616693e-11,7.049268e-01,2.206486e-12
-7.00,-9.00,2.002455e-01,6.302283e-02,9.740023e-01,4.802364e-01,4.937659e-01,9.971649e-02,9.002835e-01,9.414567e-03,5.729145e-02,3.869860e-06,3.604351e-06,3.805462e-07,3.475220e-05,6.147381e-02,5.019003e-03,2.227650e-05,1.872657e-05,2.085537e-06,2.124872e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.938071e-02,3.736782e-02,0.000000e+00,4.385939e-12,6.689720e-08,5.597667e-07,8.174054e-03,4.767276e-04,6.685709e-08,4.385233e-12,7.200279e-07,1.998782e-13,5.583823e-13,4.202050e-09,4.237501e-08,5.597548e-07,5.587902e-06,3.853526e-11,8.565033e-02,4.385325e-12,3.457478e-08,5.587620e-13,6.419995e-08,7.166390e-07,2.698473e-09,5.406949e-03,3.224210e-14,6.419976e-07,4.386806e-11,5.597653e-06,3.853584e-10,6.689299e-07,5.597879e-06,8.174175e-02,5.587993e-05,7.169404e-06,4.385304e-11,8.184662e-01,5.586316e-12
-6.50,-9.00,6.227865e-01,1.941529e-01,1.168589e+00,5.661594e-01,6.024292e-01,1.157724e-01,8.842276e-01,3.145768e-02,1.760256e-01,1.278998e-05,4.105877e-06,4.631489e-07,9.487523e-05,1.897438e-01,1.717905e-02,6.663677e-05,1.971655e-05,2.595736e-06,5.836845e-04,0.000000e+00,0.000000e+00,0.000000e+00,9.349510e-02,1.141004e-01,0.000000e+00,3.788402e-12,7.113362e-08,1.972681e-07,3.270870e-03,4.978555e-04,7.106147e-08,3.785535e-12,1.955332e-06,4.225812e-13,1.436316e-12,1.136875e-08,2.996131e-07,1.972405e-07,5.109422e-06,1.226789e-11,9.654876e-02,3.790596e-12,3.185308e-08,1.437327e-12,6.302696e-08,1.945200e-06,6.724976e-09,1.544493e-02,2.185765e-13,6.302589e-07,3.791740e-11,1.972456e-06,1.226807e-10,7.112490e-07,1.973027e-06,3.270918e-02,5.109500e-05,1.946188e-05,3.785667e-11,8.514426e-01,1.437057e-11
-6.00,-9.00,1.884431e+00,5.905337e-01,1.457752e+00,6.846841e-01,7.730676e-01,1.542409e-01,8.457591e-01,1.072208e-01,5.206666e-01,4.318608e-05,4.947239e-06,6.192429e-07,2.074730e-04,5.589003e-01,6.775693e-02,1.838385e-04,1.929832e-05,3.536424e-06,1.279757e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.862572e-01,3.418864e-01,0.000000e+00,2.624950e-12,7.796758e-08,6.710500e-08,1.550437e-03,6.411694e-04,7.781365e-08,2.618154e-12,4.271962e-06,8.999884e-13,3.081482e-12,3.189700e-08,1.918941e-06,6.704985e-08,3.599195e-06,3.389706e-12,1.079197e-01,2.632455e-12,2.998034e-08,3.084373e-12,6.026595e-08,4.248340e-06,2.176897e-08,4.411509e-02,1.383747e-12,6.026344e-07,2.632822e-11,6.705281e-07,3.389753e-11,7.794713e-07,6.717089e-07,1.550457e-02,3.599226e-05,4.251378e-05,2.618393e-11,8.301733e-01,3.083695e-11
-5.50,-9.00,5.345319e+00,1.699096e+00,1.824561e+00,8.197878e-01,1.004773e+00,2.316543e-01,7.683457e-01,3.317107e-01,1.449599e+00,1.369227e-04,6.921601e-06,9.774744e-07,3.183818e-04,1.532942e+00,2.463896e-01,4.605206e-04,1.766629e-05,5.347027e-06,1.958195e-03,0.000000e+00,0.000000e+00,0.000000e+00,8.235776e-01,9.581955e-01,0.000000e+00,1.274854e-12,7.945519e-08,2.066615e-08,9.267125e-04,1.046059e-03,7.912492e-08,1.265032e-12,6.531026e-06,1.598107e-12,4.679455e-12,8.547695e-08,8.927810e-06,2.059041e-08,1.745371e-06,7.683101e-13,1.107486e-01,1.286527e-12,2.794977e-08,4.687203e-12,5.473630e-08,6.489780e-06,7.130796e-08,1.189088e-01,6.414847e-12,5.473301e-07,1.286263e-11,2.059258e-07,7.683209e-12,7.940883e-07,2.075636e-07,9.267176e-03,1.745313e-05,6.498476e-05,1.265360e-11,7.589944e-01,4.685707e-11
-5.00,-9.00,1.306327e+01,4.228605e+00,2.193306e+00,9.233382e-01,1.269967e+00,3.739016e-01,6.260984e-01,7.827251e-01,3.570990e+00,3.535191e-04,1.035842e-05,1.832066e-06,3.423392e-04,3.675751e+00,6.755949e-01,1.029034e-03,1.443934e-05,8.648376e-06,2.026054e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.058833e+00,2.295590e+00,0.000000e+00,4.224298e-13,6.502613e-08,5.074344e-09,5.964869e-04,1.916731e-03,6.446005e-08,4.139603e-13,6.761068e-06,2.094603e-12,4.820124e-12,2.011395e-07,2.771643e-05,5.010215e-09,5.692992e-07,1.225223e-13,9.100130e-02,4.324438e-13,2.406693e-08,4.838654e-12,4.459934e-08,6.699800e-06,1.866541e-07,2.803447e-01,1.988874e-11,4.459724e-07,4.322880e-12,5.012159e-08,1.225345e-12,6.494353e-07,5.150815e-08,5.964741e-03,5.691371e-06,6.721361e-05,4.142935e-12,6.200596e-01,4.835598e-11
-4.50,-9.00,2.436893e+01,8.016188e+00,2.547542e+00,9.931869e-01,1.554355e+00,5.738335e-01,4.261665e-01,1.299887e+00,6.822111e+00,6.661607e-04,1.362973e-05,3.320925e-06,2.969466e-04,6.830363e+00,1.289243e+00,1.848168e-03,9.844089e-06,1.328455e-05,1.500809e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.932245e+00,4.190733e+00,0.000000e+00,1.027803e-13,4.074884e-08,9.914943e-10,3.444632e-04,3.138161e-03,4.008713e-08,9.816616e-14,5.020491e-06,1.753792e-12,3.544933e-12,3.678261e-07,5.686243e-05,9.568683e-10,1.341440e-07,1.156593e-14,5.729074e-02,1.079650e-13,1.618602e-08,3.579895e-12,3.035926e-08,4.932020e-06,3.491121e-07,5.129924e-01,4.077868e-11,3.035886e-07,1.081241e-12,9.583948e-09,1.156053e-13,4.064795e-07,1.032684e-08,3.444273e-03,1.339574e-06,4.972911e-05,9.841872e-13,4.226704e-01,3.574398e-11
