LOG([ATP]),LOG([ADP]),K_CAT,K_ROT,OCC_TOT,OCC_ATP,OCC_ADP,POP_CAT,POP_WAIT,+ATP:80,+ATP:120,+ATP:200,+ATP:240,+ATP:320,+ATP:360,-ADP:80,-ADP:120,-ADP:200,-ADP:240,-ADP:320,-ADP:360,HYD:80,HYD:120,HYD:200,HYD:240,HYD:320,HYD:360,80-oho,80-oha,80-oao,80-oaa,80-haa,80-hao,80-ooh,80-och,80-hoh,80-hho,80-hha,80-hch,80-ooa,80-oco,80-ooo,80-oca,80-hoo,80-hoa,80-ohh,80-oah,80-hco,80-hah,80-hca,80-hhh,120-oah,120-oho,120-ooa,120-ooo,120-oha,120-oao,120-oaa,120-ooc,120-ohc,120-ooh,120-oac,120-ohh
-18.00,-9.00,-3.436033e-07,-4.378327e-07,2.778992e-02,1.383421e-02,1.395571e-02,9.187936e-02,9.081206e-01,-3.789784e-10,-2.373931e-09,-1.717763e-13,-1.577845e-12,-1.596814e-13,-1.666945e-12,4.783254e-07,-8.968818e-08,9.553306e-11,-7.886929e-10,-7.836419e-11,-1.472038e-09,0.000000e+00,0.000000e+00,0.000000e+00,4.507912e-07,-1.178032e-06,0.000000e+00,6.340277e-12,7.490378e-08,6.365659e-06,7.520515e-02,8.849550e-04,7.490378e-08,6.340720e-12,1.552637e-08,7.525364e-14,7.485598e-14,8.814546e-10,1.929189e-10,6.365659e-06,1.319714e-06,5.388070e-10,1.559135e-02,6.340700e-12,7.490712e-08,7.500650e-14,7.490378e-08,1.552637e-08,8.813655e-10,1.835193e-04,1.484917e-15,7.490489e-07,6.340355e-11,6.365754e-05,5.388151e-09,7.490490e-07,6.365754e-05,7.520627e-01,1.319733e-05,1.552661e-07,6.340393e-11,1.559157e-01,7.466341e-13
-18.00,-8.50,3.144710e-06,1.324803e-06,8.319810e-02,4.141012e-02,4.178798e-02,9.193530e-02,9.080647e-01,-1.226881e-09,-7.480205e-09,-5.392732e-13,-4.722748e-12,-4.782850e-13,-5.300461e-12,1.955238e-06,3.085459e-07,7.301168e-10,2.453613e-09,2.508989e-10,4.934487e-09,0.000000e+00,0.000000e+00,0.000000e+00,1.031197e-07,7.781563e-07,0.000000e+00,6.324518e-12,7.474088e-08,6.005228e-06,7.097116e-02,8.832446e-04,7.474087e-08,6.324715e-12,2.088138e-08,7.938072e-14,7.909845e-14,9.302479e-10,2.694961e-10,6.005228e-06,1.677074e-06,5.081256e-10,1.982009e-02,6.324934e-12,7.473592e-08,7.910405e-14,7.474088e-08,2.088138e-08,9.302523e-10,2.467735e-04,1.526179e-15,7.474200e-07,6.324691e-11,6.005317e-05,5.081331e-09,7.474199e-07,6.005317e-05,7.097222e-01,1.677099e-05,2.088169e-07,6.324465e-11,1.982039e-01,7.888731e-13
-18.00,-8.00,-2.616294e-06,-5.545672e-07,2.232016e-01,1.110351e-01,1.121664e-01,9.211156e-02,9.078884e-01,-3.717683e-09,-2.300744e-08,-1.691707e-12,-1.265131e-11,-1.283582e-12,-1.668622e-11,-1.287088e-06,-2.367159e-07,-4.722489e-10,-6.687530e-10,-6.959332e-11,-2.013523e-09,0.000000e+00,0.000000e+00,0.000000e+00,-2.692206e-07,-7.932874e-07,0.000000e+00,6.282494e-12,7.432723e-08,5.096123e-06,6.029190e-02,8.793749e-04,7.432723e-08,6.282699e-12,3.757417e-08,9.251785e-14,9.192294e-14,1.084011e-09,5.368833e-10,5.096123e-06,2.576522e-06,4.307453e-10,3.048263e-02,6.282741e-12,7.432808e-08,9.196351e-14,7.432723e-08,3.757418e-08,1.084009e-09,4.445076e-04,2.121802e-15,7.432834e-07,6.282685e-11,5.096199e-05,4.307517e-09,7.432833e-07,5.096199e-05,6.029280e-01,2.576560e-05,3.757473e-07,6.282629e-11,3.048309e-01,9.171112e-13
-18.00,-7.50,9.591096e-07,4.149762e-07,4.793081e-01,2.380402e-01,2.412679e-01,9.266950e-02,9.073305e-01,-1.181017e-08,-7.303621e-08,-5.371751e-12,-2.704425e-11,-2.762138e-12,-5.257917e-11,1.030765e-06,1.542013e-07,3.833156e-10,4.156414e-10,4.437948e-11,1.764590e-09,0.000000e+00,0.000000e+00,0.000000e+00,-1.182659e-07,-2.526423e-08,0.000000e+00,6.196157e-12,7.355671e-08,3.444180e-06,4.088640e-02,8.731939e-04,7.355671e-08,6.196308e-12,8.965762e-08,1.328097e-13,1.325940e-13,1.570977e-09,1.923301e-09,3.444180e-06,4.197903e-06,2.901210e-10,4.983399e-02,6.196385e-12,7.355623e-08,1.325427e-13,7.355670e-08,8.965761e-08,1.570964e-09,1.064354e-03,2.948118e-15,7.355780e-07,6.196291e-11,3.444232e-05,2.901254e-09,7.355781e-07,3.444232e-05,4.088701e-01,4.197965e-05,8.965895e-07,6.196286e-11,4.983472e-01,1.323990e-12
-18.00,-7.00,-8.610865e-08,-8.151041e-08,7.582096e-01,3.746082e-01,3.836014e-01,9.442857e-02,9.055714e-01,-3.717850e-08,-2.302431e-07,-1.711821e-11,-4.217817e-11,-4.398153e-12,-1.641693e-10,1.764850e-07,6.768584e-08,8.095829e-11,1.222028e-10,1.308886e-11,2.895059e-10,0.000000e+00,0.000000e+00,0.000000e+00,-9.927315e-08,3.613737e-08,0.000000e+00,6.054984e-12,7.264965e-08,1.698734e-06,2.038196e-02,8.716680e-04,7.264965e-08,6.055067e-12,2.500931e-07,2.590931e-13,2.590093e-13,3.106993e-09,1.069775e-08,1.698734e-06,5.847836e-06,1.415757e-10,7.016419e-02,6.055051e-12,7.264878e-08,2.589999e-13,7.264965e-08,2.500931e-07,3.107009e-09,3.000703e-03,1.111445e-14,7.265073e-07,6.055082e-11,1.698760e-05,1.415779e-09,7.265073e-07,1.698760e-05,2.038226e-01,5.847923e-05,2.500969e-06,6.055130e-11,7.016524e-01,2.589818e-12
-18.00,-6.50,-2.648056e-06,-8.036765e-07,9.565020e-01,4.654134e-01,4.910886e-01,9.994610e-02,9.000539e-01,-1.167152e-07,-7.233542e-07,-5.543002e-11,-5.099434e-11,-5.662648e-12,-4.991973e-10,-7.772641e-07,-5.625736e-08,-3.104291e-10,-2.741117e-10,-3.167831e-11,-3.039003e-09,0.000000e+00,0.000000e+00,0.000000e+00,-4.470866e-07,-5.231122e-07,0.000000e+00,5.786104e-12,7.175009e-08,6.495453e-07,8.054613e-03,8.897360e-04,7.175009e-08,5.786143e-12,7.299228e-07,6.392469e-13,6.391740e-13,7.925723e-09,8.062984e-08,6.495453e-07,6.607911e-06,5.237881e-11,8.194060e-02,5.786108e-12,7.175048e-08,6.391661e-13,7.175014e-08,7.299229e-07,7.925756e-09,9.051397e-03,7.065661e-14,7.175120e-07,5.786190e-11,6.495550e-06,5.237958e-10,7.175116e-07,6.495550e-06,8.054733e-02,6.608010e-05,7.299337e-06,5.786197e-11,8.194188e-01,6.391655e-12
-18.00,-6.00,-7.970077e-06,-2.467816e-06,1.130436e+00,5.285839e-01,6.018526e-01,1.169536e-01,8.830464e-01,-3.620683e-07,-2.243972e-06,-1.859883e-10,-5.370660e-11,-7.113097e-12,-1.404364e-09,-2.448102e-06,-2.140279e-07,-1.041394e-09,-2.508850e-10,-3.903551e-11,-9.122068e-09,0.000000e+00,0.000000e+00,0.000000e+00,-1.212952e-06,-1.476850e-06,0.000000e+00,5.135478e-12,7.020867e-08,2.163910e-07,2.958360e-03,9.598568e-04,7.020867e-08,5.135488e-12,2.025217e-06,1.666281e-12,1.666217e-12,2.277958e-08,6.570930e-07,2.163910e-07,6.241963e-06,1.582906e-11,8.533596e-02,5.135476e-12,7.020924e-08,1.666223e-12,7.020880e-08,2.025217e-06,2.277970e-08,2.768771e-02,5.406569e-13,7.020985e-07,5.135545e-11,2.163943e-06,1.582930e-10,7.020972e-07,2.163943e-06,2.958405e-02,6.242056e-05,2.025248e-05,5.135554e-11,8.533740e-01,1.666242e-11
-18.00,-5.50,-2.335958e-05,-7.377244e-06,1.405663e+00,6.068879e-01,7.987755e-01,1.666871e-01,8.333129e-01,-1.079840e-06,-6.693977e-06,-6.473785e-10,-5.188721e-11,-1.037904e-11,-3.236566e-09,-7.031276e-06,-7.196497e-07,-3.434094e-09,-2.064958e-10,-6.798861e-11,-2.599645e-08,0.000000e+00,0.000000e+00,0.000000e+00,-3.631924e-06,-4.169257e-06,0.000000e+00,3.742759e-12,6.619255e-08,6.617124e-08,1.170279e-03,1.170671e-03,6.619256e-08,3.742779e-12,4.646511e-06,3.744034e-12,3.743954e-12,6.621462e-08,4.648064e-06,6.617124e-08,4.645034e-06,3.741695e-12,8.214982e-02,3.742763e-12,6.619343e-08,3.743953e-12,6.619286e-08,4.646511e-06,6.621515e-08,8.217721e-02,3.745196e-12,6.619385e-07,3.742815e-11,6.617223e-07,3.741746e-11,6.619354e-07,6.617222e-07,1.170297e-02,4.645104e-05,4.646580e-05,3.742815e-11,8.215144e-01,3.744005e-11
-18.00,-5.00,-6.241333e-05,-2.017729e-05,1.832730e+00,7.057024e-01,1.127027e+00,2.922522e-01,7.077478e-01,-2.893100e-06,-1.794123e-05,-2.086742e-09,-4.440252e-11,-1.833550e-11,-5.053653e-09,-1.800473e-05,-2.695718e-06,-1.032605e-08,-1.344445e-10,-1.858599e-10,-6.269132e-08,0.000000e+00,0.000000e+00,0.000000e+00,-1.001843e-05,-1.077958e-05,0.000000e+00,1.852941e-12,5.620023e-08,1.795905e-08,5.447123e-04,1.704637e-03,5.620023e-08,1.852942e-12,7.244796e-06,5.798647e-12,5.798448e-12,1.758743e-07,2.267204e-05,1.795905e-08,2.315125e-06,5.917335e-13,7.021872e-02,1.852933e-12,5.620152e-08,5.798441e-12,5.620069e-08,7.244797e-06,1.758761e-07,2.197441e-01,1.814578e-11,5.620153e-07,1.852961e-11,1.795932e-07,5.917426e-12,5.620107e-07,1.795932e-07,5.447204e-03,2.315160e-05,7.244905e-05,1.852962e-11,7.022035e-01,5.798530e-11
-18.00,-4.50,-1.332905e-04,-4.375510e-05,2.309235e+00,7.825362e-01,1.526698e+00,5.187851e-01,4.812149e-01,-6.165813e-06,-3.824818e-05,-5.040761e-09,-3.026275e-11,-3.262606e-11,-4.675857e-09,-3.747581e-05,-6.797432e-06,-2.348572e-08,-1.120631e-10,-7.544449e-10,-1.174162e-07,0.000000e+00,0.000000e+00,0.000000e+00,-2.186939e-05,-2.258238e-05,0.000000e+00,5.471253e-13,3.820748e-08,3.906524e-09,2.728089e-04,2.668349e-03,3.820748e-08,5.471516e-13,6.700155e-06,5.351463e-12,5.351102e-12,3.737076e-07,6.553426e-05,3.906525e-09,6.850623e-07,5.572143e-14,4.784000e-02,5.471169e-13,3.820975e-08,5.351104e-12,3.820787e-08,6.700156e-06,3.737118e-07,4.679234e-01,5.233905e-11,3.820844e-07,5.471283e-12,3.906583e-08,5.572310e-13,3.820805e-07,3.906581e-08,2.728130e-03,6.850725e-06,6.700256e-05,5.471324e-12,4.784121e-01,5.351169e-11
-18.00,-4.00,-2.074537e-04,-6.889714e-05,2.682790e+00,8.200819e-01,1.862708e+00,7.563050e-01,2.436950e-01,-9.597874e-06,-5.954691e-05,-8.295066e-09,-1.533718e-11,-4.759970e-11,-2.672902e-09,-5.771694e-05,-1.118867e-05,-3.462686e-08,-8.300046e-11,-2.477028e-09,-1.381940e-07,0.000000e+00,0.000000e+00,0.000000e+00,-3.429945e-05,-3.491742e-05,0.000000e+00,1.017957e-13,1.934816e-08,6.442608e-10,1.224829e-04,3.678853e-03,1.934816e-08,1.018033e-13,3.829521e-06,3.056827e-12,3.056401e-12,5.811341e-07,1.150220e-04,6.442613e-10,1.275173e-07,3.650038e-15,2.424244e-02,1.018152e-13,1.935075e-08,3.056420e-12,1.934833e-08,3.829522e-06,5.811397e-07,7.281371e-01,9.180039e-11,1.934862e-07,1.017947e-12,6.442707e-09,3.640655e-14,1.934845e-07,6.442701e-09,1.224847e-03,1.275192e-06,3.829578e-05,1.017902e-12,2.424302e-01,3.056423e-11
-18.00,-3.50,-2.517394e-04,-8.407116e-05,2.881520e+00,8.342103e-01,2.047310e+00,8.981586e-01,1.018414e-01,-1.164771e-05,-7.226849e-05,-1.026914e-08,-6.411047e-12,-5.654116e-11,-1.164448e-09,-7.020225e-05,-1.362388e-05,-3.660778e-08,-7.469855e-11,-5.405750e-09,-9.494201e-08,0.000000e+00,0.000000e+00,0.000000e+00,-4.145990e-05,-4.238865e-05,0.000000e+00,1.531524e-14,8.085623e-09,9.275307e-11,4.911306e-05,4.282350e-03,8.085627e-09,1.531630e-14,1.668253e-06,1.331507e-12,1.331195e-12,7.050147e-07,1.454610e-04,9.275328e-11,1.913688e-08,1.861561e-16,1.013312e-02,1.530167e-14,8.087510e-09,1.331183e-12,8.085662e-09,1.668254e-06,7.050190e-07,8.835437e-01,1.160692e-10,8.085783e-08,1.528372e-13,9.275450e-10,1.756714e-15,8.085745e-08,9.275437e-10,4.911379e-04,1.913716e-07,1.668279e-05,1.530318e-13,1.013332e-01,1.331195e-11
-18.00,-3.00,-2.700969e-04,-9.051126e-05,2.960189e+00,8.389655e-01,2.121223e+00,9.565341e-01,4.346585e-02,-1.249127e-05,-7.750381e-05,-1.108541e-08,-2.736445e-12,-6.022062e-11,-5.037496e-10,-7.524290e-05,-1.472165e-05,-3.416768e-08,-5.350298e-12,-7.710980e-09,-4.117320e-08,0.000000e+00,0.000000e+00,0.000000e+00,-4.448015e-05,-4.556243e-05,0.000000e+00,2.644620e-15,3.450936e-09,1.575506e-11,2.068152e-05,4.530693e-03,3.450939e-09,2.665472e-15,7.216905e-07,5.759886e-13,5.758341e-13,7.559940e-07,1.581003e-04,1.575519e-11,3.294998e-09,5.456548e-17,4.325098e-03,2.639641e-15,3.451819e-09,5.758616e-13,3.450941e-09,7.216916e-07,7.559963e-07,9.474966e-01,1.261460e-10,3.450992e-08,2.632601e-14,1.575535e-10,5.411286e-16,3.450988e-08,1.575528e-10,2.068183e-04,3.295047e-08,7.217019e-06,2.647323e-14,4.325171e-02,5.758399e-12
-18.00,-2.50,-2.760997e-04,-9.269424e-05,2.987154e+00,8.405010e-01,2.146653e+00,9.767944e-01,2.320562e-02,-1.278404e-05,-7.932089e-05,-1.136914e-08,-1.460996e-12,-6.149764e-11,-2.701047e-10,-7.591785e-05,-1.610449e-05,-3.031978e-08,1.493387e-10,-7.052384e-09,-8.615236e-09,0.000000e+00,0.000000e+00,0.000000e+00,-4.528510e-05,-4.662984e-05,0.000000e+00,7.814906e-16,1.842392e-09,4.386515e-12,1.099422e-05,4.616881e-03,1.842395e-09,8.025375e-16,3.869613e-07,3.088400e-13,3.087761e-13,7.736873e-07,1.624993e-04,4.386518e-12,9.215568e-10,9.660205e-17,2.309139e-03,7.861302e-16,1.842702e-09,3.087871e-13,1.842392e-09,3.869623e-07,7.736883e-07,9.696925e-01,1.296531e-10,1.842419e-08,7.673447e-15,4.386580e-11,7.571377e-16,1.842420e-08,4.386563e-11,1.099438e-04,9.215708e-09,3.869676e-06,7.674476e-15,2.309176e-02,3.087615e-12
