LOG([ATP]),LOG([ADP]),K_CAT,K_ROT,OCC_TOT,OCC_ATP,OCC_ADP,POP_CAT,POP_WAIT,+ATP:80,+ATP:120,+ATP:200,+ATP:240,+ATP:320,+ATP:360,-ADP:80,-ADP:120,-ADP:200,-ADP:240,-ADP:320,-ADP:360,HYD:80,HYD:120,HYD:200,HYD:240,HYD:320,HYD:360,80-oho,80-oha,80-oao,80-oaa,80-haa,80-hao,80-ooh,80-och,80-hoh,80-hho,80-hha,80-hch,80-ooa,80-oco,80-ooo,80-oca,80-hoo,80-hoa,80-ohh,80-oah,80-hco,80-hah,80-hca,80-hhh,120-oah,120-oho,120-ooa,120-ooo,120-oha,120-oao,120-oaa,120-ooc,120-ohc,120-ooh,120-oac,120-ohh
-9.00,-18.00,5.622106e-03,4.189481e-03,1.328212e-01,6.581608e-02,6.700513e-02,9.981153e-01,1.884711e-03,1.393810e-03,6.285216e-09,3.831492e-04,1.816744e-07,9.632885e-05,7.252205e-07,1.431679e-03,2.759170e-09,3.442683e-04,1.832414e-07,9.705340e-05,6.483216e-07,0.000000e+00,0.000000e+00,0.000000e+00,1.059641e-03,8.144292e-04,0.000000e+00,4.342283e-10,8.048992e-06,1.520108e-09,2.817719e-05,1.491898e-01,8.048558e-06,4.342237e-10,3.153112e-05,2.299078e-06,2.299120e-06,4.261700e-02,1.669302e-01,1.520113e-09,5.955092e-09,8.283267e-14,1.103762e-04,4.342078e-10,8.048545e-06,2.299210e-06,8.048872e-06,3.152758e-05,4.261629e-02,5.843477e-01,1.217361e-02,8.048810e-05,4.342249e-09,1.520106e-08,8.214366e-13,8.048897e-05,1.520082e-08,2.817656e-04,5.954798e-08,3.152925e-04,4.342274e-09,1.103585e-03,2.299216e-05
-8.50,-18.00,1.474974e-02,1.057383e-02,3.271340e-01,1.621784e-01,1.649556e-01,9.981164e-01,1.883637e-03,3.463891e-03,2.007002e-08,1.212735e-03,4.473399e-07,2.372176e-04,2.266779e-06,3.782466e-03,7.232309e-09,8.932817e-04,4.503145e-07,2.387084e-04,1.703838e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.777965e-03,2.138581e-03,0.000000e+00,3.374271e-10,6.272052e-06,1.183959e-09,2.200717e-05,1.165620e-01,6.270978e-06,3.374150e-10,3.376194e-05,1.787124e-06,1.787227e-06,3.322035e-02,1.786870e-01,1.183968e-09,6.374397e-09,6.408409e-14,1.184153e-04,3.373734e-10,6.270977e-06,1.787450e-06,6.271773e-06,3.373963e-05,3.321840e-02,6.267230e-01,9.467255e-03,6.271419e-05,3.374081e-09,1.183913e-08,6.372439e-13,6.271610e-05,1.183856e-08,2.200483e-04,6.371504e-08,3.374318e-04,3.374141e-09,1.182758e-03,1.787406e-05
-8.00,-18.00,3.279711e-02,2.121937e-02,6.101194e-01,3.029134e-01,3.072061e-01,9.981206e-01,1.879404e-03,6.650684e-03,6.424698e-08,3.831489e-03,8.330408e-07,4.423530e-04,7.030291e-06,8.554928e-03,1.604087e-08,1.929474e-03,8.340100e-07,4.432730e-04,3.801810e-06,0.000000e+00,0.000000e+00,0.000000e+00,6.166565e-03,4.765765e-03,0.000000e+00,1.976383e-10,3.705870e-06,6.985220e-10,1.309715e-05,6.944564e-02,3.703833e-06,1.976149e-10,3.696303e-05,1.047810e-06,1.048004e-06,1.965082e-02,1.952069e-01,6.985164e-10,6.973438e-09,3.744583e-14,1.303425e-04,1.975390e-10,3.704017e-06,1.048420e-06,3.705440e-06,3.684218e-05,1.964601e-02,6.883771e-01,5.558960e-03,3.704661e-05,1.975971e-09,6.983942e-09,3.738636e-13,3.704897e-05,6.983123e-09,1.309186e-04,6.956040e-08,3.684893e-04,1.976071e-09,1.295330e-03,1.048305e-05
-7.50,-18.00,6.833525e-02,3.596355e-02,8.482196e-01,4.230283e-01,4.251914e-01,9.981354e-01,1.864567e-03,1.014914e-02,2.036928e-07,1.199130e-02,1.153286e-06,6.148694e-04,2.166039e-05,1.836651e-02,3.300486e-08,3.794667e-03,1.134607e-06,6.080484e-04,7.940235e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.280173e-02,9.976852e-03,0.000000e+00,8.504860e-11,1.638421e-06,3.074953e-10,5.920798e-06,3.149989e-02,1.635445e-06,8.501349e-11,3.945337e-05,4.522955e-07,4.525774e-07,8.721553e-03,2.065577e-01,3.073887e-10,7.428154e-09,1.684017e-14,1.413216e-04,8.491312e-11,1.636485e-06,4.531563e-07,1.638203e-06,3.894912e-05,8.709831e-03,7.400023e-01,2.410668e-03,1.637071e-05,8.499057e-10,3.072172e-09,1.597515e-13,1.636890e-05,3.072053e-09,5.911101e-05,7.353330e-08,3.896064e-04,8.499941e-10,1.378499e-03,4.529839e-06
-7.00,-18.00,1.599063e-01,6.515353e-02,9.999394e-01,5.052801e-01,4.946593e-01,9.981815e-01,1.818484e-03,1.603158e-02,6.291836e-07,3.647696e-02,1.345047e-06,7.264585e-04,6.523152e-05,4.446025e-02,7.458159e-08,8.133096e-03,1.253596e-06,6.890259e-04,1.831319e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.975369e-02,2.354842e-02,0.000000e+00,2.975173e-11,6.210379e-07,1.152951e-10,2.396438e-06,1.287271e-02,6.170304e-07,2.969418e-11,4.036844e-05,1.596356e-07,1.600058e-07,3.353475e-03,2.054650e-01,1.148445e-10,7.555259e-09,7.549917e-15,1.515619e-04,2.959494e-11,6.208717e-07,1.606897e-07,6.220323e-07,3.864966e-05,3.322829e-03,7.720686e-01,8.628631e-04,6.206922e-06,2.968763e-10,1.146596e-09,6.037437e-14,6.187723e-06,1.149907e-09,2.377334e-05,7.298055e-08,3.867124e-04,2.968063e-10,1.393923e-03,1.604907e-06
-6.50,-18.00,4.281298e-01,1.468676e-01,1.155995e+00,6.037015e-01,5.522931e-01,9.983074e-01,1.692604e-03,3.919621e-02,1.829633e-06,1.024669e-01,1.537394e-06,8.622880e-04,1.811827e-04,1.232586e-01,1.793327e-07,1.868487e-02,1.217543e-06,7.192756e-04,4.581615e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.853355e-02,6.417639e-02,0.000000e+00,9.198477e-12,2.374829e-07,4.340914e-11,1.090013e-06,5.972525e-03,2.313453e-07,9.094706e-12,3.975734e-05,5.037108e-08,5.089835e-08,1.356352e-03,1.860748e-01,4.201985e-11,7.314973e-09,2.514446e-15,1.707172e-04,9.029519e-12,2.427068e-07,5.168895e-08,2.417974e-07,3.476151e-05,1.275961e-03,8.030971e-01,2.832638e-04,2.402800e-06,9.141272e-11,4.186706e-10,1.647589e-14,2.335042e-06,4.317021e-10,1.043969e-05,6.567417e-08,3.481180e-04,9.086797e-11,1.328727e-03,5.148374e-07
-6.00,-18.00,1.189559e+00,3.866390e-01,1.424793e+00,7.904087e-01,6.343842e-01,9.985686e-01,1.431363e-03,1.585779e-01,4.644946e-06,2.362978e-01,2.015200e-06,1.231036e-03,4.063138e-04,3.593392e-01,3.739704e-07,3.634486e-02,1.043158e-06,7.294047e-04,1.047450e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.119193e-01,1.846004e-01,0.000000e+00,2.599253e-12,1.039790e-07,1.921959e-11,6.981711e-07,3.775339e-03,9.249346e-08,2.404820e-12,3.701898e-05,1.430479e-08,1.511326e-08,7.020274e-04,1.392090e-01,1.599579e-11,6.530094e-09,2.613672e-15,2.213307e-04,2.420469e-12,1.181381e-07,1.605831e-08,1.134833e-07,2.556661e-05,5.243693e-04,8.539845e-01,8.826824e-05,1.117133e-06,2.560307e-11,1.593251e-10,7.033297e-15,9.539820e-07,1.913973e-10,5.724497e-06,4.830112e-08,2.570133e-04,2.412180e-11,1.166346e-03,1.585761e-07
-5.50,-18.00,3.149425e+00,1.032019e+00,1.808037e+00,1.068683e+00,7.393537e-01,9.988659e-01,1.134144e-03,6.651503e-01,9.493070e-06,3.817941e-01,3.355422e-06,2.247094e-03,6.040018e-04,1.004344e+00,5.605190e-07,4.454641e-02,8.297679e-07,7.330703e-04,1.840788e-04,0.000000e+00,0.000000e+00,0.000000e+00,5.404409e-01,5.093674e-01,0.000000e+00,7.876185e-13,6.024125e-08,1.057425e-11,7.285002e-07,3.070323e-03,3.656902e-08,5.212915e-13,3.091869e-05,3.446797e-09,4.483533e-09,4.698021e-04,7.473447e-02,5.752373e-12,5.029940e-09,1.003888e-15,3.513901e-04,6.192302e-13,7.318917e-08,5.523863e-09,6.723278e-08,1.342002e-05,2.035737e-04,9.199660e-01,2.498747e-05,6.529915e-07,7.732869e-12,5.784377e-11,2.395583e-15,4.032677e-07,1.067376e-10,3.867781e-06,2.498359e-08,1.378193e-04,5.415476e-12,9.913222e-04,5.328687e-08
-5.00,-18.00,7.385231e+00,2.448157e+00,2.196622e+00,1.309330e+00,8.872926e-01,9.989186e-01,1.081411e-03,2.047321e+00,1.518368e-05,4.100650e-01,5.751629e-06,3.818403e-03,5.183129e-04,2.429180e+00,6.955092e-07,3.157693e-02,7.942013e-07,7.352657e-04,2.501313e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.240576e+00,1.221167e+00,0.000000e+00,3.125165e-13,6.163452e-08,5.798815e-12,1.128288e-06,2.561721e-03,1.372140e-08,9.202484e-14,2.155539e-05,6.272251e-10,1.510931e-09,3.022614e-04,2.772592e-02,1.681003e-12,3.025243e-09,1.432907e-15,6.363826e-04,1.955127e-13,4.084204e-08,2.399812e-09,4.179709e-08,5.383270e-06,6.350086e-05,9.675948e-01,5.814457e-06,4.033863e-07,3.117746e-12,1.747466e-11,1.186975e-15,1.802755e-07,5.932996e-11,3.106133e-06,8.698290e-09,6.243468e-05,1.119317e-12,1.015256e-03,2.202638e-08
-4.50,-18.00,1.369227e+01,4.554912e+00,2.548598e+00,1.432757e+00,1.115841e+00,9.986504e-01,1.349636e-03,4.256218e+00,1.679351e-05,3.037074e-01,7.004638e-06,3.894781e-03,2.460903e-04,4.546930e+00,9.244478e-07,1.610672e-02,9.948224e-07,7.367446e-04,3.143802e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.287458e+00,2.276632e+00,0.000000e+00,1.140269e-13,9.023948e-08,2.287288e-12,1.834642e-06,2.097952e-03,6.505681e-09,1.436431e-14,1.294592e-05,7.061243e-11,5.789925e-10,1.600317e-04,7.760969e-03,4.057959e-13,1.215262e-09,6.906975e-16,1.074325e-03,6.775329e-14,1.361475e-08,1.209577e-09,2.439801e-08,2.800602e-06,1.583685e-05,9.875225e-01,1.070506e-06,2.391424e-07,1.147820e-12,4.240466e-12,1.050766e-16,1.144844e-07,2.345311e-11,3.085951e-06,2.207935e-09,4.401853e-05,2.271328e-13,1.302165e-03,9.919688e-09
