LOG([ATP]),LOG([ADP]),K_CAT,K_ROT,OCC_TOT,OCC_ATP,OCC_ADP,POP_CAT,POP_WAIT,+ATP:80,+ATP:120,+ATP:200,+ATP:240,+ATP:320,+ATP:360,-ADP:80,-ADP:120,-ADP:200,-ADP:240,-ADP:320,-ADP:360,HYD:80,HYD:120,HYD:200,HYD:240,HYD:320,HYD:360,80-oho,80-oha,80-oao,80-oaa,80-haa,80-hao,80-ooh,80-och,80-hoh,80-hho,80-hha,80-hch,80-ooa,80-oco,80-ooo,80-oca,80-hoo,80-hoa,80-ohh,80-oah,80-hco,80-hah,80-hca,80-hhh,120-oah,120-oho,120-ooa,120-ooo,120-oha,120-oao,120-oaa,120-ooc,120-ohc,120-ooh,120-oac,120-ohh
-18.00,-9.00,2.135820e-06,3.822058e-07,2.966165e-02,1.488865e-02,1.477300e-02,8.488495e-01,1.511505e-01,-8.035474e-12,-1.442236e-08,-4.575825e-11,-2.477773e-12,-6.283356e-11,-8.466510e-13,1.647838e-06,3.141923e-11,3.988571e-08,4.538334e-10,2.557418e-09,6.245213e-09,0.000000e+00,0.000000e+00,0.000000e+00,-2.628031e-07,7.161533e-07,0.000000e+00,4.116978e-08,7.301203e-05,1.323640e-06,2.347392e-03,1.294823e-01,7.301203e-05,4.116979e-08,3.803687e-04,2.270927e-06,2.270927e-06,4.027347e-03,2.098116e-02,1.323640e-06,6.895728e-06,7.463701e-10,1.222915e-02,4.116979e-08,7.301203e-05,2.270927e-06,7.301203e-05,3.803687e-04,4.027347e-03,6.745603e-01,1.252644e-04,7.301312e-04,4.117040e-07,1.323660e-05,7.463810e-09,7.301312e-04,1.323660e-05,2.347427e-02,6.895831e-05,3.803744e-03,4.117040e-07,1.222933e-01,2.270961e-05
-18.00,-8.50,-6.169606e-06,-2.883135e-06,8.803119e-02,4.419559e-02,4.383559e-02,8.488600e-01,1.511400e-01,-9.394148e-11,-9.385679e-10,-1.035997e-11,-1.461541e-12,-1.214058e-11,-3.577888e-11,-3.516755e-06,-4.960559e-11,-1.099553e-07,-1.798141e-09,-1.011110e-08,-1.920223e-08,0.000000e+00,0.000000e+00,0.000000e+00,1.421984e-07,-2.652841e-06,0.000000e+00,3.869878e-08,6.865572e-05,1.244560e-06,2.207981e-03,1.218025e-01,6.865572e-05,3.869878e-08,3.847027e-04,2.134805e-06,2.134805e-06,3.787370e-03,2.122199e-02,1.244560e-06,6.973718e-06,7.015145e-10,1.237211e-02,3.869878e-08,6.865572e-05,2.134805e-06,6.865572e-05,3.847027e-04,3.787370e-03,6.825029e-01,1.177658e-04,6.865675e-04,3.869935e-07,1.244578e-05,7.015244e-09,6.865675e-04,1.244578e-05,2.208014e-02,6.973822e-05,3.847085e-03,3.869935e-07,1.237229e-01,2.134837e-05
-18.00,-8.00,1.137558e-06,2.922176e-07,2.347175e-01,1.179129e-01,1.168046e-01,8.488935e-01,1.511065e-01,-2.577950e-08,-2.987932e-07,-5.158212e-10,-2.110661e-11,-7.374564e-11,-2.309937e-10,9.044297e-07,1.963165e-11,2.391817e-08,3.212105e-10,1.807419e-09,4.156722e-09,0.000000e+00,0.000000e+00,0.000000e+00,-2.995292e-07,8.278484e-07,0.000000e+00,3.250149e-08,5.773001e-05,1.046226e-06,1.858334e-03,1.025416e-01,5.773001e-05,3.250149e-08,3.954650e-04,1.793410e-06,1.793410e-06,3.185502e-03,2.182148e-02,1.046226e-06,7.166908e-06,5.890172e-10,1.273005e-02,3.250149e-08,5.773001e-05,1.793410e-06,5.773001e-05,3.954650e-04,3.185502e-03,7.024355e-01,9.895911e-05,5.773087e-04,3.250198e-07,1.046241e-05,5.890260e-09,5.773087e-04,1.046241e-05,1.858362e-02,7.167014e-05,3.954709e-03,3.250198e-07,1.273024e-01,1.793437e-05
-18.00,-7.50,1.034445e-06,4.210641e-07,4.959226e-01,2.496183e-01,2.463043e-01,8.489990e-01,1.510010e-01,-5.320768e-08,-5.005244e-07,-9.059668e-10,-2.395323e-11,-2.257300e-10,-1.700034e-10,1.033579e-06,1.416419e-11,2.275432e-08,1.238087e-10,7.008382e-10,3.693454e-09,0.000000e+00,0.000000e+00,0.000000e+00,4.740502e-08,4.812323e-07,0.000000e+00,2.154754e-08,3.841768e-05,6.956502e-07,1.240293e-03,6.849593e-02,3.841768e-05,2.154754e-08,4.137856e-04,1.189975e-06,1.189975e-06,2.121639e-03,2.285155e-02,6.956502e-07,7.492644e-06,3.901799e-10,1.335884e-02,2.154754e-08,3.841768e-05,1.189975e-06,3.841768e-05,4.137856e-04,2.121639e-03,7.377497e-01,6.571707e-05,3.841826e-04,2.154786e-07,6.956605e-06,3.901855e-09,3.841826e-04,6.956605e-06,1.240312e-02,7.492755e-05,4.137918e-03,2.154786e-07,1.335904e-01,1.189993e-05
-18.00,-7.00,-3.315549e-06,-1.257975e-06,7.721095e-01,3.909403e-01,3.811691e-01,8.493319e-01,1.506681e-01,-5.445993e-08,-6.648186e-07,-2.165777e-09,-2.641408e-11,-1.245556e-10,-3.910497e-10,-1.448728e-06,-1.782587e-11,-3.838731e-08,-2.953701e-10,-1.667330e-09,-6.638051e-09,0.000000e+00,0.000000e+00,0.000000e+00,-2.034588e-07,-8.943692e-07,0.000000e+00,1.035330e-08,1.867855e-05,3.373290e-07,6.085800e-04,3.369823e-02,1.867855e-05,1.035330e-08,4.291503e-04,5.732821e-07,5.732821e-07,1.034267e-03,2.376287e-02,3.373290e-07,7.750327e-06,1.869806e-10,1.398248e-02,1.035330e-08,1.867855e-05,5.732821e-07,1.867855e-05,4.291504e-04,1.034267e-03,7.742363e-01,3.174372e-05,1.867882e-04,1.035346e-07,3.373340e-06,1.869834e-09,1.867882e-04,3.373340e-06,6.085891e-03,7.750443e-05,4.291568e-03,1.035346e-07,1.398269e-01,5.732907e-06
-18.00,-6.50,-5.015919e-06,-1.689623e-06,9.672571e-01,4.978929e-01,4.693642e-01,8.503749e-01,1.496251e-01,-2.361975e-07,-2.012797e-06,-6.526144e-09,-2.735677e-11,-1.896327e-10,-1.385161e-09,-9.497549e-07,-1.204318e-11,-4.953499e-08,-1.452261e-10,-8.205705e-10,-8.996533e-09,0.000000e+00,0.000000e+00,0.000000e+00,-7.390083e-08,-1.675631e-06,0.000000e+00,3.810406e-09,7.129670e-06,1.276928e-07,2.389267e-04,1.334036e-02,7.129670e-06,3.810406e-09,4.259727e-04,2.127523e-07,2.127523e-07,3.980818e-04,2.378399e-02,1.276928e-07,7.629197e-06,6.824466e-11,1.427503e-02,3.810406e-09,7.129670e-06,2.127523e-07,7.129670e-06,4.259727e-04,3.980818e-04,7.970395e-01,1.187893e-05,7.129776e-05,3.810463e-08,1.276947e-06,6.824564e-10,7.129776e-05,1.276947e-06,2.389302e-03,7.629311e-05,4.259790e-03,3.810463e-08,1.427524e-01,2.127554e-06
-18.00,-6.00,-2.101840e-05,-6.312470e-06,1.146237e+00,6.118648e-01,5.343722e-01,8.535780e-01,1.464220e-01,-6.838242e-07,-5.832002e-06,-1.845138e-08,-2.807544e-11,-1.753167e-10,-3.792987e-09,-7.100406e-06,-1.031678e-10,-2.122155e-07,-2.512191e-10,-1.456891e-09,-3.670145e-08,0.000000e+00,0.000000e+00,0.000000e+00,-9.637318e-07,-6.165263e-06,0.000000e+00,1.165322e-09,2.427153e-06,4.236119e-08,8.823061e-05,5.055316e-03,2.427153e-06,1.165322e-09,3.893272e-04,6.676904e-08,6.676903e-08,1.390677e-04,2.230714e-02,4.236119e-08,6.794941e-06,2.033847e-11,1.415262e-02,1.165322e-09,2.427153e-06,6.676903e-08,2.427153e-06,3.893272e-04,1.390677e-04,8.108973e-01,3.825641e-06,2.427189e-05,1.165340e-08,4.236182e-07,2.033874e-10,2.427189e-05,4.236182e-07,8.823192e-04,6.795042e-05,3.893330e-03,1.165340e-08,1.415283e-01,6.677003e-07
-18.00,-5.50,-5.049810e-05,-1.503127e-05,1.435499e+00,8.014954e-01,6.340035e-01,8.628456e-01,1.371544e-01,-1.731927e-06,-1.521460e-05,-4.349862e-08,-2.681907e-11,-2.602955e-10,-8.387832e-09,-1.624976e-05,-2.322361e-10,-4.418298e-07,-2.382815e-10,-1.430079e-09,-7.609335e-08,0.000000e+00,0.000000e+00,0.000000e+00,-3.715303e-06,-1.301451e-05,0.000000e+00,2.905516e-10,7.993214e-07,1.291072e-08,3.551801e-05,2.198972e-03,7.993214e-07,2.905516e-10,3.009387e-04,1.798848e-08,1.798847e-08,4.948715e-05,1.863155e-02,1.291072e-08,4.860792e-06,4.693062e-12,1.337227e-02,2.905517e-10,7.993221e-07,1.798847e-08,7.993214e-07,3.009386e-04,4.948715e-05,8.278972e-01,1.113692e-06,7.993333e-06,2.905560e-09,1.291091e-07,4.693088e-11,7.993333e-06,1.291091e-07,3.551854e-04,4.860864e-05,3.009431e-03,2.905560e-09,1.337247e-01,1.798874e-07
-18.00,-5.00,-1.042649e-04,-3.222315e-05,1.876242e+00,1.049191e+00,8.270511e-01,8.856059e-01,1.143941e-01,-3.472842e-06,-3.124993e-05,-7.409648e-08,-2.156684e-11,-1.950735e-10,-1.251933e-08,-3.382731e-05,-4.699147e-10,-7.150359e-07,-2.154879e-10,-1.353036e-09,-1.224553e-07,0.000000e+00,0.000000e+00,0.000000e+00,-9.540764e-06,-2.524771e-05,0.000000e+00,5.463128e-11,2.650497e-07,3.468421e-09,1.682742e-05,1.285921e-03,2.650497e-07,5.463133e-11,1.770809e-04,4.174822e-09,4.174812e-09,2.025459e-05,1.353219e-02,3.468421e-09,2.317267e-06,7.149192e-13,1.124247e-02,5.463134e-11,2.650500e-07,4.174812e-09,2.650497e-07,1.770809e-04,2.025459e-05,8.591301e-01,3.190310e-07,2.650537e-06,5.463208e-10,3.468472e-08,7.149109e-12,2.650537e-06,3.468472e-08,1.682767e-04,2.317302e-05,1.770835e-03,5.463208e-10,1.124264e-01,4.174874e-08
-18.00,-4.50,-1.689050e-04,-5.506522e-05,2.353844e+00,1.235856e+00,1.117987e+00,9.244946e-01,7.550543e-02,-5.467014e-06,-5.073343e-05,-8.985865e-08,-1.568520e-11,-1.627585e-10,-1.095209e-08,-5.543108e-05,-7.668707e-10,-7.646183e-07,-1.826761e-10,-1.151336e-09,-1.274049e-07,0.000000e+00,0.000000e+00,0.000000e+00,-1.864776e-05,-3.763058e-05,0.000000e+00,7.900236e-12,8.983290e-08,7.397256e-10,8.411397e-06,1.021501e-03,8.983294e-08,7.900245e-12,7.968805e-05,9.594070e-10,9.594062e-10,1.090949e-05,9.677494e-03,7.397253e-10,6.561877e-07,6.517328e-14,7.461495e-03,7.900280e-12,8.983304e-08,9.594058e-10,8.983289e-08,7.968808e-05,1.090950e-05,9.061433e-01,1.165120e-07,8.983423e-07,7.900348e-11,7.397365e-09,6.515899e-13,8.983427e-07,7.397370e-09,8.411523e-05,6.561975e-06,7.968927e-04,7.900317e-11,7.461604e-02,9.594204e-09
