cell_line_id,split
22RV1,train
2313287,train
253J,train
253JBV,train
42MGBA,train
5637,test
639V,train
647V,train
697,train
769P,train
786O,train
8305C,test
8505C,train
8MGBA,train
A172,train
A2058,train
A253,train
A2780,train
A375,train
A388,train
A427,train
A431,test
A549,train
A673,test
ABC1,train
ACCMESO1,train
AGS,train
AM38,train
AML193,train
AMO1,train
ASH3,test
ASPC1,train
AU565,train
BC3C,train
BCPAP,train
BECKER,train
BFTC905,train
BFTC909,train
BHT101,train
BHY,test
BICR16,train
BICR22,test
BICR31,train
BICR56,train
BICR6,train
BICR78,train
BL70,train
BPH1,train
BT12,train
BT16,test
BT549,test
BXPC3,train
C2BBE1,train
C33A,train
C4I,train
CA922,train
CADOES1,train
CAKI1,train
CAKI2,train
CAL120,test
CAL12T,train
CAL27,test
CAL29,train
CAL33,train
CAL51,train
CAL62,train
CAL72,train
CAL78,train
CALU1,test
CALU6,train
CAMA1,train
CAOV3,train
CAOV4,test
CAPAN1,train
CAS1,train
CASKI,train
CCFSTTG1,train
CCK81,test
CFPAC1,train
CHAGOK1,train
CHP134,train
CHP212,train
CL11,train
CL40,train
CMLT1,train
COLO201,test
COLO320,train
COLO678,train
COLO679,train
COLO680N,test
COLO684,test
COLO792,train
COLO800,train
COLO824,train
CORL105,train
CORL23,test
CORL279,train
CORL311,train
CORL47,train
COV318,train
COV362,train
COV434,train
COV504,train
COV644,test
D283MED,train
DANG,train
DAOY,train
DB,train
DBTRG05MG,train
DEL,test
DETROIT562,train
DKMG,train
DLD1,train
DMS273,test
DMS53,train
DOTC24510,train
DU4475,test
EBC1,test
ECGI10,train
EFE184,train
EFM19,train
EFO21,train
EFO27,train
EJM,train
EKVX,train
EM2,train
EN,train
EOL1,train
EPLC272H,train
ES2,train
ESO26,train
ESO51,train
ESS1,train
F36P,train
FADU,train
FARAGE,train
FLO1,train
FTC133,train
FU97,train
G292CLONEA141B1,train
G401,train
G402,train
GAMG,test
GB1,train
GCT,train
GI1,train
GIMEN,train
GP5D,train
GSS,train
GSU,train
H4,train
HCC1143,test
HCC1187,train
HCC1359,train
HCC1395,train
