drug,cell_line_id,observed_ic50
ABIRATERONE,A2780,4.7738
ABIRATERONE,A375,6.50049
ABIRATERONE,A549,6.70753
ABIRATERONE,AMO1,5.37893
ABIRATERONE,CAL51,10.4154
ABIRATERONE,CALU6,10.5041
ABIRATERONE,CAOV3,6.1738
ABIRATERONE,CL11,7.29076
ABIRATERONE,DBTRG05MG,5.88155
ABIRATERONE,EFE184,5.98916
ABIRATERONE,EPLC272H,7.04283
ABIRATERONE,FU97,6.29794
ABIRATERONE,HEC151,8.27805
ABIRATERONE,HEC50B,12.1142
ABIRATERONE,HEPG2,6.06248
ABIRATERONE,HEYA8,6.80898
ABIRATERONE,HS852T,6.44356
ABIRATERONE,HS936T,5.93886
ABIRATERONE,HS944T,7.10627
ABIRATERONE,HSC4,6.46998
ABIRATERONE,HT1376,12.398
ABIRATERONE,HT55,5.56295
ABIRATERONE,HUH6,6.07556
ABIRATERONE,HUPT4,6.7507
ABIRATERONE,IGROV1,10.2038
ABIRATERONE,IPC298,5.51543
ABIRATERONE,KALS1,7.10203
ABIRATERONE,KELLY,6.02509
ABIRATERONE,KM12,10.7198
ABIRATERONE,KNS60,4.94399
ABIRATERONE,KNS81,5.73292
ABIRATERONE,KYO1,5.95956
ABIRATERONE,KYSE410,4.73997
ABIRATERONE,KYSE70,6.63461
ABIRATERONE,L33,6.48999
ABIRATERONE,L363,5.80834
ABIRATERONE,LCLC97TM1,5.42765
ABIRATERONE,LOUNH91,6.41936
ABIRATERONE,LOVO,5.98631
ABIRATERONE,LS123,6.2197
ABIRATERONE,MC116,5.41439
ABIRATERONE,MDAMB231,6.97292
ABIRATERONE,MDAMB435S,6.52956
ABIRATERONE,MDST8,6.25155
ABIRATERONE,MELJUSO,5.92797
ABIRATERONE,MKN74,6.4888
ABIRATERONE,MM1S,5.84494
ABIRATERONE,MONOMAC1,7.01865
ABIRATERONE,MSTO211H,6.30357
ABIRATERONE,NB1,6.54256
ABIRATERONE,NCIH1355,5.98658
ABIRATERONE,NCIH1373,6.86662
ABIRATERONE,NCIH1573,5.2024
ABIRATERONE,NCIH1650,6.78912
ABIRATERONE,NCIH1666,5.21947
ABIRATERONE,NCIH1792,6.6224
ABIRATERONE,NCIH2023,6.46115
ABIRATERONE,NCIH2052,6.71781
ABIRATERONE,NCIH2122,5.49238
ABIRATERONE,NCIH226,5.83539
ABIRATERONE,NCIH2452,6.92799
ABIRATERONE,NCIH446,4.9865
ABIRATERONE,NCIH460,6.58324
ABIRATERONE,NCIH520,6.04195
ABIRATERONE,NCIH661,10.2632
ABIRATERONE,OAW28,7.16444
ABIRATERONE,OVCAR8,9.92138
ABIRATERONE,OVK18,6.30271
ABIRATERONE,PATU8902,11.2524
ABIRATERONE,PC14,6.10504
ABIRATERONE,RCHACV,6.41697
ABIRATERONE,RI1,7.50529
ABIRATERONE,RKN,5.85428
ABIRATERONE,RKO,6.96641
ABIRATERONE,RMGI,6.73449
ABIRATERONE,RPMI8226,6.29812
ABIRATERONE,RT112,6.19516
ABIRATERONE,RT4,6.54219
ABIRATERONE,SKMEL30,5.74138
ABIRATERONE,SKMM2,5.96573
ABIRATERONE,SKOV3,6.1544
ABIRATERONE,SNGM,6.93609
ABIRATERONE,SNU761,4.4352
ABIRATERONE,SNU840,6.67477
ABIRATERONE,SNUC5,7.00718
ABIRATERONE,SUDHL4,5.89025
ABIRATERONE,SUDHL8,6.21565
ABIRATERONE,SUPT1,6.04748
ABIRATERONE,SW1088,7.12827
ABIRATERONE,SW1271,6.27077
ABIRATERONE,SW620,5.92293
ABIRATERONE,TCCPAN2,6.28365
ABIRATERONE,TE4,6.34208
ABIRATERONE,TE6,4.98806
ABIRATERONE,TE8,6.81853
ABIRATERONE,THP1,6.23591
ABIRATERONE,TYKNU,6.25505
ABIRATERONE,UMUC3,5.72473
ABIRATERONE,VMRCRCW,6.45349
ABIRATERONE,WM793,6.02973
ABIRATERONE,YAPC,5.9189
ABIRATERONE,ZR751,5.84745
ABT-751,A2780,-0.95491
ABT-751,A375,0.624504
ABT-751,A549,1.89482
ABT-751,AGS,-1.24271
ABT-751,AMO1,-3.28736
ABT-751,BL70,-2.50271
ABT-751,CAL12T,2.37936
ABT-751,CALU6,-4.40401
ABT-751,CAOV3,4.06451
ABT-751,CHAGOK1,-1.69627
ABT-751,CL40,4.89925
ABT-751,COLO320,3.42366
ABT-751,COLO678,6.3613
ABT-751,CORL279,-1.62028
ABT-751,COV318,9.78682
ABT-751,COV362,5.86365
ABT-751,COV434,3.87894
ABT-751,EFO21,5.82878
ABT-751,EFO27,8.42726
ABT-751,EJM,-1.93155
ABT-751,EPLC272H,-0.84455
ABT-751,FU97,4.80503
ABT-751,G401,-3.63588
ABT-751,HCC1359,0.66021
ABT-751,HCC15,0.107347
ABT-751,HCC33,0.343144
ABT-751,HCC44,0.364772
ABT-751,HEC151,-2.21394
ABT-751,HEC251,-2.80435
ABT-751,HEC265,-4.94754
ABT-751,HEC59,6.96461
ABT-751,HEC6,2.47201
ABT-751,HEPG2,6.96377
ABT-751,HEYA8,2.4521
ABT-751,HS852T,-0.53438
ABT-751,HS936T,0.502601
ABT-751,HS944T,2.41677
ABT-751,HT,-0.925288
ABT-751,HT1080,-0.555886
ABT-751,HT1376,5.3953
ABT-751,HT55,2.59359
ABT-751,HUPT4,0.7799
ABT-751,IGROV1,5.38726
ABT-751,ISHIKAWAHERAKLIO02ER,-1.74701
ABT-751,JHH6,5.5603
ABT-751,JHOC5,5.65741
ABT-751,JHOM1,-1.87717
ABT-751,JHOS4,-3.70236
ABT-751,KE97,-2.31286
ABT-751,KM12,0.385923
ABT-751,KMBC2,10.119
ABT-751,KNS62,-2.59229
ABT-751,KP3,1.68183
ABT-751,KU812,-0.948835
ABT-751,KYSE410,-0.130472
ABT-751,KYSE450,2.76329
ABT-751,LCLC97TM1,-3.48892
