Group,IDR_A,IDR_B,mean_Pearson_r
FYW(Rich),DDX4,FUS,0.666518
FYW(Rich),DDX4,NUP98,0.828457
FYW(Rich),DDX4,Pol II,0.229675
FYW(Rich),DDX4,RBM14,0.67771
FYW(Rich),DDX4,TAF15(IDR1),0.798715
FYW(Rich),DDX4,TAF15(IDR2),0.769997
FYW(Rich),DDX4,TIA1,0.247062
FYW(Rich),DDX4,hnRNPA1,0.875642
FYW(Rich),DDX4,hnRNPA2,0.321566
FYW(Rich),DDX4,hnRNPA3,0.703745
FYW(Rich),DDX4,hnRNPAB,0.080775
FYW(Rich),DDX4,hnRNPD,0.181697
FYW(Rich),DDX4,hnRNPDL,0.091949
FYW(Rich),FUS,NUP98,0.258765
FYW(Rich),FUS,Pol II,0.822741
FYW(Rich),FUS,RBM14,0.859386
FYW(Rich),FUS,TAF15(IDR1),0.78595
FYW(Rich),FUS,TAF15(IDR2),0.788664
FYW(Rich),FUS,TIA1,0.136765
FYW(Rich),FUS,hnRNPA1,0.777487
FYW(Rich),FUS,hnRNPA2,0.205032
FYW(Rich),FUS,hnRNPA3,0.199932
FYW(Rich),FUS,hnRNPAB,0.089789
FYW(Rich),FUS,hnRNPD,0.104065
FYW(Rich),FUS,hnRNPDL,0.144923
FYW(Rich),NUP98,Pol II,0.142911
FYW(Rich),NUP98,RBM14,0.563837
FYW(Rich),NUP98,TAF15(IDR1),0.042265
FYW(Rich),NUP98,TAF15(IDR2),0.042677
FYW(Rich),NUP98,TIA1,0.119592
FYW(Rich),NUP98,hnRNPA1,0.767828
FYW(Rich),NUP98,hnRNPA2,0.107089
FYW(Rich),NUP98,hnRNPA3,0.031165
FYW(Rich),NUP98,hnRNPAB,0.001196
FYW(Rich),NUP98,hnRNPD,0.192063
FYW(Rich),NUP98,hnRNPDL,0.177453
FYW(Rich),Pol II,RBM14,0.536389
FYW(Rich),Pol II,TAF15(IDR1),0.592218
FYW(Rich),Pol II,TAF15(IDR2),0.540622
FYW(Rich),Pol II,TIA1,0.110778
FYW(Rich),Pol II,hnRNPA1,0.638765
FYW(Rich),Pol II,hnRNPA2,0.325096
FYW(Rich),Pol II,hnRNPA3,0.290006
FYW(Rich),Pol II,hnRNPAB,0.29491
FYW(Rich),Pol II,hnRNPD,0.211057
FYW(Rich),Pol II,hnRNPDL,0.224794
FYW(Rich),RBM14,TAF15(IDR1),0.699057
FYW(Rich),RBM14,TAF15(IDR2),0.271538
FYW(Rich),RBM14,TIA1,0.73104
FYW(Rich),RBM14,hnRNPA1,0.960265
FYW(Rich),RBM14,hnRNPA2,0.93548
FYW(Rich),RBM14,hnRNPA3,0.23653
FYW(Rich),RBM14,hnRNPAB,0.118924
FYW(Rich),RBM14,hnRNPD,0.067702
FYW(Rich),RBM14,hnRNPDL,0.167827
FYW(Rich),TAF15(IDR1),TAF15(IDR2),0.720142
FYW(Rich),TAF15(IDR1),TIA1,0.30435
FYW(Rich),TAF15(IDR1),hnRNPA1,0.704848
FYW(Rich),TAF15(IDR1),hnRNPA2,0.0025
FYW(Rich),TAF15(IDR1),hnRNPA3,0.65757
FYW(Rich),TAF15(IDR1),hnRNPAB,0.220958
FYW(Rich),TAF15(IDR1),hnRNPD,0.411924
FYW(Rich),TAF15(IDR1),hnRNPDL,0.346322
FYW(Rich),TAF15(IDR2),TIA1,0.288686
FYW(Rich),TAF15(IDR2),hnRNPA1,0.717031
FYW(Rich),TAF15(IDR2),hnRNPA2,0.57638
FYW(Rich),TAF15(IDR2),hnRNPA3,0.588761
FYW(Rich),TAF15(IDR2),hnRNPAB,0.245768
FYW(Rich),TAF15(IDR2),hnRNPD,0.083242
FYW(Rich),TAF15(IDR2),hnRNPDL,0.208735
FYW(Rich),TIA1,hnRNPA1,0.737144
FYW(Rich),TIA1,hnRNPA2,0.21542
FYW(Rich),TIA1,hnRNPA3,0.202585
FYW(Rich),TIA1,hnRNPAB,0.058926
FYW(Rich),TIA1,hnRNPD,0.098942
FYW(Rich),TIA1,hnRNPDL,0.116623
FYW(Rich),hnRNPA1,hnRNPA2,0.809791
FYW(Rich),hnRNPA1,hnRNPA3,0.846531
FYW(Rich),hnRNPA1,hnRNPAB,0.885156
FYW(Rich),hnRNPA1,hnRNPD,0.841196
FYW(Rich),hnRNPA1,hnRNPDL,0.790625
FYW(Rich),hnRNPA2,hnRNPA3,0.780257
FYW(Rich),hnRNPA2,hnRNPAB,0.657045
FYW(Rich),hnRNPA2,hnRNPD,0.675932
FYW(Rich),hnRNPA2,hnRNPDL,0.645674
FYW(Rich),hnRNPA3,hnRNPAB,0.209196
FYW(Rich),hnRNPA3,hnRNPD,0.223317
FYW(Rich),hnRNPA3,hnRNPDL,0.332775
FYW(Rich),hnRNPAB,hnRNPD,0.4092
FYW(Rich),hnRNPAB,hnRNPDL,0.315937
FYW(Rich),hnRNPD,hnRNPDL,0.778871
FYW(Poor),BRD4,BRD9,0.893633
FYW(Poor),BRD4,CPEB2,0.845677
FYW(Poor),BRD4,FMRP,0.914308
FYW(Poor),BRD4,HES4,0.920955
FYW(Poor),BRD4,MED1,0.146557
FYW(Poor),BRD4,MED15,0.07195
FYW(Poor),BRD4,MLLT1,0.879956
FYW(Poor),BRD4,PRCC,0.190786
FYW(Poor),BRD4,SFPQ,0.236758
FYW(Poor),BRD4,SMARCA2,0.323795
FYW(Poor),BRD4,TDP43,0.843653
FYW(Poor),BRD4,hnRNPH1,0.942274
FYW(Poor),BRD4,hnRNPK,0.239044
FYW(Poor),BRD9,CPEB2,-0.109202
FYW(Poor),BRD9,FMRP,0.101846
FYW(Poor),BRD9,HES4,-0.045058
FYW(Poor),BRD9,MED1,0.956446
FYW(Poor),BRD9,MED15,0.040959
FYW(Poor),BRD9,MLLT1,0.894859
FYW(Poor),BRD9,PRCC,0.230161
FYW(Poor),BRD9,SFPQ,-0.099749
FYW(Poor),BRD9,SMARCA2,-0.003891
FYW(Poor),BRD9,TDP43,0.014667
FYW(Poor),BRD9,hnRNPH1,-0.037434
FYW(Poor),BRD9,hnRNPK,-0.248028
FYW(Poor),CPEB2,FMRP,0.023956
FYW(Poor),CPEB2,HES4,0.10052
FYW(Poor),CPEB2,MED1,0.568611
FYW(Poor),CPEB2,MED15,-0.129002
FYW(Poor),CPEB2,MLLT1,-0.013638
FYW(Poor),CPEB2,PRCC,0.085974
FYW(Poor),CPEB2,SFPQ,0.040692
FYW(Poor),CPEB2,SMARCA2,0.212064
FYW(Poor),CPEB2,TDP43,0.698669
FYW(Poor),CPEB2,hnRNPH1,0.642452
FYW(Poor),CPEB2,hnRNPK,0.020347
FYW(Poor),FMRP,HES4,-0.183903
FYW(Poor),FMRP,MED1,0.048807
FYW(Poor),FMRP,MED15,0.019614
FYW(Poor),FMRP,MLLT1,-0.091797
FYW(Poor),FMRP,PRCC,0.010845
FYW(Poor),FMRP,SFPQ,0.177526
FYW(Poor),FMRP,SMARCA2,0.070477
FYW(Poor),FMRP,TDP43,0.034211
FYW(Poor),FMRP,hnRNPH1,-0.037651
FYW(Poor),FMRP,hnRNPK,-0.105361
FYW(Poor),HES4,MED1,0.884288
FYW(Poor),HES4,MED15,0.054828
FYW(Poor),HES4,MLLT1,0.058591
FYW(Poor),HES4,PRCC,0.157062
FYW(Poor),HES4,SFPQ,0.142224
FYW(Poor),HES4,SMARCA2,0.044638
FYW(Poor),HES4,TDP43,0.027664
FYW(Poor),HES4,hnRNPH1,0.125302
FYW(Poor),HES4,hnRNPK,-0.17363
FYW(Poor),MED1,MED15,0.024219
FYW(Poor),MED1,MLLT1,0.741265
FYW(Poor),MED1,PRCC,0.146537
FYW(Poor),MED1,SFPQ,-0.001044
FYW(Poor),MED1,SMARCA2,0.248081
FYW(Poor),MED1,TDP43,0.209218
FYW(Poor),MED1,hnRNPH1,0.000803
FYW(Poor),MED1,hnRNPK,0.334221
FYW(Poor),MED15,MLLT1,-0.103594
FYW(Poor),MED15,PRCC,-0.018203
FYW(Poor),MED15,SFPQ,0.197982
FYW(Poor),MED15,SMARCA2,0.181381
FYW(Poor),MED15,TDP43,0.198173
FYW(Poor),MED15,hnRNPH1,0.048264
FYW(Poor),MED15,hnRNPK,0.149243
FYW(Poor),MLLT1,PRCC,0.086504
FYW(Poor),MLLT1,SFPQ,0.010179
FYW(Poor),MLLT1,SMARCA2,0.060007
FYW(Poor),MLLT1,TDP43,0.888892
FYW(Poor),MLLT1,hnRNPH1,-0.022231
FYW(Poor),MLLT1,hnRNPK,-0.028881
FYW(Poor),PRCC,SFPQ,0.095861
FYW(Poor),PRCC,SMARCA2,0.095716
FYW(Poor),PRCC,TDP43,0.290455
FYW(Poor),PRCC,hnRNPH1,0.011965
FYW(Poor),PRCC,hnRNPK,0.220375
FYW(Poor),SFPQ,SMARCA2,0.062521
FYW(Poor),SFPQ,TDP43,0.099049
FYW(Poor),SFPQ,hnRNPH1,-0.004923
FYW(Poor),SFPQ,hnRNPK,0.347251
FYW(Poor),SMARCA2,TDP43,0.313407
FYW(Poor),SMARCA2,hnRNPH1,0.082018
FYW(Poor),SMARCA2,hnRNPK,0.083729
