pair,Group,Pearson_r
hnRNPD-hnRNPA3,FYW(Rich)&S(Poor),-0.001657
hnRNPD-hnRNPA3,FYW(Rich)&S(Poor),0.135285
hnRNPD-hnRNPA3,FYW(Rich)&S(Poor),0.189231
hnRNPD-hnRNPA3,FYW(Rich)&S(Poor),0.226383
hnRNPD-hnRNPA3,FYW(Rich)&S(Poor),0.410367
hnRNPD-hnRNPA3,FYW(Rich)&S(Poor),0.38029
hnRNPD-hnRNPA3,FYW(Rich)&HighS,0.702262
hnRNPD-hnRNPA3,FYW(Rich)&HighS,0.765525
hnRNPD-hnRNPA3,FYW(Rich)&HighS,0.485867
hnRNPD-hnRNPA3,FYW(Rich)&HighS,0.704272
hnRNPD-hnRNPA3,FYW(Rich)&HighS,0.571294
hnRNPD-hnRNPA3,FYW(Rich)&HighS,0.570713
hnRNPD-hnRNPA3,FYW(Rich)&HighS,0.680475
hnRNPD-hnRNPA3,FYW(Rich)&HighS,0.663451
hnRNPD-hnRNPA3,FYW(Rich)&HighS,0.767102
hnRNPDL-hnRNPA3,FYW(Rich)&S(Poor),0.245981
hnRNPDL-hnRNPA3,FYW(Rich)&S(Poor),0.512801
hnRNPDL-hnRNPA3,FYW(Rich)&S(Poor),0.266839
hnRNPDL-hnRNPA3,FYW(Rich)&S(Poor),0.215956
hnRNPDL-hnRNPA3,FYW(Rich)&S(Poor),0.422297
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.928963
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.716375
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.438179
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.351231
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.783943
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.724524
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.675907
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.843849
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.855876
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.827768
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.87767
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.770517
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.894019
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.484225
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.65188
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.87945
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.794737
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.706637
hnRNPDL-hnRNPA3,FYW(Rich)&HighS,0.7473
TIA1-hnRNPA3,FYW(Rich)&S(Poor),0.364459
TIA1-hnRNPA3,FYW(Rich)&S(Poor),0.082798
TIA1-hnRNPA3,FYW(Rich)&S(Poor),0.164813
TIA1-hnRNPA3,FYW(Rich)&S(Poor),0.314606
TIA1-hnRNPA3,FYW(Rich)&S(Poor),0.08625
TIA1-hnRNPA3,FYW(Rich)&HighS,0.043374
TIA1-hnRNPA3,FYW(Rich)&HighS,0.119501
TIA1-hnRNPA3,FYW(Rich)&HighS,0.156691
TIA1-hnRNPA3,FYW(Rich)&HighS,0.133854
TIA1-hnRNPA3,FYW(Rich)&HighS,-0.00468
TIA1-hnRNPA3,FYW(Rich)&HighS,0.15559
TIA1-hnRNPA3,FYW(Rich)&HighS,-0.012707
TIA1-hnRNPA3,FYW(Rich)&HighS,0.189601
TIA1-hnRNPA3,FYW(Rich)&HighS,0.157679
TIA1-hnRNPA3,FYW(Rich)&HighS,0.077355
TIA1-hnRNPA3,FYW(Rich)&HighS,0.345809
TIA1-hnRNPA3,FYW(Rich)&HighS,0.146171
hnRNPAB-hnRNPA3,FYW(Rich)&S(Poor),0.148672
hnRNPAB-hnRNPA3,FYW(Rich)&S(Poor),0.205797
hnRNPAB-hnRNPA3,FYW(Rich)&S(Poor),0.07455
hnRNPAB-hnRNPA3,FYW(Rich)&S(Poor),0.270954
hnRNPAB-hnRNPA3,FYW(Rich)&S(Poor),0.081912
hnRNPAB-hnRNPA3,FYW(Rich)&S(Poor),0.064635
hnRNPAB-hnRNPA3,FYW(Rich)&S(Poor),0.219211
hnRNPAB-hnRNPA3,FYW(Rich)&S(Poor),0.363658
hnRNPAB-hnRNPA3,FYW(Rich)&S(Poor),0.453376
hnRNPAB-hnRNPA3,FYW(Rich)&HighS,0.781328
hnRNPAB-hnRNPA3,FYW(Rich)&HighS,0.736562
hnRNPAB-hnRNPA3,FYW(Rich)&HighS,0.815447
hnRNPAB-hnRNPA3,FYW(Rich)&HighS,0.79865
hnRNPAB-hnRNPA3,FYW(Rich)&HighS,0.762
hnRNPAB-hnRNPA3,FYW(Rich)&HighS,0.890719
hnRNPAB-hnRNPA3,FYW(Rich)&HighS,0.891326
hnRNPAB-hnRNPA3,FYW(Rich)&HighS,0.795856
hnRNPAB-hnRNPA3,FYW(Rich)&HighS,0.682731
hnRNPD-hnRNPDL,FYW(Rich)&S(Poor),0.550913
hnRNPD-hnRNPDL,FYW(Rich)&S(Poor),0.787968
hnRNPD-hnRNPDL,FYW(Rich)&S(Poor),0.73362
hnRNPD-hnRNPDL,FYW(Rich)&S(Poor),0.960426
hnRNPD-hnRNPDL,FYW(Rich)&S(Poor),0.869177
hnRNPD-hnRNPDL,FYW(Rich)&S(Poor),0.771119
hnRNPD-hnRNPDL,FYW(Rich)&HighS,0.888523
hnRNPD-hnRNPDL,FYW(Rich)&HighS,0.759451
hnRNPD-hnRNPDL,FYW(Rich)&HighS,0.55938
hnRNPD-hnRNPDL,FYW(Rich)&HighS,0.887498
hnRNPD-hnRNPDL,FYW(Rich)&HighS,0.726558
hnRNPD-TIA1,FYW(Rich)&S(Poor),0.018006
hnRNPD-TIA1,FYW(Rich)&S(Poor),0.097413
hnRNPD-TIA1,FYW(Rich)&S(Poor),0.078657
hnRNPD-TIA1,FYW(Rich)&S(Poor),0.16301
hnRNPD-TIA1,FYW(Rich)&S(Poor),0.112204
hnRNPD-TIA1,FYW(Rich)&S(Poor),0.125547
hnRNPD-TIA1,FYW(Rich)&S(Poor),0.097757
hnRNPD-TIA1,FYW(Rich)&HighS,0.371811
hnRNPD-TIA1,FYW(Rich)&HighS,0.303418
hnRNPD-TIA1,FYW(Rich)&HighS,0.256298
hnRNPD-TIA1,FYW(Rich)&HighS,0.686494
hnRNPD-TIA1,FYW(Rich)&HighS,0.696881
hnRNPD-TIA1,FYW(Rich)&HighS,0.191412
hnRNPD-TIA1,FYW(Rich)&HighS,0.302725
hnRNPD-TIA1,FYW(Rich)&HighS,0.427344
hnRNPD-TIA1,FYW(Rich)&HighS,0.185391
hnRNPD-TIA1,FYW(Rich)&HighS,-0.007733
hnRNPD-TIA1,FYW(Rich)&HighS,0.411621
hnRNPAB-hnRNPD,FYW(Rich)&S(Poor),0.318918
hnRNPAB-hnRNPD,FYW(Rich)&S(Poor),0.436913
hnRNPAB-hnRNPD,FYW(Rich)&S(Poor),0.450903
hnRNPAB-hnRNPD,FYW(Rich)&S(Poor),0.289086
hnRNPAB-hnRNPD,FYW(Rich)&S(Poor),0.439743
hnRNPAB-hnRNPD,FYW(Rich)&S(Poor),0.519635
hnRNPAB-hnRNPD,FYW(Rich)&HighS,0.876065
hnRNPAB-hnRNPD,FYW(Rich)&HighS,0.910416
hnRNPAB-hnRNPD,FYW(Rich)&HighS,0.910033
hnRNPAB-hnRNPD,FYW(Rich)&HighS,0.748348
hnRNPAB-hnRNPD,FYW(Rich)&HighS,0.867586
hnRNPAB-hnRNPD,FYW(Rich)&HighS,0.916145
hnRNPAB-hnRNPD,FYW(Rich)&HighS,0.759046
hnRNPAB-hnRNPD,FYW(Rich)&HighS,0.558078
hnRNPAB-hnRNPD,FYW(Rich)&HighS,0.872702
hnRNPAB-hnRNPD,FYW(Rich)&HighS,0.883392
hnRNPDL-TIA1,FYW(Rich)&S(Poor),0.028114
hnRNPDL-TIA1,FYW(Rich)&S(Poor),0.108183
hnRNPDL-TIA1,FYW(Rich)&S(Poor),0.087876
hnRNPDL-TIA1,FYW(Rich)&S(Poor),0.029419
hnRNPDL-TIA1,FYW(Rich)&S(Poor),-0.006564
hnRNPDL-TIA1,FYW(Rich)&S(Poor),0.255315
hnRNPDL-TIA1,FYW(Rich)&S(Poor),0.314017
hnRNPDL-TIA1,FYW(Rich)&HighS,0.601573
hnRNPDL-TIA1,FYW(Rich)&HighS,0.456878
hnRNPDL-TIA1,FYW(Rich)&HighS,0.878573
hnRNPDL-TIA1,FYW(Rich)&HighS,0.629218
hnRNPDL-TIA1,FYW(Rich)&HighS,0.621659
hnRNPDL-TIA1,FYW(Rich)&HighS,0.447722
hnRNPDL-TIA1,FYW(Rich)&HighS,0.66037
hnRNPDL-TIA1,FYW(Rich)&HighS,0.261358
hnRNPDL-TIA1,FYW(Rich)&HighS,0.315317
hnRNPAB-hnRNPDL,FYW(Rich)&S(Poor),0.138322
hnRNPAB-hnRNPDL,FYW(Rich)&S(Poor),0.298927
hnRNPAB-hnRNPDL,FYW(Rich)&S(Poor),0.422908
hnRNPAB-hnRNPDL,FYW(Rich)&S(Poor),0.291738
hnRNPAB-hnRNPDL,FYW(Rich)&S(Poor),0.427788
hnRNPAB-hnRNPDL,FYW(Rich)&HighS,0.826605
hnRNPAB-hnRNPDL,FYW(Rich)&HighS,0.910745
hnRNPAB-hnRNPDL,FYW(Rich)&HighS,0.854107
hnRNPAB-hnRNPDL,FYW(Rich)&HighS,0.758578
hnRNPAB-TIA1,FYW(Rich)&S(Poor),-0.060909
hnRNPAB-TIA1,FYW(Rich)&S(Poor),-0.043746
hnRNPAB-TIA1,FYW(Rich)&S(Poor),-0.085455
hnRNPAB-TIA1,FYW(Rich)&S(Poor),0.186959
hnRNPAB-TIA1,FYW(Rich)&S(Poor),0.089104
hnRNPAB-TIA1,FYW(Rich)&S(Poor),0.220452
hnRNPAB-TIA1,FYW(Rich)&S(Poor),0.106077
hnRNPAB-TIA1,FYW(Rich)&HighS,0.595778
hnRNPAB-TIA1,FYW(Rich)&HighS,0.226002
hnRNPAB-TIA1,FYW(Rich)&HighS,0.012285
hnRNPAB-TIA1,FYW(Rich)&HighS,0.075327
hnRNPAB-TIA1,FYW(Rich)&HighS,0.136411
hnRNPAB-TIA1,FYW(Rich)&HighS,0.521822
hnRNPAB-TIA1,FYW(Rich)&HighS,0.580659
hnRNPAB-TIA1,FYW(Rich)&HighS,0.448185
hnRNPAB-TIA1,FYW(Rich)&HighS,0.26613
