pair,Configuration,Pearson_r
DDX4-FMRP,A (original),0.590564
DDX4-FMRP,A (original),0.569674
DDX4-FMRP,A (original),0.584741
DDX4-FMRP,A (original),0.53879
DDX4-FMRP,A (original),0.665807
DDX4-FMRP,B (backbone-swapped),0.955268
DDX4-FMRP,B (backbone-swapped),0.679218
DDX4-FMRP,B (backbone-swapped),0.955984
DDX4-FMRP,B (backbone-swapped),0.880603
DDX4-FMRP,B (backbone-swapped),0.959188
DDX4-FMRP,B (backbone-swapped),0.90391
DDX4-FMRP,B (backbone-swapped),0.56706
DDX4-FMRP,B (backbone-swapped),0.360289
DDX4-FMRP,B (backbone-swapped),0.859419
DDX4-FMRP,B (backbone-swapped),0.749832
DDX4-FMRP,B (backbone-swapped),0.9054
DDX4-FMRP,B (backbone-swapped),0.556755
DDX4-FMRP,B (backbone-swapped),0.963348
DDX4-FMRP,B (backbone-swapped),0.848367
DDX4-FMRP,B (backbone-swapped),0.420421
DDX4-FMRP,B (backbone-swapped),0.803714
DDX4-FMRP,B (backbone-swapped),0.732573
DDX4-FMRP,B (backbone-swapped),0.806571
DDX4-FMRP,B (backbone-swapped),0.971979
DDX4-FMRP,B (backbone-swapped),0.7835
DDX4-FMRP,B (backbone-swapped),0.940002
DDX4-FMRP,B (backbone-swapped),0.927328
DDX4-FMRP,B (backbone-swapped),0.837198
DDX4-FMRP,B (backbone-swapped),0.789701
DDX4-FMRP,B (backbone-swapped),0.90959
DDX4-FMRP,B (backbone-swapped),0.828107
DDX4-FMRP,B (backbone-swapped),0.959939
DDX4-FMRP,B (backbone-swapped),0.966001
DDX4-FMRP,B (backbone-swapped),0.957449
DDX4-FUS,A (original),0.693765
DDX4-FUS,A (original),0.741815
DDX4-FUS,A (original),0.734499
DDX4-FUS,A (original),0.66028
DDX4-FUS,A (original),0.50223
DDX4-FUS,B (backbone-swapped),0.65835
DDX4-FUS,B (backbone-swapped),0.888955
DDX4-FUS,B (backbone-swapped),0.842274
DDX4-FUS,B (backbone-swapped),0.601323
DDX4-FUS,B (backbone-swapped),0.726178
DDX4-FUS,B (backbone-swapped),0.679147
DDX4-FUS,B (backbone-swapped),0.6448
DDX4-FUS,B (backbone-swapped),0.671805
DDX4-FUS,B (backbone-swapped),0.827673
DDX4-FUS,B (backbone-swapped),0.713737
DDX4-FUS,B (backbone-swapped),0.692592
hnRNPA1-DDX4,A (original),0.905731
hnRNPA1-DDX4,A (original),0.811151
hnRNPA1-DDX4,A (original),0.858473
hnRNPA1-DDX4,A (original),0.927215
hnRNPA1-DDX4,B (backbone-swapped),-0.020183
hnRNPA1-DDX4,B (backbone-swapped),0.931512
hnRNPA1-DDX4,B (backbone-swapped),0.760955
hnRNPA1-DDX4,B (backbone-swapped),0.886112
hnRNPA1-DDX4,B (backbone-swapped),0.946379
hnRNPA1-DDX4,B (backbone-swapped),0.79866
hnRNPA1-DDX4,B (backbone-swapped),0.951577
hnRNPA1-DDX4,B (backbone-swapped),0.726163
hnRNPA1-DDX4,B (backbone-swapped),0.673739
hnRNPA1-DDX4,B (backbone-swapped),0.906792
hnRNPA1-DDX4,B (backbone-swapped),0.931898
hnRNPA1-DDX4,B (backbone-swapped),0.940027
hnRNPA1-DDX4,B (backbone-swapped),0.938622
hnRNPA1-DDX4,B (backbone-swapped),0.975148
hnRNPA1-DDX4,B (backbone-swapped),0.894214
hnRNPA1-DDX4,B (backbone-swapped),0.87934
hnRNPA1-DDX4,B (backbone-swapped),0.587075
hnRNPA1-DDX4,B (backbone-swapped),0.597496
hnRNPA1-DDX4,B (backbone-swapped),0.828927
hnRNPA1-DDX4,B (backbone-swapped),0.939287
hnRNPA1-DDX4,B (backbone-swapped),0.945243
hnRNPA1-DDX4,B (backbone-swapped),0.875355
hnRNPA1-DDX4,B (backbone-swapped),0.959637
hnRNPA1-DDX4,B (backbone-swapped),0.894586
hnRNPA1-DDX4,B (backbone-swapped),0.983668
hnRNPA1-DDX4,B (backbone-swapped),0.950052
hnRNPA1-DDX4,B (backbone-swapped),0.919787
hnRNPA1-DDX4,B (backbone-swapped),0.936202
hnRNPA1-DDX4,B (backbone-swapped),0.971287
hnRNPA1-DDX4,B (backbone-swapped),0.788506
hnRNPA1-DDX4,B (backbone-swapped),0.8664
