Group,IDR_A,IDR_B,mean_Pearson_r
EDKRH(High),BRD4,BRD9,0.893633
EDKRH(High),BRD4,DDX4,0.185317
EDKRH(High),BRD4,FMRP,0.914308
EDKRH(High),BRD4,HES4,0.920955
EDKRH(High),BRD4,MED1,0.146557
EDKRH(High),BRD4,MLLT1,0.879956
EDKRH(High),BRD4,PRCC,0.190786
EDKRH(High),BRD4,SFPQ,0.236758
EDKRH(High),BRD4,SMARCA2,0.323795
EDKRH(High),BRD4,TAF15(IDR1),0.232591
EDKRH(High),BRD4,TAF15(IDR2),0.17911
EDKRH(High),BRD4,hnRNPDL,0.687921
EDKRH(High),BRD4,hnRNPK,0.239044
EDKRH(High),BRD9,DDX4,-0.011544
EDKRH(High),BRD9,FMRP,0.101846
EDKRH(High),BRD9,HES4,-0.045058
EDKRH(High),BRD9,MED1,0.956446
EDKRH(High),BRD9,MLLT1,0.894859
EDKRH(High),BRD9,PRCC,0.230161
EDKRH(High),BRD9,SFPQ,-0.099749
EDKRH(High),BRD9,SMARCA2,-0.003891
EDKRH(High),BRD9,TAF15(IDR1),-0.073442
EDKRH(High),BRD9,TAF15(IDR2),-0.0173
EDKRH(High),BRD9,hnRNPDL,0.06263
EDKRH(High),BRD9,hnRNPK,-0.248028
EDKRH(High),DDX4,FMRP,0.589915
EDKRH(High),DDX4,HES4,0.268643
EDKRH(High),DDX4,MED1,0.077069
EDKRH(High),DDX4,MLLT1,-0.113371
EDKRH(High),DDX4,PRCC,0.080445
EDKRH(High),DDX4,SFPQ,0.555705
EDKRH(High),DDX4,SMARCA2,0.8155
EDKRH(High),DDX4,TAF15(IDR1),0.798715
EDKRH(High),DDX4,TAF15(IDR2),0.769997
EDKRH(High),DDX4,hnRNPDL,0.091949
EDKRH(High),DDX4,hnRNPK,0.786012
EDKRH(High),FMRP,HES4,-0.183903
EDKRH(High),FMRP,MED1,0.048807
EDKRH(High),FMRP,MLLT1,-0.091797
EDKRH(High),FMRP,PRCC,0.010845
EDKRH(High),FMRP,SFPQ,0.177526
EDKRH(High),FMRP,SMARCA2,0.070477
EDKRH(High),FMRP,TAF15(IDR1),0.092563
EDKRH(High),FMRP,TAF15(IDR2),0.068128
EDKRH(High),FMRP,hnRNPDL,0.051785
EDKRH(High),FMRP,hnRNPK,-0.105361
EDKRH(High),HES4,MED1,0.884288
EDKRH(High),HES4,MLLT1,0.058591
EDKRH(High),HES4,PRCC,0.157062
EDKRH(High),HES4,SFPQ,0.142224
EDKRH(High),HES4,SMARCA2,0.044638
EDKRH(High),HES4,TAF15(IDR1),0.107333
EDKRH(High),HES4,TAF15(IDR2),0.021094
EDKRH(High),HES4,hnRNPDL,0.244036
EDKRH(High),HES4,hnRNPK,-0.17363
EDKRH(High),MED1,MLLT1,0.741265
EDKRH(High),MED1,PRCC,0.146537
EDKRH(High),MED1,SFPQ,-0.001044
EDKRH(High),MED1,SMARCA2,0.248081
EDKRH(High),MED1,TAF15(IDR1),0.095295
EDKRH(High),MED1,TAF15(IDR2),0.220569
EDKRH(High),MED1,hnRNPDL,0.066686
EDKRH(High),MED1,hnRNPK,0.334221
EDKRH(High),MLLT1,PRCC,0.086504
EDKRH(High),MLLT1,SFPQ,0.010179
EDKRH(High),MLLT1,SMARCA2,0.060007
EDKRH(High),MLLT1,TAF15(IDR1),0.005253
EDKRH(High),MLLT1,TAF15(IDR2),0.050066
EDKRH(High),MLLT1,hnRNPDL,0.057949
EDKRH(High),MLLT1,hnRNPK,-0.028881
EDKRH(High),PRCC,SFPQ,0.095861
EDKRH(High),PRCC,SMARCA2,0.095716
EDKRH(High),PRCC,TAF15(IDR1),0.137805
EDKRH(High),PRCC,TAF15(IDR2),0.25009
EDKRH(High),PRCC,hnRNPDL,0.227119
EDKRH(High),PRCC,hnRNPK,0.220375
EDKRH(High),SFPQ,SMARCA2,0.062521
EDKRH(High),SFPQ,TAF15(IDR1),0.035185
EDKRH(High),SFPQ,TAF15(IDR2),0.045129
EDKRH(High),SFPQ,hnRNPDL,0.120713
EDKRH(High),SFPQ,hnRNPK,0.347251
EDKRH(High),SMARCA2,TAF15(IDR1),0.627162
EDKRH(High),SMARCA2,TAF15(IDR2),0.083024
EDKRH(High),SMARCA2,hnRNPDL,0.027064
EDKRH(High),SMARCA2,hnRNPK,0.083729
EDKRH(High),TAF15(IDR1),TAF15(IDR2),0.720142
EDKRH(High),TAF15(IDR1),hnRNPDL,0.346322
EDKRH(High),TAF15(IDR1),hnRNPK,0.154389
EDKRH(High),TAF15(IDR2),hnRNPDL,0.208735
EDKRH(High),TAF15(IDR2),hnRNPK,0.301215
EDKRH(High),hnRNPDL,hnRNPK,0.370044
EDKRH(Low),CPEB2,FUS,0.787299
EDKRH(Low),CPEB2,MED15,-0.129002
EDKRH(Low),CPEB2,NUP98,0.037256
EDKRH(Low),CPEB2,Pol II,0.553532
EDKRH(Low),CPEB2,RBM14,0.735735
EDKRH(Low),CPEB2,TDP43,0.698669
EDKRH(Low),CPEB2,TIA1,0.541954
EDKRH(Low),CPEB2,hnRNPA1,0.729974
EDKRH(Low),CPEB2,hnRNPA2,0.205395
EDKRH(Low),CPEB2,hnRNPA3,0.007295
EDKRH(Low),CPEB2,hnRNPAB,0.860992
EDKRH(Low),CPEB2,hnRNPD,0.777423
EDKRH(Low),CPEB2,hnRNPH1,0.642452
EDKRH(Low),FUS,MED15,0.864403
EDKRH(Low),FUS,NUP98,0.258765
EDKRH(Low),FUS,Pol II,0.822741
EDKRH(Low),FUS,RBM14,0.859386
EDKRH(Low),FUS,TDP43,0.746074
EDKRH(Low),FUS,TIA1,0.136765
EDKRH(Low),FUS,hnRNPA1,0.777487
EDKRH(Low),FUS,hnRNPA2,0.205032
EDKRH(Low),FUS,hnRNPA3,0.199932
EDKRH(Low),FUS,hnRNPAB,0.089789
EDKRH(Low),FUS,hnRNPD,0.104065
EDKRH(Low),FUS,hnRNPH1,0.567407
EDKRH(Low),MED15,NUP98,0.673805
EDKRH(Low),MED15,Pol II,0.72798
EDKRH(Low),MED15,RBM14,0.818685
EDKRH(Low),MED15,TDP43,0.198173
EDKRH(Low),MED15,TIA1,0.725192
EDKRH(Low),MED15,hnRNPA1,0.627966
EDKRH(Low),MED15,hnRNPA2,-0.055302
EDKRH(Low),MED15,hnRNPA3,0.075747
EDKRH(Low),MED15,hnRNPAB,0.015945
EDKRH(Low),MED15,hnRNPD,-0.026702
EDKRH(Low),MED15,hnRNPH1,0.048264
EDKRH(Low),NUP98,Pol II,0.142911
EDKRH(Low),NUP98,RBM14,0.563837
EDKRH(Low),NUP98,TDP43,0.122263
EDKRH(Low),NUP98,TIA1,0.119592
EDKRH(Low),NUP98,hnRNPA1,0.767828
EDKRH(Low),NUP98,hnRNPA2,0.107089
EDKRH(Low),NUP98,hnRNPA3,0.031165
EDKRH(Low),NUP98,hnRNPAB,0.001196
EDKRH(Low),NUP98,hnRNPD,0.192063
EDKRH(Low),NUP98,hnRNPH1,0.584592
EDKRH(Low),Pol II,RBM14,0.536389
EDKRH(Low),Pol II,TDP43,0.150109
EDKRH(Low),Pol II,TIA1,0.110778
EDKRH(Low),Pol II,hnRNPA1,0.638765
EDKRH(Low),Pol II,hnRNPA2,0.325096
EDKRH(Low),Pol II,hnRNPA3,0.290006
EDKRH(Low),Pol II,hnRNPAB,0.29491
EDKRH(Low),Pol II,hnRNPD,0.211057
EDKRH(Low),Pol II,hnRNPH1,0.273531
EDKRH(Low),RBM14,TDP43,0.252904
EDKRH(Low),RBM14,TIA1,0.73104
EDKRH(Low),RBM14,hnRNPA1,0.960265
EDKRH(Low),RBM14,hnRNPA2,0.93548
EDKRH(Low),RBM14,hnRNPA3,0.23653
EDKRH(Low),RBM14,hnRNPAB,0.118924
EDKRH(Low),RBM14,hnRNPD,0.067702
EDKRH(Low),RBM14,hnRNPH1,0.568575
EDKRH(Low),TDP43,TIA1,0.810869
EDKRH(Low),TDP43,hnRNPA1,0.771342
EDKRH(Low),TDP43,hnRNPA2,0.105396
EDKRH(Low),TDP43,hnRNPA3,0.711091
EDKRH(Low),TDP43,hnRNPAB,0.074614
EDKRH(Low),TDP43,hnRNPD,0.053554
EDKRH(Low),TDP43,hnRNPH1,0.715769
EDKRH(Low),TIA1,hnRNPA1,0.737144
EDKRH(Low),TIA1,hnRNPA2,0.21542
EDKRH(Low),TIA1,hnRNPA3,0.202585
EDKRH(Low),TIA1,hnRNPAB,0.058926
EDKRH(Low),TIA1,hnRNPD,0.098942
EDKRH(Low),TIA1,hnRNPH1,0.280934
EDKRH(Low),hnRNPA1,hnRNPA2,0.809791
EDKRH(Low),hnRNPA1,hnRNPA3,0.846531
EDKRH(Low),hnRNPA1,hnRNPAB,0.885156
EDKRH(Low),hnRNPA1,hnRNPD,0.841196
EDKRH(Low),hnRNPA1,hnRNPH1,0.5771
EDKRH(Low),hnRNPA2,hnRNPA3,0.780257
EDKRH(Low),hnRNPA2,hnRNPAB,0.657045
EDKRH(Low),hnRNPA2,hnRNPD,0.675932
