pair,Group,Pearson_r
SFPQ-hnRNPK,WT,0.313449
SFPQ-hnRNPK,WT,0.213849
SFPQ-hnRNPK,WT,0.428264
SFPQ-hnRNPK,WT,0.433442
BRD9-hnRNPK,WT,-0.0229058
BRD9-hnRNPK,WT,-0.146477
BRD9-hnRNPK,WT,-0.421809
BRD9-hnRNPK,WT,-0.416118
BRD9-hnRNPK,WT,-0.209983
BRD9-hnRNPK,WT,-0.340491
BRD9-hnRNPK,WT,-0.382813
BRD9-hnRNPK,WT,-0.25221
BRD9-hnRNPK,WT,-0.342996
BRD9-hnRNPK,WT,0.115809
BRD9-hnRNPK,WT,-0.21942
BRD9-hnRNPK,WT,-0.295001
BRD9-hnRNPK,WT,-0.330183
BRD9-hnRNPK,WT,-0.564488
BRD9-hnRNPK,WT,-0.192286
BRD9-hnRNPK,WT,-0.426515
BRD9-hnRNPK,WT,0.0313047
BRD9-hnRNPK,WT,-0.0479183
PRCC-hnRNPK,WT,0.0957515
PRCC-hnRNPK,WT,0.151439
PRCC-hnRNPK,WT,0.228891
PRCC-hnRNPK,WT,0.303352
PRCC-hnRNPK,WT,0.210948
PRCC-hnRNPK,WT,0.331868
BRD9-SFPQ,WT,-0.177401
BRD9-SFPQ,WT,-0.20234
BRD9-SFPQ,WT,-0.151844
BRD9-SFPQ,WT,0.120477
BRD9-SFPQ,WT,-0.195205
BRD9-SFPQ,WT,-0.249749
BRD9-SFPQ,WT,0.211219
BRD9-SFPQ,WT,-0.153148
PRCC-SFPQ,WT,0.216803
PRCC-SFPQ,WT,-0.0456912
PRCC-SFPQ,WT,0.020362
PRCC-SFPQ,WT,0.0352952
PRCC-SFPQ,WT,0.252535
BRD9-PRCC,WT,-0.0258004
BRD9-PRCC,WT,0.432208
BRD9-PRCC,WT,0.202349
BRD9-PRCC,WT,0.264042
BRD9-PRCC,WT,0.227271
BRD9-PRCC,WT,0.237826
BRD9-PRCC,WT,0.184778
BRD9-PRCC,WT,0.318612
SFPQ-hnRNPK,HighS,-0.080438278
SFPQ-hnRNPK,HighS,0.125043895
SFPQ-hnRNPK,HighS,0.227732616
SFPQ-hnRNPK,HighS,0.42890492
SFPQ-hnRNPK,HighS,-0.236103119
SFPQ-hnRNPK,HighS,0.211042709
SFPQ-hnRNPK,HighS,-0.115799871
SFPQ-hnRNPK,HighS,0.388815798
BRD9-hnRNPK,HighS,0.0698494
BRD9-hnRNPK,HighS,0.17299477
BRD9-hnRNPK,HighS,0.292291964
BRD9-hnRNPK,HighS,-0.034839995
BRD9-hnRNPK,HighS,0.223923095
BRD9-hnRNPK,HighS,-0.000540603
BRD9-hnRNPK,HighS,0.292575456
BRD9-hnRNPK,HighS,0.168914135
BRD9-hnRNPK,HighS,0.250201967
BRD9-hnRNPK,HighS,0.543780889
BRD9-hnRNPK,HighS,0.160913851
BRD9-hnRNPK,HighS,0.242023354
PRCC-hnRNPK,HighS,0.014878501
PRCC-hnRNPK,HighS,-0.123197865
PRCC-hnRNPK,HighS,0.142782728
PRCC-hnRNPK,HighS,-0.162401224
PRCC-hnRNPK,HighS,-0.857562777
PRCC-hnRNPK,HighS,-0.186692663
PRCC-hnRNPK,HighS,-0.30505392
PRCC-hnRNPK,HighS,-0.012695223
BRD9-SFPQ,HighS,-0.281179374
BRD9-SFPQ,HighS,-0.372194147
BRD9-SFPQ,HighS,-0.200528251
BRD9-SFPQ,HighS,-0.372691899
BRD9-SFPQ,HighS,-0.219193753
BRD9-SFPQ,HighS,-0.136715183
BRD9-SFPQ,HighS,-0.180160924
BRD9-SFPQ,HighS,-0.154875349
BRD9-SFPQ,HighS,-0.264882906
BRD9-SFPQ,HighS,-0.217117447
BRD9-SFPQ,HighS,-0.321033245
PRCC-SFPQ,HighS,0.0725079
PRCC-SFPQ,HighS,0.147700056
PRCC-SFPQ,HighS,0.265460672
PRCC-SFPQ,HighS,0.063014438
PRCC-SFPQ,HighS,0.20222228
PRCC-SFPQ,HighS,0.321283286
BRD9-PRCC,HighS,0.368946076
BRD9-PRCC,HighS,0.275419567
BRD9-PRCC,HighS,0.482818876
BRD9-PRCC,HighS,-0.012699955
BRD9-PRCC,HighS,0.490423572
BRD9-PRCC,HighS,0.029905568
BRD9-PRCC,HighS,0.211916248
