Group,IDR_A,IDR_B,mean_Pearson_r
EDKRH(High)&S(Rich) (n=6),DDX4,FMRP,0.589915
EDKRH(High)&S(Rich) (n=6),DDX4,HES4,0.268643
EDKRH(High)&S(Rich) (n=6),DDX4,MED1,0.077069
EDKRH(High)&S(Rich) (n=6),DDX4,MLLT1,-0.113371
EDKRH(High)&S(Rich) (n=6),DDX4,TAF15(IDR1),0.798715
EDKRH(High)&S(Rich) (n=6),FMRP,HES4,-0.183903
EDKRH(High)&S(Rich) (n=6),FMRP,MED1,0.048807
EDKRH(High)&S(Rich) (n=6),FMRP,MLLT1,-0.091797
EDKRH(High)&S(Rich) (n=6),FMRP,TAF15(IDR1),0.092563
EDKRH(High)&S(Rich) (n=6),HES4,MED1,0.884288
EDKRH(High)&S(Rich) (n=6),HES4,MLLT1,0.058591
EDKRH(High)&S(Rich) (n=6),HES4,TAF15(IDR1),0.107333
EDKRH(High)&S(Rich) (n=6),MED1,MLLT1,0.741265
EDKRH(High)&S(Rich) (n=6),MED1,TAF15(IDR1),0.095295
EDKRH(High)&S(Rich) (n=6),MLLT1,TAF15(IDR1),0.005253
EDKRH(High)&S(Poor) (n=8),BRD4,BRD9,0.893633
EDKRH(High)&S(Poor) (n=8),BRD4,PRCC,0.190786
EDKRH(High)&S(Poor) (n=8),BRD4,SFPQ,0.236758
EDKRH(High)&S(Poor) (n=8),BRD4,SMARCA2,0.323795
EDKRH(High)&S(Poor) (n=8),BRD4,TAF15(IDR2),0.17911
EDKRH(High)&S(Poor) (n=8),BRD4,hnRNPDL,0.687921
EDKRH(High)&S(Poor) (n=8),BRD4,hnRNPK,0.239044
EDKRH(High)&S(Poor) (n=8),BRD9,SMARCA2,-0.003891
EDKRH(High)&S(Poor) (n=8),BRD9,TAF15(IDR2),-0.0173
EDKRH(High)&S(Poor) (n=8),BRD9,hnRNPDL,0.06263
EDKRH(High)&S(Poor) (n=8),PRCC,SFPQ,0.095861
EDKRH(High)&S(Poor) (n=8),PRCC,SMARCA2,0.095716
EDKRH(High)&S(Poor) (n=8),PRCC,TAF15(IDR2),0.25009
EDKRH(High)&S(Poor) (n=8),PRCC,hnRNPDL,0.227119
EDKRH(High)&S(Poor) (n=8),PRCC,hnRNPK,0.220375
EDKRH(High)&S(Poor) (n=8),SFPQ,SMARCA2,0.062521
EDKRH(High)&S(Poor) (n=8),SFPQ,TAF15(IDR2),0.045129
EDKRH(High)&S(Poor) (n=8),SFPQ,hnRNPDL,0.120713
EDKRH(High)&S(Poor) (n=8),SFPQ,hnRNPK,0.347251
EDKRH(High)&S(Poor) (n=8),SMARCA2,TAF15(IDR2),0.083024
EDKRH(High)&S(Poor) (n=8),SMARCA2,hnRNPDL,0.027064
EDKRH(High)&S(Poor) (n=8),SMARCA2,hnRNPK,0.083729
EDKRH(High)&S(Poor) (n=8),TAF15(IDR2),hnRNPK,0.301215
EDKRH(High)&S(Poor) (n=8),hnRNPDL,hnRNPK,0.370044
EDKRH(Low)&S(Rich) (n=8),CPEB2,FUS,0.787299
EDKRH(Low)&S(Rich) (n=8),CPEB2,NUP98,0.037256
EDKRH(Low)&S(Rich) (n=8),CPEB2,Pol II,0.553532
EDKRH(Low)&S(Rich) (n=8),CPEB2,RBM14,0.735735
EDKRH(Low)&S(Rich) (n=8),CPEB2,TDP43,0.698669
EDKRH(Low)&S(Rich) (n=8),CPEB2,hnRNPA1,0.729974
EDKRH(Low)&S(Rich) (n=8),CPEB2,hnRNPH1,0.642452
EDKRH(Low)&S(Rich) (n=8),FUS,NUP98,0.258765
EDKRH(Low)&S(Rich) (n=8),FUS,Pol II,0.822741
EDKRH(Low)&S(Rich) (n=8),FUS,RBM14,0.859386
EDKRH(Low)&S(Rich) (n=8),FUS,TDP43,0.746074
EDKRH(Low)&S(Rich) (n=8),FUS,hnRNPA1,0.777487
EDKRH(Low)&S(Rich) (n=8),FUS,hnRNPH1,0.567407
EDKRH(Low)&S(Rich) (n=8),NUP98,Pol II,0.142911
EDKRH(Low)&S(Rich) (n=8),NUP98,RBM14,0.563837
EDKRH(Low)&S(Rich) (n=8),NUP98,TDP43,0.122263
EDKRH(Low)&S(Rich) (n=8),NUP98,hnRNPA1,0.767828
EDKRH(Low)&S(Rich) (n=8),NUP98,hnRNPH1,0.584592
EDKRH(Low)&S(Rich) (n=8),Pol II,RBM14,0.536389
EDKRH(Low)&S(Rich) (n=8),Pol II,TDP43,0.150109
EDKRH(Low)&S(Rich) (n=8),Pol II,hnRNPA1,0.638765
EDKRH(Low)&S(Rich) (n=8),Pol II,hnRNPH1,0.273531
EDKRH(Low)&S(Rich) (n=8),RBM14,TDP43,0.252904
EDKRH(Low)&S(Rich) (n=8),RBM14,hnRNPA1,0.960265
EDKRH(Low)&S(Rich) (n=8),RBM14,hnRNPH1,0.568575
EDKRH(Low)&S(Rich) (n=8),TDP43,hnRNPA1,0.771342
EDKRH(Low)&S(Rich) (n=8),TDP43,hnRNPH1,0.715769
EDKRH(Low)&S(Rich) (n=8),hnRNPA1,hnRNPH1,0.5771
