pair,Group,Pearson_r
Pol II-FUS,EDKRH(Low)&S(Rich),0.875267
Pol II-FUS,EDKRH(Low)&S(Rich),0.781958
Pol II-FUS,EDKRH(Low)&S(Rich),0.781352
Pol II-FUS,EDKRH(Low)&S(Rich),0.847106
Pol II-FUS,EDKRH(Low)&S(Rich),0.828023
Pol II-FUS,EDKRH(High)&S(Rich),0.184054
Pol II-FUS,EDKRH(High)&S(Rich),0.149528
Pol II-FUS,EDKRH(High)&S(Rich),0.148199
Pol II-FUS,EDKRH(High)&S(Rich),0.307954
Pol II-FUS,EDKRH(High)&S(Rich),0.157494
Pol II-FUS,EDKRH(High)&S(Rich),0.12946
Pol II-FUS,EDKRH(High)&S(Rich),0.093384
Pol II-FUS,EDKRH(High)&S(Rich),0.120792
hnRNPA1-Pol II,EDKRH(Low)&S(Rich),0.67743
hnRNPA1-Pol II,EDKRH(Low)&S(Rich),0.499712
hnRNPA1-Pol II,EDKRH(Low)&S(Rich),0.638857
hnRNPA1-Pol II,EDKRH(Low)&S(Rich),0.739063
hnRNPA1-Pol II,EDKRH(High)&S(Rich),0.688679
hnRNPA1-Pol II,EDKRH(High)&S(Rich),-0.174281
hnRNPA1-Pol II,EDKRH(High)&S(Rich),0.504898
hnRNPA1-Pol II,EDKRH(High)&S(Rich),0.437164
hnRNPA1-Pol II,EDKRH(High)&S(Rich),0.419105
hnRNPA1-Pol II,EDKRH(High)&S(Rich),0.222002
hnRNPA1-Pol II,EDKRH(High)&S(Rich),0.071384
hnRNPA1-Pol II,EDKRH(High)&S(Rich),0.141552
hnRNPA1-FUS,EDKRH(Low)&S(Rich),0.732248
hnRNPA1-FUS,EDKRH(Low)&S(Rich),0.804755
hnRNPA1-FUS,EDKRH(Low)&S(Rich),0.800215
hnRNPA1-FUS,EDKRH(Low)&S(Rich),0.844892
hnRNPA1-FUS,EDKRH(Low)&S(Rich),0.855512
hnRNPA1-FUS,EDKRH(Low)&S(Rich),0.627302
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.282611
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.323357
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.40449
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.18479
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.410002
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.466481
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.320299
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.292368
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.420299
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.199625
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.2426
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.303873
hnRNPA1-FUS,EDKRH(High)&S(Rich),0.275539
hnRNPA1-RBM14,EDKRH(Low)&S(Rich),0.915273
hnRNPA1-RBM14,EDKRH(Low)&S(Rich),0.93715
hnRNPA1-RBM14,EDKRH(Low)&S(Rich),0.971002
hnRNPA1-RBM14,EDKRH(Low)&S(Rich),0.964823
hnRNPA1-RBM14,EDKRH(Low)&S(Rich),0.969473
hnRNPA1-RBM14,EDKRH(Low)&S(Rich),0.97126
hnRNPA1-RBM14,EDKRH(Low)&S(Rich),0.973814
hnRNPA1-RBM14,EDKRH(Low)&S(Rich),0.978804
hnRNPA1-RBM14,EDKRH(Low)&S(Rich),0.960785
hnRNPA1-RBM14,EDKRH(High)&S(Rich),0.360616
hnRNPA1-RBM14,EDKRH(High)&S(Rich),0.567365
hnRNPA1-RBM14,EDKRH(High)&S(Rich),0.204351
hnRNPA1-RBM14,EDKRH(High)&S(Rich),0.323038
hnRNPA1-RBM14,EDKRH(High)&S(Rich),0.275559
hnRNPA1-RBM14,EDKRH(High)&S(Rich),0.159196
hnRNPA1-RBM14,EDKRH(High)&S(Rich),0.159206
hnRNPA1-RBM14,EDKRH(High)&S(Rich),0.321946
hnRNPA1-RBM14,EDKRH(High)&S(Rich),0.403079
hnRNPA1-RBM14,EDKRH(High)&S(Rich),0.247637
hnRNPA1-RBM14,EDKRH(High)&S(Rich),0.643719
hnRNPA1-NUP98,EDKRH(Low)&S(Rich),0.687115
hnRNPA1-NUP98,EDKRH(Low)&S(Rich),0.84755
hnRNPA1-NUP98,EDKRH(Low)&S(Rich),0.602658
hnRNPA1-NUP98,EDKRH(Low)&S(Rich),0.835084
hnRNPA1-NUP98,EDKRH(Low)&S(Rich),0.71078
hnRNPA1-NUP98,EDKRH(Low)&S(Rich),0.923782
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.133663
hnRNPA1-NUP98,EDKRH(High)&S(Rich),-0.016487
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.264561
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.756771
hnRNPA1-NUP98,EDKRH(High)&S(Rich),-0.026827
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.20132
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.208555
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.107366
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.241174
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.207102
hnRNPA1-NUP98,EDKRH(High)&S(Rich),-0.014297
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.012172
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.462429
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.070383
hnRNPA1-NUP98,EDKRH(High)&S(Rich),0.112937
hnRNPH1-RBM14,EDKRH(Low)&S(Rich),0.570681
hnRNPH1-RBM14,EDKRH(Low)&S(Rich),0.589785
hnRNPH1-RBM14,EDKRH(Low)&S(Rich),0.508096
hnRNPH1-RBM14,EDKRH(Low)&S(Rich),0.521744
hnRNPH1-RBM14,EDKRH(Low)&S(Rich),0.529578
hnRNPH1-RBM14,EDKRH(Low)&S(Rich),0.691565
hnRNPH1-RBM14,EDKRH(High)&S(Rich),0.42285
hnRNPH1-RBM14,EDKRH(High)&S(Rich),0.579809
hnRNPH1-RBM14,EDKRH(High)&S(Rich),0.30203
hnRNPH1-RBM14,EDKRH(High)&S(Rich),0.477071
hnRNPH1-RBM14,EDKRH(High)&S(Rich),0.481206
hnRNPH1-RBM14,EDKRH(High)&S(Rich),0.488271
hnRNPH1-RBM14,EDKRH(High)&S(Rich),0.366947
hnRNPH1-RBM14,EDKRH(High)&S(Rich),0.405166
hnRNPH1-NUP98,EDKRH(Low)&S(Rich),0.525826
hnRNPH1-NUP98,EDKRH(Low)&S(Rich),0.52847
hnRNPH1-NUP98,EDKRH(Low)&S(Rich),0.69948
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.289516
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.11455
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.186812
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.543844
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.139104
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.197906
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.21198
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.237311
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.161967
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.182712
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.136216
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.214367
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.14614
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.167154
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.345139
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.34555
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.153806
hnRNPH1-NUP98,EDKRH(High)&S(Rich),0.075629
RBM14-NUP98,EDKRH(Low)&S(Rich),0.488805
RBM14-NUP98,EDKRH(Low)&S(Rich),0.515746
RBM14-NUP98,EDKRH(Low)&S(Rich),0.686961
RBM14-NUP98,EDKRH(High)&S(Rich),0.438647
RBM14-NUP98,EDKRH(High)&S(Rich),0.363954
RBM14-NUP98,EDKRH(High)&S(Rich),0.372066
RBM14-NUP98,EDKRH(High)&S(Rich),0.376354
RBM14-NUP98,EDKRH(High)&S(Rich),0.280063
RBM14-NUP98,EDKRH(High)&S(Rich),0.202065
NUP98-Pol II,EDKRH(Low)&S(Rich),0.17032
NUP98-Pol II,EDKRH(Low)&S(Rich),0.091106
NUP98-Pol II,EDKRH(Low)&S(Rich),0.154062
NUP98-Pol II,EDKRH(Low)&S(Rich),0.154945
NUP98-Pol II,EDKRH(Low)&S(Rich),0.098246
NUP98-Pol II,EDKRH(Low)&S(Rich),0.188785
NUP98-Pol II,EDKRH(High)&S(Rich),0.040719
NUP98-Pol II,EDKRH(High)&S(Rich),0.189632
NUP98-Pol II,EDKRH(High)&S(Rich),0.101497
NUP98-Pol II,EDKRH(High)&S(Rich),-0.012466
NUP98-Pol II,EDKRH(High)&S(Rich),0.062491
NUP98-Pol II,EDKRH(High)&S(Rich),0.079253
NUP98-Pol II,EDKRH(High)&S(Rich),0.01268
NUP98-Pol II,EDKRH(High)&S(Rich),0.013036
NUP98-Pol II,EDKRH(High)&S(Rich),0.035622
RBM14-Pol II,EDKRH(Low)&S(Rich),0.540547
RBM14-Pol II,EDKRH(Low)&S(Rich),0.520565
RBM14-Pol II,EDKRH(Low)&S(Rich),0.548055
RBM14-Pol II,EDKRH(High)&S(Rich),0.116794
RBM14-Pol II,EDKRH(High)&S(Rich),0.271946
RBM14-Pol II,EDKRH(High)&S(Rich),0.27581
RBM14-Pol II,EDKRH(High)&S(Rich),0.519965
RBM14-Pol II,EDKRH(High)&S(Rich),0.686772
RBM14-Pol II,EDKRH(High)&S(Rich),0.429524
RBM14-Pol II,EDKRH(High)&S(Rich),0.324397
hnRNPH1-Pol II,EDKRH(Low)&S(Rich),0.312842
hnRNPH1-Pol II,EDKRH(Low)&S(Rich),0.321779
hnRNPH1-Pol II,EDKRH(Low)&S(Rich),0.121286
hnRNPH1-Pol II,EDKRH(Low)&S(Rich),0.41703
hnRNPH1-Pol II,EDKRH(Low)&S(Rich),0.362257
hnRNPH1-Pol II,EDKRH(Low)&S(Rich),0.335097
hnRNPH1-Pol II,EDKRH(Low)&S(Rich),0.044426
hnRNPH1-Pol II,EDKRH(High)&S(Rich),0.489278
