Group,IDR_A,IDR_B,mean_Pearson_r
NCPR+ (n=6),BRD9,FMRP,0.101846
NCPR+ (n=6),BRD9,HES4,-0.045058
NCPR+ (n=6),BRD9,MED1,0.956446
NCPR+ (n=6),BRD9,hnRNPAB,0.209114
NCPR+ (n=6),BRD9,hnRNPD,0.172347
NCPR+ (n=6),FMRP,HES4,-0.183903
NCPR+ (n=6),FMRP,MED1,0.048807
NCPR+ (n=6),FMRP,hnRNPAB,0.014245
NCPR+ (n=6),FMRP,hnRNPD,-0.007433
NCPR+ (n=6),HES4,MED1,0.884288
NCPR+ (n=6),HES4,hnRNPAB,0.018484
NCPR+ (n=6),HES4,hnRNPD,-0.119382
NCPR+ (n=6),MED1,hnRNPAB,0.127774
NCPR+ (n=6),MED1,hnRNPD,-0.072243
NCPR+ (n=6),hnRNPAB,hnRNPD,0.4092
NCPR- (n=4),FUS,PRCC,0.026284
NCPR- (n=4),FUS,TAF15(IDR1),0.78595
NCPR- (n=4),FUS,hnRNPK,0.232968
NCPR- (n=4),PRCC,TAF15(IDR1),0.137805
NCPR- (n=4),PRCC,hnRNPK,0.220375
NCPR- (n=4),TAF15(IDR1),hnRNPK,0.154389
Others (n=18),BRD4,CPEB2,0.845677
Others (n=18),BRD4,DDX4,0.185317
Others (n=18),BRD4,MED15,0.07195
Others (n=18),BRD4,MLLT1,0.879956
Others (n=18),BRD4,NUP98,0.084978
Others (n=18),BRD4,Pol II,0.861119
Others (n=18),BRD4,RBM14,0.202322
Others (n=18),BRD4,SFPQ,0.236758
Others (n=18),BRD4,SMARCA2,0.323795
Others (n=18),BRD4,TAF15(IDR2),0.17911
Others (n=18),BRD4,TDP43,0.843653
Others (n=18),BRD4,TIA1,0.810315
Others (n=18),BRD4,hnRNPA1,0.057355
Others (n=18),BRD4,hnRNPA2,0.291614
Others (n=18),BRD4,hnRNPA3,0.871516
Others (n=18),BRD4,hnRNPDL,0.687921
Others (n=18),BRD4,hnRNPH1,0.942274
Others (n=18),CPEB2,DDX4,0.257687
Others (n=18),CPEB2,MED15,-0.129002
Others (n=18),CPEB2,MLLT1,-0.013638
Others (n=18),CPEB2,NUP98,0.037256
Others (n=18),CPEB2,Pol II,0.553532
Others (n=18),CPEB2,RBM14,0.735735
Others (n=18),CPEB2,SFPQ,0.040692
Others (n=18),CPEB2,SMARCA2,0.212064
Others (n=18),CPEB2,TAF15(IDR2),0.329925
Others (n=18),CPEB2,TDP43,0.698669
Others (n=18),CPEB2,TIA1,0.541954
Others (n=18),CPEB2,hnRNPA1,0.729974
Others (n=18),CPEB2,hnRNPA2,0.205395
Others (n=18),CPEB2,hnRNPA3,0.007295
Others (n=18),CPEB2,hnRNPDL,0.624429
Others (n=18),CPEB2,hnRNPH1,0.642452
Others (n=18),DDX4,MED15,0.694624
Others (n=18),DDX4,MLLT1,-0.113371
Others (n=18),DDX4,NUP98,0.828457
Others (n=18),DDX4,Pol II,0.229675
Others (n=18),DDX4,RBM14,0.67771
Others (n=18),DDX4,SFPQ,0.555705
Others (n=18),DDX4,SMARCA2,0.8155
Others (n=18),DDX4,TAF15(IDR2),0.769997
Others (n=18),DDX4,TDP43,0.704695
Others (n=18),DDX4,TIA1,0.247062
Others (n=18),DDX4,hnRNPA1,0.875642
Others (n=18),DDX4,hnRNPA2,0.321566
Others (n=18),DDX4,hnRNPA3,0.703745
Others (n=18),DDX4,hnRNPDL,0.091949
Others (n=18),DDX4,hnRNPH1,0.112926
Others (n=18),MED15,MLLT1,-0.103594
Others (n=18),MED15,NUP98,0.673805
Others (n=18),MED15,Pol II,0.72798
Others (n=18),MED15,RBM14,0.818685
Others (n=18),MED15,SFPQ,0.197982
Others (n=18),MED15,SMARCA2,0.181381
Others (n=18),MED15,TAF15(IDR2),0.130322
Others (n=18),MED15,TDP43,0.198173
Others (n=18),MED15,TIA1,0.725192
Others (n=18),MED15,hnRNPA1,0.627966
Others (n=18),MED15,hnRNPA2,-0.055302
Others (n=18),MED15,hnRNPA3,0.075747
Others (n=18),MED15,hnRNPDL,0.033965
Others (n=18),MED15,hnRNPH1,0.048264
Others (n=18),MLLT1,NUP98,0.010778
Others (n=18),MLLT1,Pol II,0.213003
Others (n=18),MLLT1,RBM14,-0.024513
Others (n=18),MLLT1,SFPQ,0.010179
Others (n=18),MLLT1,SMARCA2,0.060007
Others (n=18),MLLT1,TAF15(IDR2),0.050066
Others (n=18),MLLT1,TDP43,0.888892
Others (n=18),MLLT1,TIA1,0.005926
Others (n=18),MLLT1,hnRNPA1,0.151135
Others (n=18),MLLT1,hnRNPA2,0.045701
Others (n=18),MLLT1,hnRNPA3,0.128548
Others (n=18),MLLT1,hnRNPDL,0.057949
Others (n=18),MLLT1,hnRNPH1,-0.022231
Others (n=18),NUP98,Pol II,0.142911
Others (n=18),NUP98,RBM14,0.563837
Others (n=18),NUP98,SFPQ,0.08441
Others (n=18),NUP98,SMARCA2,0.101144
Others (n=18),NUP98,TAF15(IDR2),0.042677
Others (n=18),NUP98,TDP43,0.122263
Others (n=18),NUP98,TIA1,0.119592
Others (n=18),NUP98,hnRNPA1,0.767828
Others (n=18),NUP98,hnRNPA2,0.107089
Others (n=18),NUP98,hnRNPA3,0.031165
Others (n=18),NUP98,hnRNPDL,0.177453
Others (n=18),NUP98,hnRNPH1,0.584592
Others (n=18),Pol II,RBM14,0.536389
Others (n=18),Pol II,SFPQ,0.111256
Others (n=18),Pol II,SMARCA2,0.297476
Others (n=18),Pol II,TAF15(IDR2),0.540622
Others (n=18),Pol II,TDP43,0.150109
Others (n=18),Pol II,TIA1,0.110778
Others (n=18),Pol II,hnRNPA1,0.638765
Others (n=18),Pol II,hnRNPA2,0.325096
Others (n=18),Pol II,hnRNPA3,0.290006
Others (n=18),Pol II,hnRNPDL,0.224794
Others (n=18),Pol II,hnRNPH1,0.273531
Others (n=18),RBM14,SFPQ,0.080624
Others (n=18),RBM14,SMARCA2,0.649895
Others (n=18),RBM14,TAF15(IDR2),0.271538
Others (n=18),RBM14,TDP43,0.252904
Others (n=18),RBM14,TIA1,0.73104
Others (n=18),RBM14,hnRNPA1,0.960265
Others (n=18),RBM14,hnRNPA2,0.93548
Others (n=18),RBM14,hnRNPA3,0.23653
Others (n=18),RBM14,hnRNPDL,0.167827
Others (n=18),RBM14,hnRNPH1,0.568575
Others (n=18),SFPQ,SMARCA2,0.062521
Others (n=18),SFPQ,TAF15(IDR2),0.045129
Others (n=18),SFPQ,TDP43,0.099049
Others (n=18),SFPQ,TIA1,0.064758
Others (n=18),SFPQ,hnRNPA1,-0.046302
Others (n=18),SFPQ,hnRNPA2,0.082402
Others (n=18),SFPQ,hnRNPA3,0.065161
Others (n=18),SFPQ,hnRNPDL,0.120713
Others (n=18),SFPQ,hnRNPH1,-0.004923
Others (n=18),SMARCA2,TAF15(IDR2),0.083024
Others (n=18),SMARCA2,TDP43,0.313407
Others (n=18),SMARCA2,TIA1,0.133738
Others (n=18),SMARCA2,hnRNPA1,0.18517
Others (n=18),SMARCA2,hnRNPA2,0.055791
Others (n=18),SMARCA2,hnRNPA3,0.131216
Others (n=18),SMARCA2,hnRNPDL,0.027064
Others (n=18),SMARCA2,hnRNPH1,0.082018
Others (n=18),TAF15(IDR2),TDP43,-0.116202
Others (n=18),TAF15(IDR2),TIA1,0.288686
Others (n=18),TAF15(IDR2),hnRNPA1,0.717031
Others (n=18),TAF15(IDR2),hnRNPA2,0.57638
Others (n=18),TAF15(IDR2),hnRNPA3,0.588761
Others (n=18),TAF15(IDR2),hnRNPH1,0.315946
Others (n=18),TDP43,TIA1,0.810869
Others (n=18),TDP43,hnRNPA1,0.771342
Others (n=18),TDP43,hnRNPA2,0.105396
Others (n=18),TDP43,hnRNPA3,0.711091
Others (n=18),TDP43,hnRNPDL,0.100074
Others (n=18),TDP43,hnRNPH1,0.715769
Others (n=18),TIA1,hnRNPA1,0.737144
Others (n=18),TIA1,hnRNPA2,0.21542
