TF,Group,Pearson_r
NMYC,wt,0.58999854
NMYC,wt,0.62408569
NMYC,wt,0.767463558
NMYC,wt,0.553701077
NMYC,wt,0.603717439
NMYC,wt,0.653906103
NMYC,wt,0.622112619
NMYC,wt,0.820635041
NMYC,wt,0.677184128
NMYC,wt,0.50680619
NMYC,wt,0.779309009
NMYC,wt,0.897593719
NMYC,wt,0.457863879
NMYC,wt,0.700714516
NMYC,wt,0.643832602
NMYC,S+,0.693643359
NMYC,S+,0.692569504
NMYC,S+,0.572933661
NMYC,S+,0.755574184
NMYC,S+,0.637013065
NMYC,S+,0.608225104
NMYC,S+,0.60454955
NMYC,S+,0.881703476
NMYC,S+,0.578882004
NMYC,S+,0.752336959
NMYC,S+,0.559701124
NMYC,S+,0.884757858
NMYC,S+,0.512632435
NMYC,S+,0.49106396
NMYC,Charged,0.218713303
NMYC,Charged,0.244247972
NMYC,Charged,0.472242851
NMYC,Charged,0.235718249
NMYC,Charged,0.047407765
NMYC,Charged,-0.030231462
NMYC,Charged,0.335818184
NMYC,Charged,0.422518533
NMYC,Charged,0.225121725
NMYC,Charged,0.071929165
NMYC,Charged,0.182495215
OCT4,wt,0.629174323
OCT4,wt,0.553113172
OCT4,wt,0.552445078
OCT4,wt,0.550574465
OCT4,wt,0.829680644
OCT4,wt,0.756389718
OCT4,wt,0.647020593
OCT4,wt,0.862412142
OCT4,wt,0.786084351
OCT4,wt,0.729219073
OCT4,wt,0.831585795
OCT4,wt,0.877289324
OCT4,S+,0.804448285
OCT4,S+,0.797827011
OCT4,S+,0.679483789
OCT4,S+,0.714649513
OCT4,S+,0.84314689
OCT4,S+,0.806007559
OCT4,S+,0.771033747
OCT4,S+,0.83374054
OCT4,Charged,0.270116836
OCT4,Charged,0.082168759
OCT4,Charged,0.073296978
OCT4,Charged,0.100552916
OCT4,Charged,0.023161265
OCT4,Charged,-0.019421786
OCT4,Charged,0.087276966
OCT4,Charged,0.074695435
OCT4,Charged,0.086779179
OCT4,Charged,-0.031996386
OCT4,Charged,0.016407555
OCT4,Charged,0.054442346
OCT4,Charged,0.046246674
OCT4,Charged,0.031415051
OCT4,Charged,0.179546173
OCT4,Charged,0.090733181
OCT4,Charged,0.258574763
OCT4,Charged,0.214496721
