Entry_Name,SaPS(WT),SaPS(S/Y_Phos),Category
HNRDL_HUMAN,0.951265811920166,0.9486407,Decreased
PO3F2_HUMAN,0.951224207878112,0.9506329,Decreased
TADBP_HUMAN,0.950108647346496,0.91098195,Decreased
RA1L2_HUMAN,0.949695229530334,0.94966364,Decreased
DMKN_HUMAN,0.949621498584747,0.9493901,Decreased
YTHD3_HUMAN,0.949591517448425,0.9487115,Decreased
ANX11_HUMAN,0.949547111988067,0.95061284,Increased
YTHD1_HUMAN,0.949425816535949,0.9435315,Decreased
ZFHX3_HUMAN,0.948993563652038,0.94899356,Decreased
CSTFT_HUMAN,0.94839322566986,0.9467581,Decreased
RBM14_HUMAN,0.948137581348419,0.93286926,Decreased
YAP1_HUMAN,0.947860419750213,0.8150476,Decreased
PYGO1_HUMAN,0.947761535644531,0.94776154,Increased
ILF3_HUMAN,0.947644114494323,0.94913834,Increased
FA98A_HUMAN,0.947565078735351,0.9491421,Increased
EP300_HUMAN,0.947534441947937,0.946935,Decreased
HNRH2_HUMAN,0.947163224220275,0.9433182,Decreased
CHD7_HUMAN,0.947087943553924,0.94708794,Decreased
ARI1B_HUMAN,0.947064220905304,0.9470642,Decreased
DACH1_HUMAN,0.947058856487274,0.9491226,Increased
CBP_HUMAN,0.946900725364685,0.9441039,Decreased
K22E_HUMAN,0.946859180927276,0.9290598,Decreased
CAPR1_HUMAN,0.946857750415802,0.90710676,Decreased
TNR6A_HUMAN,0.946829438209533,0.94505537,Decreased
HNRH1_HUMAN,0.946677565574646,0.9447874,Decreased
HNRPR_HUMAN,0.946483135223388,0.9363944,Decreased
K2C1B_HUMAN,0.946094512939453,0.93788546,Decreased
ARP21_HUMAN,0.945987224578857,0.93549407,Decreased
NCOA3_HUMAN,0.94587767124176,0.94537866,Decreased
I2BPL_HUMAN,0.945812225341796,0.9485918,Increased
MAML3_HUMAN,0.94569444656372,0.9490851,Increased
K2C1_HUMAN,0.94540250301361,0.9434141,Decreased
HNRPD_HUMAN,0.945347905158996,0.9433783,Decreased
HNRPU_HUMAN,0.945347905158996,0.9433783,Decreased
BCL9L_HUMAN,0.944820046424865,0.94368297,Decreased
PRIO_HUMAN,0.94471675157547,0.9234945,Decreased
TNR6C_HUMAN,0.944567561149597,0.9436353,Decreased
PCF11_HUMAN,0.944564521312713,0.93497336,Decreased
CHD9_HUMAN,0.944547057151794,0.9423541,Decreased
SMCA2_HUMAN,0.944237828254699,0.94498265,Increased
SCAFB_HUMAN,0.944219231605529,0.94357884,Decreased
DAZP1_HUMAN,0.94400280714035,0.9422736,Decreased
SPT5H_HUMAN,0.943852245807647,0.9411524,Decreased
TCF20_HUMAN,0.943693041801452,0.9434966,Decreased
ZN384_HUMAN,0.943508446216583,0.88084173,Decreased
ANDR_HUMAN,0.943305313587188,0.94280404,Decreased
HNRL1_HUMAN,0.943270504474639,0.9426427,Decreased
HNRH3_HUMAN,0.943125367164611,0.71109515,Decreased
ZFHX4_HUMAN,0.943002581596374,0.94000375,Decreased
FOXP2_HUMAN,0.942696869373321,0.94269687,Increased
TNR6B_HUMAN,0.942629516124725,0.9394867,Decreased
ARI1A_HUMAN,0.942053616046905,0.941529,Decreased
CSTF2_HUMAN,0.942020118236541,0.9458434,Increased
ROA2_HUMAN,0.941693425178527,0.9222375,Decreased
K1C9_HUMAN,0.941542983055114,0.9414288,Decreased
ATX2L_HUMAN,0.94141399860382,0.9403571,Decreased
NU153_HUMAN,0.941383004188537,0.93598574,Decreased
ROAA_HUMAN,0.941155433654785,0.9391859,Decreased
ROA0_HUMAN,0.940932095050811,0.9097091,Decreased
IRS4_HUMAN,0.94091260433197,0.94454443,Increased
ATX2_HUMAN,0.940865516662597,0.93526876,Decreased
AMOT_HUMAN,0.940860450267791,0.9361973,Decreased
K1C10_HUMAN,0.940762877464294,0.9410391,Increased
ZMIZ1_HUMAN,0.940404415130615,0.9404044,Decreased
USF3_HUMAN,0.940395951271057,0.94009244,Decreased
FUBP2_HUMAN,0.940269291400909,0.9152104,Decreased
RUNX2_HUMAN,0.940068125724792,0.9034544,Decreased
ROA1_HUMAN,0.939882636070251,0.9402401,Increased
NCOA5_HUMAN,0.939700305461883,0.8838385,Decreased
