Group,IDR_A,IDR_B,mean_Pearson_r
S(Rich)&FYW(Rich) (n=7),DDX4,FUS,0.666518
S(Rich)&FYW(Rich) (n=7),DDX4,NUP98,0.828457
S(Rich)&FYW(Rich) (n=7),DDX4,Pol II,0.229675
S(Rich)&FYW(Rich) (n=7),DDX4,RBM14,0.67771
S(Rich)&FYW(Rich) (n=7),DDX4,TAF15(IDR1),0.798715
S(Rich)&FYW(Rich) (n=7),DDX4,hnRNPA1,0.875642
S(Rich)&FYW(Rich) (n=7),FUS,NUP98,0.258765
S(Rich)&FYW(Rich) (n=7),FUS,Pol II,0.822741
S(Rich)&FYW(Rich) (n=7),FUS,RBM14,0.859386
S(Rich)&FYW(Rich) (n=7),FUS,TAF15(IDR1),0.78595
S(Rich)&FYW(Rich) (n=7),FUS,hnRNPA1,0.777487
S(Rich)&FYW(Rich) (n=7),NUP98,Pol II,0.142911
S(Rich)&FYW(Rich) (n=7),NUP98,RBM14,0.563837
S(Rich)&FYW(Rich) (n=7),NUP98,TAF15(IDR1),0.042265
S(Rich)&FYW(Rich) (n=7),NUP98,hnRNPA1,0.767828
S(Rich)&FYW(Rich) (n=7),Pol II,RBM14,0.536389
S(Rich)&FYW(Rich) (n=7),Pol II,TAF15(IDR1),0.592218
S(Rich)&FYW(Rich) (n=7),Pol II,hnRNPA1,0.638765
S(Rich)&FYW(Rich) (n=7),RBM14,TAF15(IDR1),0.699057
S(Rich)&FYW(Rich) (n=7),RBM14,hnRNPA1,0.960265
S(Rich)&FYW(Rich) (n=7),TAF15(IDR1),hnRNPA1,0.704848
S(Rich)&FYW(Poor) (n=7),CPEB2,FMRP,0.023956
S(Rich)&FYW(Poor) (n=7),CPEB2,HES4,0.10052
S(Rich)&FYW(Poor) (n=7),CPEB2,MED1,0.568611
S(Rich)&FYW(Poor) (n=7),CPEB2,MLLT1,-0.013638
S(Rich)&FYW(Poor) (n=7),CPEB2,TDP43,0.698669
S(Rich)&FYW(Poor) (n=7),CPEB2,hnRNPH1,0.642452
S(Rich)&FYW(Poor) (n=7),FMRP,HES4,-0.183903
S(Rich)&FYW(Poor) (n=7),FMRP,MED1,0.048807
S(Rich)&FYW(Poor) (n=7),FMRP,MLLT1,-0.091797
S(Rich)&FYW(Poor) (n=7),FMRP,TDP43,0.034211
S(Rich)&FYW(Poor) (n=7),FMRP,hnRNPH1,-0.037651
S(Rich)&FYW(Poor) (n=7),HES4,MED1,0.884288
S(Rich)&FYW(Poor) (n=7),HES4,MLLT1,0.058591
S(Rich)&FYW(Poor) (n=7),HES4,TDP43,0.027664
S(Rich)&FYW(Poor) (n=7),HES4,hnRNPH1,0.125302
S(Rich)&FYW(Poor) (n=7),MED1,MLLT1,0.741265
S(Rich)&FYW(Poor) (n=7),MED1,TDP43,0.209218
S(Rich)&FYW(Poor) (n=7),MED1,hnRNPH1,0.000803
S(Rich)&FYW(Poor) (n=7),MLLT1,TDP43,0.888892
S(Rich)&FYW(Poor) (n=7),MLLT1,hnRNPH1,-0.022231
S(Rich)&FYW(Poor) (n=7),TDP43,hnRNPH1,0.715769
S(Poor)&FYW(Rich) (n=7),TAF15(IDR2),TIA1,0.288686
S(Poor)&FYW(Rich) (n=7),TAF15(IDR2),hnRNPA2,0.57638
S(Poor)&FYW(Rich) (n=7),TAF15(IDR2),hnRNPA3,0.588761
S(Poor)&FYW(Rich) (n=7),TAF15(IDR2),hnRNPAB,0.245768
S(Poor)&FYW(Rich) (n=7),TAF15(IDR2),hnRNPD,0.083242
S(Poor)&FYW(Rich) (n=7),TAF15(IDR2),hnRNPDL,0.208735
S(Poor)&FYW(Rich) (n=7),TIA1,hnRNPA2,0.21542
S(Poor)&FYW(Rich) (n=7),TIA1,hnRNPA3,0.202585
S(Poor)&FYW(Rich) (n=7),TIA1,hnRNPAB,0.058926
S(Poor)&FYW(Rich) (n=7),TIA1,hnRNPD,0.098942
S(Poor)&FYW(Rich) (n=7),TIA1,hnRNPDL,0.116623
S(Poor)&FYW(Rich) (n=7),hnRNPA2,hnRNPA3,0.780257
S(Poor)&FYW(Rich) (n=7),hnRNPA2,hnRNPAB,0.657045
S(Poor)&FYW(Rich) (n=7),hnRNPA2,hnRNPD,0.675932
S(Poor)&FYW(Rich) (n=7),hnRNPA2,hnRNPDL,0.645674
S(Poor)&FYW(Rich) (n=7),hnRNPA3,hnRNPAB,0.209196
S(Poor)&FYW(Rich) (n=7),hnRNPA3,hnRNPD,0.223317
S(Poor)&FYW(Rich) (n=7),hnRNPA3,hnRNPDL,0.332775
S(Poor)&FYW(Rich) (n=7),hnRNPAB,hnRNPD,0.4092
S(Poor)&FYW(Rich) (n=7),hnRNPAB,hnRNPDL,0.315937
S(Poor)&FYW(Rich) (n=7),hnRNPD,hnRNPDL,0.778871
S(Poor)&FYW(Poor) (n=7),BRD4,BRD9,0.893633
S(Poor)&FYW(Poor) (n=7),BRD4,MED15,0.07195
S(Poor)&FYW(Poor) (n=7),BRD4,PRCC,0.190786
S(Poor)&FYW(Poor) (n=7),BRD4,SFPQ,0.236758
S(Poor)&FYW(Poor) (n=7),BRD4,SMARCA2,0.323795
S(Poor)&FYW(Poor) (n=7),BRD4,hnRNPK,0.239044
S(Poor)&FYW(Poor) (n=7),BRD9,MED15,0.040959
S(Poor)&FYW(Poor) (n=7),BRD9,PRCC,0.230161
S(Poor)&FYW(Poor) (n=7),BRD9,SFPQ,-0.099749
S(Poor)&FYW(Poor) (n=7),BRD9,SMARCA2,-0.003891
S(Poor)&FYW(Poor) (n=7),BRD9,hnRNPK,-0.248028
S(Poor)&FYW(Poor) (n=7),MED15,PRCC,-0.018203
S(Poor)&FYW(Poor) (n=7),MED15,SFPQ,0.197982
S(Poor)&FYW(Poor) (n=7),MED15,SMARCA2,0.181381
S(Poor)&FYW(Poor) (n=7),MED15,hnRNPK,0.149243
S(Poor)&FYW(Poor) (n=7),PRCC,SFPQ,0.095861
S(Poor)&FYW(Poor) (n=7),PRCC,SMARCA2,0.095716
S(Poor)&FYW(Poor) (n=7),PRCC,hnRNPK,0.220375
S(Poor)&FYW(Poor) (n=7),SFPQ,SMARCA2,0.062521
S(Poor)&FYW(Poor) (n=7),SFPQ,hnRNPK,0.347251
S(Poor)&FYW(Poor) (n=7),SMARCA2,hnRNPK,0.083729
