pair,Group,Pearson_r
hnRNPA1-DDX4,WT,0.905731
hnRNPA1-DDX4,WT,0.811151
hnRNPA1-DDX4,WT,0.858473
hnRNPA1-DDX4,WT,0.927215
RBM14-FUS,WT,0.832721
RBM14-FUS,WT,0.887299
RBM14-FUS,WT,0.939392
RBM14-FUS,WT,0.881192
RBM14-FUS,WT,0.889546
RBM14-FUS,WT,0.889938
RBM14-FUS,WT,0.926728
RBM14-FUS,WT,0.703899
RBM14-FUS,WT,0.783755
hnRNPA1-FUS,WT,0.732248
hnRNPA1-FUS,WT,0.804755
hnRNPA1-FUS,WT,0.800215
hnRNPA1-FUS,WT,0.844892
hnRNPA1-FUS,WT,0.855512
hnRNPA1-FUS,WT,0.627302
hnRNPA1-TAF15(IDR1),WT,0.526345
hnRNPA1-TAF15(IDR1),WT,0.572912
hnRNPA1-TAF15(IDR1),WT,0.629011
hnRNPA1-TAF15(IDR1),WT,0.65999
hnRNPA1-TAF15(IDR1),WT,0.70124
hnRNPA1-TAF15(IDR1),WT,0.83651
hnRNPA1-TAF15(IDR1),WT,0.775171
hnRNPA1-TAF15(IDR1),WT,0.827738
hnRNPA1-TAF15(IDR1),WT,0.795048
hnRNPA1-TAF15(IDR1),WT,0.724519
DDX4-FUS,WT,0.693765
DDX4-FUS,WT,0.741815
DDX4-FUS,WT,0.734499
DDX4-FUS,WT,0.66028
DDX4-FUS,WT,0.50223
RBM14-TAF15(IDR1),WT,0.66766
RBM14-TAF15(IDR1),WT,0.762154
RBM14-TAF15(IDR1),WT,0.668023
RBM14-TAF15(IDR1),WT,0.611583
RBM14-TAF15(IDR1),WT,0.761971
RBM14-TAF15(IDR1),WT,0.722949
DDX4-TAF15(IDR1),WT,0.528095
DDX4-TAF15(IDR1),WT,0.873129
DDX4-TAF15(IDR1),WT,0.882383
DDX4-TAF15(IDR1),WT,0.666695
DDX4-TAF15(IDR1),WT,0.882939
DDX4-TAF15(IDR1),WT,0.955043
DDX4-TAF15(IDR1),WT,0.802723
TAF15(IDR1)-FUS,WT,0.74827
TAF15(IDR1)-FUS,WT,0.698894
TAF15(IDR1)-FUS,WT,0.844582
TAF15(IDR1)-FUS,WT,0.84827
TAF15(IDR1)-FUS,WT,0.789732
hnRNPA1-RBM14,WT,0.915273
hnRNPA1-RBM14,WT,0.93715
hnRNPA1-RBM14,WT,0.971002
hnRNPA1-RBM14,WT,0.964823
hnRNPA1-RBM14,WT,0.969473
hnRNPA1-RBM14,WT,0.97126
