pair,Group,Pearson_r
hnRNPD-TIA1,WT,0.0180058
hnRNPD-TIA1,WT,0.0974128
hnRNPD-TIA1,WT,0.0786574
hnRNPD-TIA1,WT,0.16301
hnRNPD-TIA1,WT,0.112204
hnRNPD-TIA1,WT,0.125547
hnRNPD-TIA1,WT,0.0977573
hnRNPDL-TIA1,WT,0.0281138
hnRNPDL-TIA1,WT,0.108183
hnRNPDL-TIA1,WT,0.0878762
hnRNPDL-TIA1,WT,0.0294187
hnRNPDL-TIA1,WT,-0.0065637
hnRNPDL-TIA1,WT,0.255315
hnRNPDL-TIA1,WT,0.314017
hnRNPDL-hnRNPA3,WT,0.245981
hnRNPDL-hnRNPA3,WT,0.512801
hnRNPDL-hnRNPA3,WT,0.266839
hnRNPDL-hnRNPA3,WT,0.215956
hnRNPDL-hnRNPA3,WT,0.422297
hnRNPAB-hnRNPD,WT,0.318918
hnRNPAB-hnRNPD,WT,0.436913
hnRNPAB-hnRNPD,WT,0.450903
hnRNPAB-hnRNPD,WT,0.289086
hnRNPAB-hnRNPD,WT,0.439743
hnRNPAB-hnRNPD,WT,0.519635
hnRNPDL-TAF15(IDR2),WT,0.110165
hnRNPDL-TAF15(IDR2),WT,0.00731334
hnRNPDL-TAF15(IDR2),WT,0.215817
hnRNPDL-TAF15(IDR2),WT,0.30949
hnRNPDL-TAF15(IDR2),WT,0.318012
hnRNPDL-TAF15(IDR2),WT,0.310855
hnRNPDL-TAF15(IDR2),WT,0.438808
hnRNPDL-TAF15(IDR2),WT,0.110681
hnRNPDL-TAF15(IDR2),WT,0.164314
hnRNPDL-TAF15(IDR2),WT,0.101893
hnRNPD-hnRNPA3,WT,-0.00165658
hnRNPD-hnRNPA3,WT,0.135285
hnRNPD-hnRNPA3,WT,0.189231
hnRNPD-hnRNPA3,WT,0.226383
hnRNPD-hnRNPA3,WT,0.410367
hnRNPD-hnRNPA3,WT,0.38029
TAF15(IDR2)-hnRNPA3,WT,0.610795
TAF15(IDR2)-hnRNPA3,WT,0.501109
TAF15(IDR2)-hnRNPA3,WT,0.68003
TAF15(IDR2)-hnRNPA3,WT,0.563109
hnRNPD-TAF15(IDR2),WT,0.060372
hnRNPD-TAF15(IDR2),WT,-0.0497985
hnRNPD-TAF15(IDR2),WT,-0.04731
hnRNPD-TAF15(IDR2),WT,0.185613
hnRNPD-TAF15(IDR2),WT,0.0617227
hnRNPD-TAF15(IDR2),WT,0.166932
hnRNPD-TAF15(IDR2),WT,0.144654
hnRNPD-TAF15(IDR2),WT,0.121899
hnRNPD-TAF15(IDR2),WT,0.10509
hnRNPAB-TIA1,WT,-0.0609093
hnRNPAB-TIA1,WT,-0.0437459
hnRNPAB-TIA1,WT,-0.0854547
hnRNPAB-TIA1,WT,0.186959
hnRNPAB-TIA1,WT,0.0891041
hnRNPAB-TIA1,WT,0.220452
hnRNPAB-TIA1,WT,0.106077
hnRNPAB-hnRNPA3,WT,0.148672
hnRNPAB-hnRNPA3,WT,0.205797
hnRNPAB-hnRNPA3,WT,0.0745501
hnRNPAB-hnRNPA3,WT,0.270954
hnRNPAB-hnRNPA3,WT,0.081912
hnRNPAB-hnRNPA3,WT,0.0646349
hnRNPAB-hnRNPA3,WT,0.219211
hnRNPAB-hnRNPA3,WT,0.363658
hnRNPAB-hnRNPA3,WT,0.453376
hnRNPA3-TIA1,WT,0.364459
hnRNPA3-TIA1,WT,0.082798
hnRNPA3-TIA1,WT,0.164813
hnRNPA3-TIA1,WT,0.314606
hnRNPA3-TIA1,WT,0.08625
TAF15(IDR2)-TIA1,WT,0.140848
TAF15(IDR2)-TIA1,WT,0.265337
TAF15(IDR2)-TIA1,WT,0.19547
TAF15(IDR2)-TIA1,WT,0.392405
TAF15(IDR2)-TIA1,WT,0.449371
hnRNPD-hnRNPDL,WT,0.550913
hnRNPD-hnRNPDL,WT,0.787968
hnRNPD-hnRNPDL,WT,0.73362
hnRNPD-hnRNPDL,WT,0.960426
hnRNPD-hnRNPDL,WT,0.869177
hnRNPD-hnRNPDL,WT,0.771119
hnRNPAB-TAF15(IDR2),WT,0.173975
hnRNPAB-TAF15(IDR2),WT,0.238218
hnRNPAB-TAF15(IDR2),WT,0.137967
hnRNPAB-TAF15(IDR2),WT,0.432913
