Group,IDR_A,IDR_B,mean_Pearson_r
S(Rich),CPEB2,DDX4,0.257687
S(Rich),CPEB2,FMRP,0.023956
S(Rich),CPEB2,FUS,0.787299
S(Rich),CPEB2,HES4,0.10052
S(Rich),CPEB2,MED1,0.568611
S(Rich),CPEB2,MLLT1,-0.013638
S(Rich),CPEB2,NUP98,0.037256
S(Rich),CPEB2,Pol II,0.553532
S(Rich),CPEB2,RBM14,0.735735
S(Rich),CPEB2,TAF15(IDR1),0.609811
S(Rich),CPEB2,TDP43,0.698669
S(Rich),CPEB2,hnRNPA1,0.729974
S(Rich),CPEB2,hnRNPH1,0.642452
S(Rich),DDX4,FMRP,0.589915
S(Rich),DDX4,FUS,0.666518
S(Rich),DDX4,HES4,0.268643
S(Rich),DDX4,MED1,0.077069
S(Rich),DDX4,MLLT1,-0.113371
S(Rich),DDX4,NUP98,0.828457
S(Rich),DDX4,Pol II,0.229675
S(Rich),DDX4,RBM14,0.67771
S(Rich),DDX4,TAF15(IDR1),0.798715
S(Rich),DDX4,TDP43,0.704695
S(Rich),DDX4,hnRNPA1,0.875642
S(Rich),DDX4,hnRNPH1,0.112926
S(Rich),FMRP,FUS,0.093774
S(Rich),FMRP,HES4,-0.183903
S(Rich),FMRP,MED1,0.048807
S(Rich),FMRP,MLLT1,-0.091797
S(Rich),FMRP,NUP98,-0.00169
S(Rich),FMRP,Pol II,0.078518
S(Rich),FMRP,RBM14,0.109794
S(Rich),FMRP,TAF15(IDR1),0.092563
S(Rich),FMRP,TDP43,0.034211
S(Rich),FMRP,hnRNPA1,0.074598
S(Rich),FMRP,hnRNPH1,-0.037651
S(Rich),FUS,HES4,-0.058696
S(Rich),FUS,MED1,0.27312
S(Rich),FUS,MLLT1,0.036242
S(Rich),FUS,NUP98,0.258765
S(Rich),FUS,Pol II,0.822741
S(Rich),FUS,RBM14,0.859386
S(Rich),FUS,TAF15(IDR1),0.78595
S(Rich),FUS,TDP43,0.746074
S(Rich),FUS,hnRNPA1,0.777487
S(Rich),FUS,hnRNPH1,0.567407
S(Rich),HES4,MED1,0.884288
S(Rich),HES4,MLLT1,0.058591
S(Rich),HES4,NUP98,0.070461
S(Rich),HES4,Pol II,0.001555
