TF,wt_or_mut,Pearson_r
SOX2,wt,0.441440173
SOX2,wt,0.44918502
SOX2,wt,0.683243571
SOX2,wt,0.516025445
SOX2,wt,0.805496137
SOX2,wt,0.753835806
SOX2,wt,0.508921026
SOX2,wt,0.424611101
SOX2,wt,0.532484952
SOX2,wt,0.74958022
SOX2,wt,0.493141963
SOX2,wt,0.419991271
SOX2,wt,0.829973693
SOX2,wt,0.652191505
SOX2,wt,0.578346648
SOX2,wt,0.795011699
SOX2,wt,0.560196095
SOX2,wt,0.656542629
SOX2,wt,0.730489233
SOX2,S+,0.690556702
SOX2,S+,0.564121156
SOX2,S+,0.808623346
SOX2,S+,0.857639584
SOX2,S+,0.809543558
SOX2,S+,0.804831768
SOX2,S+,0.733388348
SOX2,S+,0.659219105
SOX2,S+,0.889623926
SOX2,S+,0.715587645
SOX2,S+,0.897076737
SOX2,S+,0.834379576
SOX2,S+,0.837263784
SOX2,S+,0.786356886
SOX2,S+,0.940920721
SOX2,S+,0.944744948
SOX2,S+,0.896253487
SOX2,S+,0.652677502
SOX2,S+,0.780731291
SOX2,S+,0.918874939
SOX2,S+,0.8508662849999999
SOX2,S+,0.86821484
SOX2,S+,0.933776514
SOX2,S+,0.828418145
SOX2,S+,0.656483662
SOX2,S+,0.750801049
SOX2,S+,0.931674097
SOX2,Charged,0.466159278
SOX2,Charged,0.392258907
SOX2,Charged,0.015792953
SOX2,Charged,-0.07249047
SOX2,Charged,0.124106921
SOX2,Charged,-0.026711349
SOX2,Charged,0.24603312
SOX2,Charged,0.223017289
SOX2,Charged,0.095017383
SOX2,Charged,-0.075336503
SOX2,Charged,0.243382175
SOX2,Charged,0.35433971
SOX2,Charged,-0.022777098
SOX2,Charged,0.1089486
SOX2,Charged,0.324638765
SOX2,Charged,0.31474409
SOX2,Charged,0.453405786
SOX2,Charged,0.50465634
