accession,name,bytes,modified_utc,url
GSM646142,GSM646142_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_E05_443168.CEL.gz,2328460,12/27/2010 10:34:58,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646142/suppl/GSM646142_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_E05_443168.CEL.gz
GSM646143,GSM646143_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_E06_443170.CEL.gz,2281882,12/27/2010 10:35:00,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646143/suppl/GSM646143_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_E06_443170.CEL.gz
GSM646144,GSM646144_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_E07_443172.CEL.gz,2308322,12/27/2010 10:35:04,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646144/suppl/GSM646144_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_E07_443172.CEL.gz
GSM646145,GSM646145_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_E08_443174.CEL.gz,2326196,12/27/2010 10:35:07,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646145/suppl/GSM646145_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_E08_443174.CEL.gz
GSM646146,GSM646146_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F05_443194.CEL.gz,2222476,12/27/2010 10:35:09,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646146/suppl/GSM646146_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F05_443194.CEL.gz
GSM646147,GSM646147_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F06_443192.CEL.gz,2251156,12/27/2010 10:35:11,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646147/suppl/GSM646147_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F06_443192.CEL.gz
GSM646148,GSM646148_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F11_443206.CEL.gz,2228548,12/27/2010 10:35:13,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646148/suppl/GSM646148_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F11_443206.CEL.gz
GSM646149,GSM646149_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F12_443204.CEL.gz,2414963,12/27/2010 10:35:15,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646149/suppl/GSM646149_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F12_443204.CEL.gz
GSM646150,GSM646150_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F07_443198.CEL.gz,2289433,12/27/2010 10:35:17,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646150/suppl/GSM646150_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F07_443198.CEL.gz
GSM646151,GSM646151_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F08_443196.CEL.gz,2326684,12/27/2010 10:35:19,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646151/suppl/GSM646151_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F08_443196.CEL.gz
GSM646152,GSM646152_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_E04_443166.CEL.gz,2359124,12/27/2010 10:35:21,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646152/suppl/GSM646152_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_E04_443166.CEL.gz
GSM646153,GSM646153_5500024059566071709398.G05.CEL.gz,2405418,12/27/2010 10:35:23,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646153/suppl/GSM646153_5500024059566071709398.G05.CEL.gz
GSM646154,GSM646154_5500024059566071709398.G06.CEL.gz,2390096,12/27/2010 10:35:26,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646154/suppl/GSM646154_5500024059566071709398.G06.CEL.gz
GSM646155,GSM646155_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F09_443202.CEL.gz,2173603,12/27/2010 10:35:28,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646155/suppl/GSM646155_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F09_443202.CEL.gz
GSM646156,GSM646156_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F10_443200.CEL.gz,2296836,12/27/2010 10:35:29,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646156/suppl/GSM646156_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F10_443200.CEL.gz
GSM646157,GSM646157_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F03_443190.CEL.gz,2324476,12/27/2010 10:35:32,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646157/suppl/GSM646157_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F03_443190.CEL.gz
GSM646158,GSM646158_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F04_443188.CEL.gz,2342803,12/27/2010 10:35:34,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646158/suppl/GSM646158_AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_F04_443188.CEL.gz
GSM646159,GSM646159_Sri_48_HG-U133_Plus_2_D10_502426.CEL.gz,4911554,12/27/2010 10:35:40,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646159/suppl/GSM646159_Sri_48_HG-U133_Plus_2_D10_502426.CEL.gz
GSM646160,GSM646160_Sri_48_HG-U133_Plus_2_D09_502428.CEL.gz,4924188,12/27/2010 10:35:46,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM646nnn/GSM646160/suppl/GSM646160_Sri_48_HG-U133_Plus_2_D09_502428.CEL.gz
