classification,Surface_Hi,Surface_Low,Subsoil_Hi,Subsoil_Low
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01,1.508500266,1.396771823,6.055995139,0.78698702
d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidiferrales;f__UBA7541;g__Acidiferrum,1.622784728,1.160075333,0.031554777,0.899955106
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__JAJTCL01,7.048029286,3.00351065,6.815863935,0.369474221
d__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter_F,0.015665625,19.6328127,0.058401849,1.572466301
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VRUE01,2.908419971,1.534689266,17.89620813,0.180551552
d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__DASSJM01,2.804151694,1.418246571,17.09374057,0.820562152
d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__JAJNBA01,0.101764365,0.379277065,3.062719286,1.01317912
d__Bacteria;p__Chloroflexota;c__Dormibacteria;o__CF-121;f__CF-121;g__CF-13,0.134528039,0.103945487,0,13.71321777
d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__P2-11E;f__P2-11E;g__3-1-20CM-2-70-9,0.052825516,0,0.090967399,17.60924897
d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DAIRFP01,1.217450153,2.031000698,20.09506169,0.921796421
d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20,3.086137369,4.185367912,10.16562678,0.945070734
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720,0.073417021,0.884081519,1.83076364,4.236721573
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR37,1.214219814,0.031026657,5.093191033,2.257653714
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__CAMLFJ01,1.984996609,2.375148086,10.39951243,3.441403307
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315,2.557475024,0.650997593,4.309355178,0.885958639
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter,5.638969216,14.52399525,27.21240479,2.041026985
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium,18.06229738,6.314152796,8.582758499,5.667211608
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium canariense_D,2.057051001,3.404924837,1.095647836,0.363457122
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys,13.71114695,15.1355444,23.30531779,1.870642964
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01,59.26398401,13.51443983,40.36777998,10.41377131
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23,2.231042739,4.502698696,9.827100164,3.662540215
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Chthoniobacterales;f__Terrimicrobiaceae;g__DASTFP01,3.105364707,2.372411963,7.717430701,0.408446317
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter,15.88417076,4.842439081,36.7271918,2.486753073
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__JAFAQB01,0.308234893,6.487476198,0.01861232,0.32823429
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__JAJNBK01,0.124003329,4.250692866,0.645839936,1.318685341
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera,0,18.71584062,0.766958146,6.251456667
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21,2.455446639,14.87828231,16.46927552,1.519989176
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__RBG-16-68-12;g__RBG-16-68-12,0,0,0,8.0829544
