Formula,ANZA-BTM,BLAN-BTM,CFS2-BTM,CLBJ-BTM,DELA-BTM,MOAB-BTM,ONAQ-BTM,PPRH-BTM,SOAP-BTM,TEAK-BTM
C10H10O10,0,0,0,0,0,0,0,0,0,0
C10H10O3N2,0,0,0,0,0,0,0,0,0,0
C10H10O4N2,1,0,0,0,0,0,0,0,0,0
C10H10O4S1,0,0,0,0,0,0,0,0,0,0
C10H10O4S1N2,0,0,0,0,0,0,0,0,0,0
C10H10O5N2,1,0,0,1,0,0,0,0,0,0
C10H10O5S1,0,0,0,1,0,0,0,0,0,0
C10H10O5S1N2,0,0,0,0,0,0,0,0,0,0
C10H10O6N2,1,0,0,0,0,0,0,0,0,0
C10H10O6S1,0,0,0,0,0,0,0,0,0,0
C10H10O6S1N2,0,0,0,0,0,0,0,0,0,0
C10H10O7,0,0,1,0,0,0,0,0,0,0
C10H10O7N2,0,0,0,0,0,0,0,0,0,0
C10H10O7S1,0,0,0,0,0,1,0,0,0,0
C10H10O7S1N2,0,0,0,0,0,0,0,0,0,0
C10H10O8,1,0,0,1,0,1,0,0,1,0
C10H10O8N2,0,0,0,0,0,0,0,0,0,0
C10H10O8S1,1,0,0,0,0,0,0,0,0,0
C10H10O9,1,0,0,1,0,0,0,0,0,0
C10H10O9N2,0,0,0,0,0,0,0,0,0,0
C10H10O9S1,0,0,0,0,0,0,0,0,0,0
C10H11O10N1,0,0,0,0,0,0,0,0,0,0
C10H11O3N3,0,0,0,0,0,0,0,0,0,0
C10H11O4N1,1,0,0,1,0,1,0,0,0,0
C10H11O4N3,0,0,0,0,0,0,0,0,0,0
C10H11O4S1N1,0,0,0,0,0,0,0,0,0,0
C10H11O5N1,1,0,0,1,0,1,0,0,0,0
C10H11O5N3,0,0,0,0,0,0,0,0,0,0
C10H11O5S1N1,0,0,0,0,0,0,0,0,0,0
C10H11O5S1N3,0,0,0,0,0,0,0,0,0,0
C10H11O6N1,1,0,0,1,0,1,0,0,0,0
C10H11O6N3,0,0,0,0,0,0,0,0,0,0
C10H11O6S1N1,0,0,0,0,0,0,0,0,0,0
C10H11O6S1N3,0,0,0,0,0,0,0,0,0,0
C10H11O7N1,1,0,0,1,0,1,0,0,0,0
C10H11O7N3,0,0,0,0,0,0,0,0,0,0
C10H11O7S1N1,0,0,0,0,0,0,0,0,0,0
C10H11O7S1N3,0,0,0,0,0,0,0,0,0,0
C10H11O8N1,1,0,0,1,0,0,0,0,0,0
C10H11O8S1N1,0,0,0,0,0,0,0,0,0,0
C10H11O9N1,0,0,0,0,0,0,0,0,0,0
C10H12O10,0,0,0,0,0,0,0,0,0,0
C10H12O3N2,0,0,0,0,0,0,0,0,0,0
C10H12O3S1,0,0,0,0,0,0,0,0,0,0
C10H12O4N2,0,0,0,1,0,0,0,0,0,0
C10H12O5S1,0,0,1,0,0,0,0,0,0,0
C10H12O5S1N2,0,0,0,0,0,0,0,0,0,0
C10H12O6N1P1,0,0,0,0,0,0,0,0,0,0
C10H12O6N2,1,1,1,1,1,0,0,0,1,1
C10H12O6S1,0,0,0,1,0,1,0,0,0,0
C10H12O6S1N2,0,0,0,0,0,0,0,0,0,0
C10H12O7N2,0,0,0,0,0,0,0,0,0,0
C10H12O7S1,0,0,0,0,0,0,0,0,0,0
C10H12O7S1N2,0,0,0,0,0,0,0,0,0,0
C10H12O8,0,0,0,0,0,0,0,0,0,0
C10H12O8N2,0,0,0,0,0,0,0,0,0,0
C10H12O8S1,0,0,0,0,0,0,0,0,0,0
C10H12O9,1,0,0,1,0,0,0,0,0,0
C10H13O10N1,0,0,0,0,0,0,0,0,0,0
C10H13O4N3,0,0,0,0,0,0,0,0,0,0
C10H13O4S1N1,0,0,0,0,0,0,0,0,0,0
C10H13O5N1,1,0,0,1,0,1,0,0,0,0
C10H13O5N3,0,0,0,0,0,0,0,0,0,0
C10H13O5S1N1,0,0,0,0,0,0,0,0,0,0
C10H13O6N1,0,0,0,0,0,0,0,0,0,0
C10H13O6N3,0,0,0,0,0,0,0,0,0,0
C10H13O6S1N1,0,0,0,0,0,1,0,0,0,0
C10H13O7N1,1,0,0,1,0,0,0,0,0,0
C10H13O7P1,0,0,0,0,0,0,0,0,0,0
