Pathway	Coordinate	GeneRatio	P_value	P_value_code	PathCode
2-Oxocarboxylic acid metabolism	1	0.051150895140665	3.82326711065204e-10	C	1
2-Oxocarboxylic acid metabolism	3	0.0610169491525424	2.45403900997261e-10	C	1
Aflatoxin biosynthesis	1	0.0281329923273657	8.04011588588654e-12	D	2
Aflatoxin biosynthesis	2	0.0391459074733096	3.70681779305369e-13	D	2
Aflatoxin biosynthesis	3	0.0372881355932203	3.60953833763358e-13	D	2
Aflatoxin biosynthesis	4	0.0927835051546392	2.20573113241693e-14	D	2
Aminobenzoate degradation	1	0.0230179028132992	0.00349710739206036	F	3
Aminobenzoate degradation	4	0.0309278350515464	0.0481317602948797	F	3
Arachidonic acid metabolism	1	0.020460358056266	0.000290479611054824	B	4
Arachidonic acid metabolism	3	0.0169491525423729	0.0142718814985644	F	4
Biosynthesis of amino acids	1	0.0792838874680307	5.70277092144208e-12	D	5
Biosynthesis of amino acids	2	0.0569395017793594	9.43686500559446e-05	B	5
Biosynthesis of amino acids	3	0.088135593220339	3.51602505239651e-11	D	5
Biosynthesis of cofactors	1	0.0971867007672634	2.74422809228414e-11	D	6
Biosynthesis of cofactors	2	0.113879003558719	3.53035447854977e-11	D	6
Biosynthesis of cofactors	3	0.122033898305085	1.60134851904692e-13	D	6
Biosynthesis of enediyne antibiotics	1	0.030690537084399	2.75254771044916e-06	C	7
Biosynthesis of enediyne antibiotics	2	0.0427046263345196	9.62004569378258e-08	C	7
Biosynthesis of enediyne antibiotics	3	0.0372881355932203	1.47431693726558e-06	C	7
Biosynthesis of type II polyketide products	1	0.10997442455243	5.06890672820752e-47	E	8
Biosynthesis of type II polyketide products	2	0.138790035587189	4.16561425252026e-46	E	8
Biosynthesis of type II polyketide products	3	0.128813559322034	2.17172901577647e-43	E	8
Biosynthesis of type II polyketide products	4	0.175257731958763	7.04710183223598e-21	E	8
Biosynthesis of various plant secondary metabolites	1	0.0230179028132992	0.000684836891362592	B	9
Biosynthesis of various plant secondary metabolites	2	0.0249110320284698	0.00224723814105473	F	9
Biosynthesis of various plant secondary metabolites	3	0.0271186440677966	0.000527413599791077	B	9
Biosynthesis of various plant secondary metabolites	4	0.0721649484536082	2.77860415573834e-06	C	9
Caprolactam degradation	2	0.0106761565836299	0.0289649302676528	F	10
Caprolactam degradation	3	0.0101694915254237	0.0327207504490037	F	10
Chemical carcinogenesis	1	0.040920716112532	7.59159781952644e-17	A	11
Chemical carcinogenesis	2	0.0427046263345196	1.54054890692397e-12	D	11
Chemical carcinogenesis	3	0.0508474576271186	7.15828991574348e-17	A	11
Chemical carcinogenesis	4	0.103092783505155	1.82487741018616e-14	D	11
Chemical carcinogenesis	4	0.0515463917525773	0.00444412322413687	F	11
Cyanoamino acid metabolism	1	0.0230179028132992	2.45056757269683e-06	C	12
Cyanoamino acid metabolism	2	0.0320284697508897	1.69048351656073e-07	C	12
Cyanoamino acid metabolism	3	0.0305084745762712	2.76594226908573e-07	C	12
Cyanoamino acid metabolism	4	0.0721649484536082	2.15771423598244e-08	C	12
Degradation of aromatic compounds	1	0.0537084398976982	2.14331332424944e-06	C	13
Degradation of aromatic compounds	2	0.0711743772241993	4.92510147553043e-08	C	13
Degradation of aromatic compounds	3	0.064406779661017	5.33280042059967e-07	C	13
Dioxin degradation	1	0.0281329923273657	1.79902497948882e-09	C	14
Dioxin degradation	2	0.0355871886120996	2.14700072931995e-09	C	14
Dioxin degradation	3	0.0338983050847458	2.81011268967831e-09	C	14
Diterpenoid biosynthesis	1	0.0153452685421995	0.0464755383361401	F	15
Diterpenoid biosynthesis	2	0.0249110320284698	0.00224723814105473	F	15
Diterpenoid biosynthesis	3	0.0203389830508475	0.0146925735631841	F	15
Diterpenoid biosynthesis	4	0.0309278350515464	0.0286994069435022	F	15
Drug metabolism	1	0.0332480818414322	1.91485137220417e-13	D	16
Drug metabolism	1	0.030690537084399	1.69397041700953e-10	C	16
Drug metabolism	2	0.0355871886120996	1.94724493604169e-10	C	16
Drug metabolism	2	0.0320284697508897	4.92510147553043e-08	C	16
Drug metabolism	3	0.0406779661016949	2.2499040597623e-13	D	16
Drug metabolism	3	0.0305084745762712	7.21637943187267e-08	C	16
Drug metabolism	4	0.0824742268041237	1.92986556708151e-11	D	16
Drug metabolism	4	0.0412371134020619	0.000196578996842533	B	16
Flavone and flavonol biosynthesis	1	0.0332480818414322	2.22008118687592e-17	A	17
Flavone and flavonol biosynthesis	2	0.0427046263345196	3.43596236921689e-17	A	17
Flavone and flavonol biosynthesis	3	0.0406779661016949	7.15828991574348e-17	A	17
Flavone and flavonol biosynthesis	4	0.11340206185567	1.34274181740144e-20	A	17
Flavonoid biosynthesis	1	0.040920716112532	2.55298873055805e-17	A	18
Flavonoid biosynthesis	2	0.0569395017793594	1.46125467414544e-19	A	18
Flavonoid biosynthesis	3	0.0474576271186441	6.35001899427786e-16	A	18
Flavonoid biosynthesis	4	0.144329896907216	1.12026336558039e-22	E	18
Folate biosynthesis	2	0.0213523131672598	0.0201987860246593	F	19
Folate biosynthesis	3	0.0203389830508475	0.0250679517893511	F	19
Glucosinolate biosynthesis	1	0.0179028132992327	4.29017184361463e-06	C	20
Glucosinolate biosynthesis	3	0.0169491525423729	0.000230682072502711	B	20
Isoflavonoid biosynthesis	1	0.020460358056266	6.2808471210245e-08	C	21
Isoflavonoid biosynthesis	2	0.0284697508896797	5.63624652955877e-09	C	21
Isoflavonoid biosynthesis	3	0.0271186440677966	7.66719471382674e-09	C	21
Isoflavonoid biosynthesis	4	0.0618556701030928	7.7339326507744e-09	C	21
Linoleic acid metabolism	1	0.0153452685421995	0.00031938041926446	B	22
Linoleic acid metabolism	2	0.0106761565836299	0.0457234224975147	F	22
Linoleic acid metabolism	3	0.0203389830508475	6.53823577893091e-05	B	22
Linoleic acid metabolism	4	0.0206185567010309	0.0287886074200924	F	22
Lysine biosynthesis	1	0.0485933503836317	1.05318154437146e-16	A	23
Lysine biosynthesis	2	0.0213523131672598	0.00133462876374624	F	23
Lysine biosynthesis	3	0.0576271186440678	6.35001899427786e-16	A	23
Metabolism of xenobiotics by cytochrome P450	1	0.0434782608695652	7.59159781952644e-17	A	24
Metabolism of xenobiotics by cytochrome P450	2	0.0498220640569395	1.99630165557134e-14	D	24
Metabolism of xenobiotics by cytochrome P450	3	0.0508474576271186	7.82059580244064e-16	A	24
Metabolism of xenobiotics by cytochrome P450	4	0.11340206185567	1.90396658657019e-15	D	24
Naphthalene degradation	1	0.0127877237851662	0.00372121807402313	F	25
Naphthalene degradation	2	0.0177935943060498	0.000998222697036977	B	25
Naphthalene degradation	3	0.0169491525423729	0.00110301754396726	F	25
Nicotinate and nicotinamide metabolism	1	0.0230179028132992	0.00482199318225653	F	26
Nicotinate and nicotinamide metabolism	2	0.0213523131672598	0.0383126217128621	F	26
Nicotinate and nicotinamide metabolism	3	0.0203389830508475	0.0488038069486131	F	26
Novobiocin biosynthesis	1	0.010230179028133	0.0279305168430868	F	27
Novobiocin biosynthesis	3	0.0135593220338983	0.0121580801210634	F	27
Nucleotide metabolism	1	0.051150895140665	7.85498790410113e-10	C	28
Nucleotide metabolism	2	0.0462633451957295	4.53185836961199e-06	C	28
Nucleotide metabolism	3	0.0440677966101695	7.64294654861393e-06	C	28
Pantothenate and CoA biosynthesis	1	0.0179028132992327	0.000763382149761995	B	29
Pantothenate and CoA biosynthesis	2	0.0249110320284698	0.000110956955112441	B	29
Pantothenate and CoA biosynthesis	3	0.023728813559322	0.000141808053434816	B	29
Phenylalanine metabolism	1	0.0179028132992327	0.014654885709134	F	30
Phenylalanine metabolism	3	0.0203389830508475	0.0152564579801497	F	30
Phenylalanine, tyrosine and tryptophan biosynthesis	1	0.0281329923273657	2.1404720905314e-05	B	31
Phenylalanine, tyrosine and tryptophan biosynthesis	2	0.0355871886120996	8.37648228419279e-06	C	31
Phenylalanine, tyrosine and tryptophan biosynthesis	3	0.0338983050847458	1.28519833418887e-05	B	31
Polycyclic aromatic hydrocarbon degradation	1	0.0255754475703325	9.88460607588546e-07	C	32
Polycyclic aromatic hydrocarbon degradation	2	0.0284697508896797	8.37648228419279e-06	C	32
Polycyclic aromatic hydrocarbon degradation	3	0.0271186440677966	1.19033173164023e-05	B	32
Polycyclic aromatic hydrocarbon degradation	4	0.0515463917525773	3.69894857739267e-05	B	32
Pyrimidine metabolism	1	0.051150895140665	2.11791841102516e-10	C	33
Pyrimidine metabolism	2	0.0427046263345196	1.09141983305963e-05	B	33
Pyrimidine metabolism	3	0.0406779661016949	1.8001576510595e-05	B	33
Retinol metabolism	1	0.0281329923273657	4.54156824888564e-07	C	34
Retinol metabolism	2	0.0177935943060498	0.0102525992845874	F	34
Retinol metabolism	3	0.0271186440677966	3.43012666478197e-05	B	34
Retinol metabolism	4	0.0515463917525773	7.24413325898232e-05	B	34
Starch and sucrose metabolism	1	0.0664961636828645	1.05279786206107e-16	A	35
Starch and sucrose metabolism	4	0.0618556701030928	0.000249475811447579	B	35
Steroid hormone biosynthesis	1	0.0383631713554987	1.21068656082991e-11	D	36
Steroid hormone biosynthesis	2	0.0462633451957295	5.81269717417635e-11	D	36
Steroid hormone biosynthesis	3	0.0474576271186441	4.37894530412045e-12	D	36
Steroid hormone biosynthesis	4	0.0412371134020619	0.000857979149826694	B	36
Stilbenoid, diarylheptanoid and gingerol biosynthesis	1	0.00767263427109974	0.0163443320603924	F	37
Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	0.0106761565836299	0.00695649015611373	F	37
Tetracycline biosynthesis	1	0.0230179028132992	1.06595611188228e-09	C	38
Tetracycline biosynthesis	2	0.0284697508896797	3.76313422619492e-09	C	38
Tetracycline biosynthesis	3	0.0271186440677966	4.62434486527986e-09	C	38
Tetracycline biosynthesis	4	0.0412371134020619	1.78752778853324e-05	B	38
Tryptophan metabolism	1	0.0537084398976982	4.34015025297108e-14	D	39
Tryptophan metabolism	2	0.0498220640569395	4.59469257275528e-09	C	39
Tryptophan metabolism	3	0.0677966101694915	2.60171090569258e-15	D	39
Tyrosine metabolism	1	0.0255754475703325	0.000407436726093808	B	40
Tyrosine metabolism	2	0.0284697508896797	0.00105511563799394	F	40
Tyrosine metabolism	3	0.0338983050847458	4.07101139201743e-05	B	40
Valine, leucine and isoleucine biosynthesis	1	0.00767263427109974	0.0446979409837027	F	41
Valine, leucine and isoleucine biosynthesis	3	0.0101694915254237	0.0227243261143681	F	41
