CAZy_Category	Group
CBM35	a1
CBM5	a1
CBM51	a1
CBM6	a1
CBM92	a1
CE12	a1
CE20	a1
GH130	a1
GH131	a1
GH13_46	a1
GH146	a1
GH172	a1
GH29	a1
GH30_1	a1
GH43	a1
GH51_1	a1
GH6	a1
GH65	a1
GH67	a1
GH79	a1
GH97	a1
GT117	a1
GT22	a1
PL38	a1
AA5	a1
CBM50	a2
CE1	a2
CE14	a2
CE4	a2
GH0	a2
GH1	a2
GH13	a2
GH15	a2
GH23	a2
GH28	a2
GH3	a2
GH39	a2
GT1	a2
GT119	a2
GT2	a2
GT4	a2
GT51	a2
GT83	a2
GH108	a3
GH13_8	a3
GH24	a3
GT21	a3
GT57	a3
GT4_e2606	a3
GH133	a4
GH13_4	a4
GH182	a4
GH42	a4
GT34	a4
GT76	a4
GH105	a5
GH16	a5
GH17	a5
GH71	a5
AA1	a6
GH188	a6
GH74	a6
GT19	a6
CBM48	a7
CE8	a7
GT28	a7
GT121	a8
GT41	a8
GT50	a8
CBM32	a9
GT8	a9
GT84	a9
GH17_e51	b1
GH84	b1
GH102	b1
GH13_11	b2
PL12	b2
GT105	b3
GT47	b3
GH13_3	b4
GH94	b4
AA6	b5
GH53	b5
GT20	b6
GT5	b6
CE11	b7
GH109	b7
CBM13	b8
GT58	b8
GT26	c1
GT55	c2
GH13_16	c3
GH2	c4
GT87	c5
GH13_23	c6
GH171	c7
GH13_26	c8
GT0	c9
GT30	d1
GH144	d2
GT9	d3
GH179	d4
AA12	d5
GH36	d6
GH176	d7
GH103	d8
GH92	d9
AA3_2	e1
GH13_9	e2
GH33	e3
GH9	e4
GH25	e5
CBM9	e6
GH78	e7
GH77	e8
GT81	e9
GH4	f1
AA7	f2
GH5	f3
CE9	f4
GH57	f5
GH101	f6
GH177	f7
GH76	f8
GH38	f9
GT35	g1
GH18	g2
AA3	g3
AA4	g4
