"Column","a","b","c","d","e","f","g","h"
CAZy:AA1,0,0.666666667,0,0,0,0,0.75,0.571428571
CAZy:AA12,0,0.666666667,0.666666667,0,0,0,0.5,0
CAZy:AA3,0.625,3.666666667,1.666666667,2.4,0.6,0,2.25,1.285714286
CAZy:AA3_2,0,1,1.666666667,1.2,0.8,0,0,0.857142857
CAZy:AA4,0,1,1,1.2,0.8,0.666666667,0,1.428571429
CAZy:AA5,0,0,0,0,0,0,0.5,0
CAZy:AA6,0,0,0.666666667,0,0,0,0,0
CAZy:AA7,0.875,0,1.333333333,1.6,1.4,0,2.25,1
CAZy:CBM13,0.5,0,0,0,0,0,0,0
CAZy:CBM32,0,0,0,1.2,0,0,0,0
CAZy:CBM35,0,0,0,0,0,0,0.5,0
CAZy:CBM48,0.875,1.333333333,1,1.8,0,1.333333333,2.25,2.285714286
CAZy:CBM5,0,0,0,0,0,0,0.5,0
CAZy:CBM50,1.125,3,1.666666667,2.4,0.8,2.666666667,3,2.428571429
CAZy:CBM51,0,0,0,0,0,0,0.75,0
CAZy:CBM6,0,0,0,0,0,0,0.5,0
CAZy:CBM9,0.625,0,0,0,0,1,2,0
CAZy:CBM92,0,0,0,0,0,0,0.5,0
CAZy:CE1,2.25,0.666666667,3.333333333,1.4,2,3,2,3.142857143
CAZy:CE11,0,1,0.666666667,0.6,0,0,0.75,0.571428571
CAZy:CE12,0,0,0,0,0,0,0.75,0
CAZy:CE14,0.75,1.666666667,0.666666667,1.4,1.8,1.333333333,1.75,1.285714286
CAZy:CE20,0,0,0,0,0,0,0.75,0
CAZy:CE4,0.875,2.666666667,3.333333333,3.2,1.2,2,3.25,5.142857143
CAZy:CE8,0.875,2.666666667,0.666666667,1.8,0,1.333333333,1.5,1.428571429
CAZy:CE9,0.625,0.666666667,0,0,0,0,0,0.857142857
CAZy:GH0,1.375,4.666666667,2,2.4,0.6,2,3.75,2.428571429
CAZy:GH1,1.125,1.666666667,1.333333333,2.8,1.8,4.333333333,2.75,1.857142857
CAZy:GH101,0.875,0.666666667,0,0.8,0,0,0.5,0
CAZy:GH102,0,0.666666667,0.666666667,0,0,0,0,0
CAZy:GH103,0,3,3.333333333,0,0.6,0.666666667,0,1.571428571
CAZy:GH105,0,0,0.666666667,0,0,0,0.5,0
CAZy:GH108,0,0.666666667,0,0,0,0,0,0
CAZy:GH109,0,1,1,0.8,0,0,1.25,1.142857143
CAZy:GH13,6,5,4,5,3.4,5,5.5,5.428571429
CAZy:GH130,0,0,0,0,0,0,0.5,0
CAZy:GH131,0,0,0,0,0,0,0.5,0
CAZy:GH133,0,0,0,0,0,0.666666667,0,0
CAZy:GH13_11,0,0,0,0,0,0,1,0.571428571
CAZy:GH13_16,0,0,0,0.8,0,0,0,0.571428571
CAZy:GH13_23,0,0,0.666666667,1,0,0.666666667,0.75,0
CAZy:GH13_26,0,0,0.666666667,0.6,0,0,0,0
CAZy:GH13_3,0,0,0,0.6,0,0,0.5,0
CAZy:GH13_4,0,0,0,0,0,0.666666667,0,0
CAZy:GH13_46,0,0,0,0,0,0,0.5,0
CAZy:GH13_8,0,0.666666667,0,0,0,0,0,0
CAZy:GH13_9,0.5,0.666666667,0.666666667,0.8,0,0.666666667,1.25,0.714285714
CAZy:GH144,0,0.666666667,0,1.2,0,0,0.75,0
CAZy:GH146,0,0,0,0,0,0,1,0
CAZy:GH15,0.875,1.333333333,1.666666667,1.4,1.6,1.333333333,1,1.428571429
CAZy:GH16,0,0,0.666666667,0,0,0,2.25,0
CAZy:GH17,0,0,1.333333333,0,0,0,0.5,0
CAZy:GH171,0,0,0.666666667,0.8,0.6,0.666666667,1,1.142857143
CAZy:GH172,0,0,0,0,0,0,0.5,0
CAZy:GH176,0,0.666666667,1,0,0,1,0,0
CAZy:GH177,0.625,1.333333333,0,0.8,0,0.666666667,0.5,0.714285714
CAZy:GH179,0,1,0,2.6,0,0.666666667,2,0
CAZy:GH17_e51,0,0.666666667,0.666666667,0,0,0,0,0
CAZy:GH18,0.5,1,0.666666667,0.6,0,0,0.5,0
CAZy:GH182,0,0,0,0,0,1,0,0
CAZy:GH188,0,1.333333333,0,0,0,0,2.5,0.714285714
CAZy:GH2,0,0,0.666666667,0,0,2.333333333,2.25,0
CAZy:GH23,2.125,6,5,4.6,1.6,2.333333333,6.5,6.285714286
CAZy:GH24,0,0.666666667,0,0,0,0,0,0
CAZy:GH25,0.625,0,0,0,0,0.666666667,0.5,0.571428571
CAZy:GH28,1.5,1.666666667,1,1.6,0.8,1.333333333,3,1.285714286
CAZy:GH29,0,0,0,0,0,0,0.5,0
