Genome	Genus
itr_1_surface_low_coassembly_3_vamb_003	JAFAQB01
OCTU-TOP_bin.12.s	JAFAQB01
OCTU-TOP_bin.8.o	JAFAQB01
itr_1_subsoil_low_coassembly_4_metabat2_015	Nitrososphaera
JORN-TOP_bin.2.s	Nitrososphaera
OCTU-TOP_bin.20.s	Nitrososphaera
CFS2-TOP_bin.4.s	TA-21
itr_1_subsoil_hi_coassembly_1_metabat2_018	TA-21
NOGP-BTM_bin.5.p	TA-21
PPRH-TOP_bin.33.o	TA-21
PPRH-TOP_bin.43.s	TA-21
UT12-BTM_vamb_006	TA-21
WLLO-BTM_bin.8.s	TA-21
WY03-BTM_bin.3.p	TA-21
NWBC-TOP_bin.3.o	Methyloceanibacter
PHTU-BTM_bin.8.o	Methyloceanibacter
PPRH-TOP_bin.29.o	Methyloceanibacter
WLLO-BTM_bin.20.o	Methyloceanibacter
itr_2_surface_hi_coassembly_5_metabat_sspec_001_sub	Bradyrhizobium
NWBC-TOP_metabat2_009	Bradyrhizobium
OCTU-TOP_bin.21.o	Bradyrhizobium
CFS2-TOP_bin.3.o	Pseudolabrys
itr_1_surface_hi_coassembly_0_vamb_033	Pseudolabrys
PHTU-BTM_vamb_014	Pseudolabrys
PPRH-TOP_bin.41.s	Pseudolabrys
UT12-BTM_bin.1.o	Pseudolabrys
WLLO-BTM_bin.25.o	Pseudolabrys
WY09-TOP_vamb_003	Pseudolabrys
itr_1_subsoil_hi_coassembly_1_vamb_002	VAZQ01
itr_1_subsoil_hi_coassembly_3_vamb_036	VAZQ01
ORNL-TOP_bin.1.o	VAZQ01
TEAK-BTM_bin.3.o	VAZQ01
UT12-BTM_vamb_010	VAZQ01
OCTU-TOP_bin.25.o	Udaeobacter
PPRH-TOP_bin.21.o	Udaeobacter
TEAK-BTM_bin.1.o	Udaeobacter
UT12-BTM_bin.14.s	Udaeobacter
UT12-BTM_metabat2_013_sub	Udaeobacter
