cell_id	sample_id	stage	sequencing_batch	theiler_stage	evaluation_split
cell_00001	sample_77e457a6157d				holdout
cell_00002	sample_77e457a6157d				holdout
cell_00003	sample_77e457a6157d				holdout
cell_00004	sample_77e457a6157d				holdout
cell_00005	sample_77e457a6157d				holdout
cell_00006	sample_77e457a6157d				holdout
cell_00007	sample_77e457a6157d				holdout
cell_00008	sample_77e457a6157d				holdout
cell_00009	sample_77e457a6157d				holdout
cell_00010	sample_77e457a6157d				holdout
cell_00011	sample_77e457a6157d				holdout
cell_00012	sample_77e457a6157d				holdout
cell_00013	sample_77e457a6157d				holdout
cell_00014	sample_77e457a6157d				holdout
cell_00015	sample_77e457a6157d				holdout
cell_00016	sample_77e457a6157d				holdout
cell_00017	sample_77e457a6157d				holdout
cell_00018	sample_77e457a6157d				holdout
cell_00019	sample_77e457a6157d				holdout
cell_00020	sample_77e457a6157d				holdout
cell_00021	sample_e3d92c6fbac4	E7.5	batch_99e77b46b26f	TS11	training
cell_00022	sample_e3d92c6fbac4	E7.5	batch_99e77b46b26f	TS11	training
cell_00023	sample_e3d92c6fbac4	E7.5	batch_99e77b46b26f	TS11	training
cell_00024	sample_e3d92c6fbac4	E7.5	batch_99e77b46b26f	TS11	training
cell_00025	sample_e3d92c6fbac4	E7.5	batch_99e77b46b26f	TS11	training
cell_00026	sample_e3d92c6fbac4	E7.5	batch_99e77b46b26f	TS11	training
cell_00027	sample_e3d92c6fbac4	E7.5	batch_99e77b46b26f	TS11	training
cell_00028	sample_e3d92c6fbac4	E7.5	batch_99e77b46b26f	TS11	training
cell_00029	sample_e3d92c6fbac4	E7.5	batch_99e77b46b26f	TS11	training
cell_00030	sample_e3d92c6fbac4	E7.5	batch_99e77b46b26f	TS11	training
cell_00031	sample_8d2489277c6c	E7.5	batch_99e77b46b26f	TS11	training
cell_00032	sample_8d2489277c6c	E7.5	batch_99e77b46b26f	TS11	training
cell_00033	sample_8d2489277c6c	E7.5	batch_99e77b46b26f	TS11	training
cell_00034	sample_8d2489277c6c	E7.5	batch_99e77b46b26f	TS11	training
cell_00035	sample_8d2489277c6c	E7.5	batch_99e77b46b26f	TS11	training
cell_00036	sample_8d2489277c6c	E7.5	batch_99e77b46b26f	TS11	training
cell_00037	sample_8d2489277c6c	E7.5	batch_99e77b46b26f	TS11	training
cell_00038	sample_8d2489277c6c	E7.5	batch_99e77b46b26f	TS11	training
cell_00039	sample_8d2489277c6c	E7.5	batch_99e77b46b26f	TS11	training
cell_00040	sample_8d2489277c6c	E7.5	batch_99e77b46b26f	TS11	training
cell_00041	sample_8d2489277c6c	E7.5	batch_99e77b46b26f	TS11	training
cell_00042	sample_ee7252d4a464	E7.5	batch_99e77b46b26f	TS11	training
cell_00043	sample_ee7252d4a464	E7.5	batch_99e77b46b26f	TS11	training
cell_00044	sample_ee7252d4a464	E7.5	batch_99e77b46b26f	TS11	training
cell_00045	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00046	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00047	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00048	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00049	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00050	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00051	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00052	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00053	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00054	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00055	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00056	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00057	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00058	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00059	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00060	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00061	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00062	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00063	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00064	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00065	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00066	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00067	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00068	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00069	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00070	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00071	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00072	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00073	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00074	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00075	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00076	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00077	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00078	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00079	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00080	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00081	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00082	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00083	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00084	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00085	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00086	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00087	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
cell_00088	sample_b4c1d394086e	E6.5	batch_99e77b46b26f	TS9	training
