source_column,opaque_cell_id,source_cell_id
15,cell_00001,cell_15
34,cell_00002,cell_34
44,cell_00003,cell_44
92,cell_00004,cell_92
109,cell_00005,cell_109
110,cell_00006,cell_110
128,cell_00007,cell_128
136,cell_00008,cell_136
141,cell_00009,cell_141
163,cell_00010,cell_163
170,cell_00011,cell_170
173,cell_00012,cell_173
193,cell_00013,cell_193
206,cell_00014,cell_206
258,cell_00015,cell_258
268,cell_00016,cell_268
316,cell_00017,cell_316
329,cell_00018,cell_329
352,cell_00019,cell_352
356,cell_00020,cell_356
388,cell_00021,cell_388
436,cell_00022,cell_436
446,cell_00023,cell_446
492,cell_00024,cell_492
496,cell_00025,cell_496
541,cell_00026,cell_541
563,cell_00027,cell_563
566,cell_00028,cell_566
619,cell_00029,cell_619
633,cell_00030,cell_633
745,cell_00031,cell_745
785,cell_00032,cell_785
818,cell_00033,cell_818
824,cell_00034,cell_824
831,cell_00035,cell_831
847,cell_00036,cell_847
1043,cell_00037,cell_1043
1090,cell_00038,cell_1090
1109,cell_00039,cell_1109
1145,cell_00040,cell_1145
1169,cell_00041,cell_1169
1201,cell_00042,cell_1201
1353,cell_00043,cell_1353
1421,cell_00044,cell_1421
1458,cell_00045,cell_1458
1471,cell_00046,cell_1471
1472,cell_00047,cell_1472
1478,cell_00048,cell_1478
1482,cell_00049,cell_1482
1488,cell_00050,cell_1488
1496,cell_00051,cell_1496
1499,cell_00052,cell_1499
1516,cell_00053,cell_1516
1520,cell_00054,cell_1520
1522,cell_00055,cell_1522
1529,cell_00056,cell_1529
1535,cell_00057,cell_1535
1557,cell_00058,cell_1557
1565,cell_00059,cell_1565
1566,cell_00060,cell_1566
1567,cell_00061,cell_1567
1576,cell_00062,cell_1576
1600,cell_00063,cell_1600
1602,cell_00064,cell_1602
1605,cell_00065,cell_1605
1615,cell_00066,cell_1615
1647,cell_00067,cell_1647
1676,cell_00068,cell_1676
1678,cell_00069,cell_1678
1689,cell_00070,cell_1689
1693,cell_00071,cell_1693
1709,cell_00072,cell_1709
1711,cell_00073,cell_1711
1731,cell_00074,cell_1731
1753,cell_00075,cell_1753
1767,cell_00076,cell_1767
1774,cell_00077,cell_1774
1775,cell_00078,cell_1775
1864,cell_00079,cell_1864
1865,cell_00080,cell_1865
1871,cell_00081,cell_1871
1902,cell_00082,cell_1902
1923,cell_00083,cell_1923
1925,cell_00084,cell_1925
1951,cell_00085,cell_1951
1963,cell_00086,cell_1963
1975,cell_00087,cell_1975
2014,cell_00088,cell_2014
2030,cell_00089,cell_2030
2054,cell_00090,cell_2054
2080,cell_00091,cell_2080
2133,cell_00092,cell_2133
2206,cell_00093,cell_2206
2233,cell_00094,cell_2233
2253,cell_00095,cell_2253
2258,cell_00096,cell_2258
2259,cell_00097,cell_2259
2263,cell_00098,cell_2263
2291,cell_00099,cell_2291
2302,cell_00100,cell_2302
2343,cell_00101,cell_2343
2351,cell_00102,cell_2351
2358,cell_00103,cell_2358
2363,cell_00104,cell_2363
2376,cell_00105,cell_2376
2387,cell_00106,cell_2387
2398,cell_00107,cell_2398
2409,cell_00108,cell_2409
2422,cell_00109,cell_2422
2428,cell_00110,cell_2428
2457,cell_00111,cell_2457
2474,cell_00112,cell_2474
2480,cell_00113,cell_2480
2484,cell_00114,cell_2484
2490,cell_00115,cell_2490
2510,cell_00116,cell_2510
2539,cell_00117,cell_2539
2549,cell_00118,cell_2549
2574,cell_00119,cell_2574
2578,cell_00120,cell_2578
2617,cell_00121,cell_2617
2620,cell_00122,cell_2620
2621,cell_00123,cell_2621
2644,cell_00124,cell_2644
2648,cell_00125,cell_2648
2658,cell_00126,cell_2658
2791,cell_00127,cell_2791
2886,cell_00128,cell_2886
2924,cell_00129,cell_2924
2955,cell_00130,cell_2955
3022,cell_00131,cell_3022
3196,cell_00132,cell_3196
3235,cell_00133,cell_3235
3353,cell_00134,cell_3353
3410,cell_00135,cell_3410
3495,cell_00136,cell_3495
3669,cell_00137,cell_3669
3726,cell_00138,cell_3726
3759,cell_00139,cell_3759
3774,cell_00140,cell_3774
3891,cell_00141,cell_3891
3987,cell_00142,cell_3987
3999,cell_00143,cell_3999
4036,cell_00144,cell_4036
4163,cell_00145,cell_4163
4174,cell_00146,cell_4174
4455,cell_00147,cell_4455
4480,cell_00148,cell_4480
4492,cell_00149,cell_4492
4511,cell_00150,cell_4511
4514,cell_00151,cell_4514
4542,cell_00152,cell_4542
4759,cell_00153,cell_4759
4777,cell_00154,cell_4777
4861,cell_00155,cell_4861
4959,cell_00156,cell_4959
4970,cell_00157,cell_4970
5006,cell_00158,cell_5006
5072,cell_00159,cell_5072
5107,cell_00160,cell_5107
5156,cell_00161,cell_5156
5191,cell_00162,cell_5191
5275,cell_00163,cell_5275
5462,cell_00164,cell_5462
