accession,assembly_accession,base_count,first_public,set_fasta_ftp
CAADSF010000000,GCA_900751035,2586855,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSF01.fasta.gz
CAADSM010000000,GCA_900751785,2841260,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSM01.fasta.gz
CAADSN010000000,GCA_900751725,2510931,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSN01.fasta.gz
CAADSO010000000,GCA_900751715,1201526,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSO01.fasta.gz
CAADSP010000000,GCA_900751755,1980681,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSP01.fasta.gz
CAADSQ010000000,GCA_900751765,1711650,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSQ01.fasta.gz
CAADSR010000000,GCA_900751685,2829767,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSR01.fasta.gz
CAADSS010000000,GCA_900751695,1892407,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSS01.fasta.gz
CAADST010000000,GCA_900751815,1122901,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADST01.fasta.gz
CAADSU010000000,GCA_900751745,1845276,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSU01.fasta.gz
CAADSV010000000,GCA_900751665,1798691,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSV01.fasta.gz
CAADSW010000000,GCA_900751825,1783287,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSW01.fasta.gz
CAADSX010000000,GCA_900751795,2064493,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSX01.fasta.gz
CAADSY010000000,GCA_900751805,1406978,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSY01.fasta.gz
CAADSZ010000000,GCA_900751705,1829821,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADSZ01.fasta.gz
CAADTA010000000,GCA_900751735,1781439,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTA01.fasta.gz
CAADTB010000000,GCA_900751675,1597011,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTB01.fasta.gz
CAADTC010000000,GCA_900751835,1711809,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTC01.fasta.gz
CAADTD010000000,GCA_900751845,2053291,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTD01.fasta.gz
CAADTE010000000,GCA_900751855,3434558,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTE01.fasta.gz
CAADTF010000000,GCA_900751875,1990853,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTF01.fasta.gz
CAADTG010000000,GCA_900751865,2590254,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTG01.fasta.gz
CAADTH010000000,GCA_900751885,2614111,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTH01.fasta.gz
CAADTI010000000,GCA_900751905,2205691,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTI01.fasta.gz
CAADTJ010000000,GCA_900751915,2196152,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTJ01.fasta.gz
CAADTK010000000,GCA_900751925,1692077,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTK01.fasta.gz
CAADTL010000000,GCA_900751935,1891929,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTL01.fasta.gz
CAADTM010000000,GCA_900751985,1940430,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTM01.fasta.gz
CAADTN010000000,GCA_900751975,1475440,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTN01.fasta.gz
CAADTO010000000,GCA_900751955,1862227,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTO01.fasta.gz
CAADTP010000000,GCA_900751995,2011182,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTP01.fasta.gz
CAADTQ010000000,GCA_900751945,4534733,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTQ01.fasta.gz
CAADTR010000000,GCA_900751965,2930601,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTR01.fasta.gz
CAADTS010000000,GCA_900751775,1441901,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTS01.fasta.gz
CAADTT010000000,GCA_900752065,2760146,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTT01.fasta.gz
CAADTU010000000,GCA_900752055,2079622,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTU01.fasta.gz
CAADTV010000000,GCA_900752035,2817847,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTV01.fasta.gz
CAADTW010000000,GCA_900752025,2521839,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTW01.fasta.gz
CAADTX010000000,GCA_900752005,1545398,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTX01.fasta.gz
CAADTY010000000,GCA_900752045,1293738,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTY01.fasta.gz
CAADTZ010000000,GCA_900752015,2070579,2019-04-04,ftp.ebi.ac.uk/pub/databases/ena/wgs/public/caa/CAADTZ01.fasta.gz
