opaque_genome_id,assembly_bases,contig_count
genome_0001,2230274,205
genome_0002,1757757,896
genome_0003,2345060,695
genome_0004,2164229,71
genome_0005,1818087,297
genome_0006,4467273,404
genome_0007,1714598,143
genome_0008,2052370,161
genome_0009,2336963,463
genome_0010,2762977,96
genome_0011,2182240,229
genome_0012,1945312,19
genome_0013,2790277,128
genome_0014,1434351,737
genome_0015,1611913,995
genome_0016,3076540,290
genome_0017,1089350,87
genome_0018,1884710,91
genome_0019,1799673,48
genome_0020,2494389,144
genome_0021,1945949,1142
genome_0022,2560469,106
genome_0023,4292166,171
genome_0024,1246239,695
genome_0025,1034002,435
genome_0026,1309654,58
genome_0027,2741496,50
genome_0028,1852213,172
genome_0029,2189446,202
genome_0030,2108707,263
genome_0031,1815915,35
genome_0032,1959654,214
genome_0033,1671920,88
genome_0034,1592702,1107
genome_0035,4966821,391
genome_0036,2340864,1235
genome_0037,2202759,98
genome_0038,1789928,155
genome_0039,1336159,35
genome_0040,2733880,523
genome_0041,927667,14
genome_0042,1822872,286
genome_0043,1990943,65
genome_0044,1501142,34
genome_0045,1195193,623
genome_0046,2111721,63
genome_0047,1901334,176
genome_0048,1906682,504
genome_0049,2631735,95
genome_0050,3916675,475
genome_0051,3009382,127
genome_0052,1201488,665
genome_0053,2655612,243
genome_0054,1533946,981
genome_0055,1927638,608
genome_0056,1989319,424
genome_0057,2608523,188
genome_0058,2451525,184
genome_0059,2770084,168
genome_0060,1644912,374
genome_0061,1557681,288
genome_0062,1690407,90
genome_0063,1791909,66
genome_0064,2027306,185
genome_0065,5511723,168
genome_0066,2713415,74
genome_0067,3588087,335
genome_0068,2560056,73
genome_0069,1065599,73
genome_0070,1610020,19
genome_0071,1382390,434
genome_0072,1972106,32
genome_0073,1612608,94
genome_0074,2438052,232
genome_0075,1446620,443
genome_0076,5370364,142
genome_0077,2475226,402
genome_0078,1366175,684
genome_0079,1489632,149
genome_0080,1782337,676
genome_0081,1499737,778
genome_0082,1992367,130
genome_0083,1994014,212
genome_0084,2225759,118
genome_0085,2237307,196
genome_0086,845404,8
genome_0087,2333717,341
genome_0088,2254725,190
genome_0089,2213098,46
genome_0090,2817847,27
genome_0091,2121528,203
genome_0092,1593504,229
genome_0093,2029050,84
genome_0094,3122796,112
genome_0095,2443011,221
genome_0096,1396726,86
genome_0097,2122364,56
genome_0098,1656797,468
genome_0099,2531903,626
genome_0100,1411846,104
genome_0101,1593907,225
genome_0102,2144695,30
genome_0103,1670555,467
genome_0104,1321435,37
genome_0105,1870220,109
genome_0106,4489982,696
genome_0107,852144,212
genome_0108,3467400,299
genome_0109,1327981,674
genome_0110,2261924,571
genome_0111,1461047,535
genome_0112,1875646,567
genome_0113,1425761,271
genome_0114,2259143,1291
genome_0115,1513927,420
genome_0116,1951098,79
genome_0117,1678963,121
genome_0118,2616282,156
genome_0119,1468603,21
genome_0120,2035882,226
genome_0121,1643249,1084
genome_0122,1863307,252
genome_0123,2462692,410
genome_0124,1551265,753
genome_0125,2490463,62
genome_0126,1580542,801
genome_0127,3032937,191
genome_0128,2758624,272
genome_0129,2816865,237
genome_0130,1650713,334
genome_0131,2831136,210
genome_0132,1773988,187
genome_0133,1910658,52
genome_0134,3926186,190
genome_0135,2929004,907
genome_0136,876958,504
genome_0137,5238504,324
genome_0138,2698483,135
genome_0139,1103913,546
genome_0140,1985183,46
genome_0141,2335712,271
genome_0142,2334653,236
genome_0143,1921750,45
genome_0144,1638400,752
genome_0145,2651208,469
genome_0146,1699555,380
genome_0147,2394569,160
genome_0148,1843311,441
genome_0149,2368871,226
genome_0150,2029399,57
genome_0151,1592705,290
genome_0152,3891165,182
genome_0153,3223708,239
genome_0154,1914287,108
genome_0155,1544571,32
genome_0156,2207390,49
genome_0157,3628619,160
genome_0158,2253080,441
genome_0159,1533043,219
genome_0160,1653229,539
genome_0161,1515125,27
genome_0162,966058,54
genome_0163,1131875,243
genome_0164,2232250,441
genome_0165,2206626,153
genome_0166,1922818,75
genome_0167,2025980,118
genome_0168,1121428,46
genome_0169,1500784,412
genome_0170,2093302,1459
genome_0171,2413500,263
genome_0172,1502062,303
genome_0173,2548321,398
genome_0174,2233925,81
genome_0175,2595353,276
genome_0176,1755865,1068
genome_0177,6204587,145
genome_0178,2411528,1340
genome_0179,2087737,1142
genome_0180,2003391,61
genome_0181,1976528,302
genome_0182,1534540,661
genome_0183,3104477,106
genome_0184,2706525,52
genome_0185,3747359,85
genome_0186,1720499,228
genome_0187,2205758,313
genome_0188,1236729,305
genome_0189,2505589,577
genome_0190,2046042,484
genome_0191,1816282,258
genome_0192,974116,666
genome_0193,1465303,278
genome_0194,2173257,157
genome_0195,2161515,558
genome_0196,1158838,329
genome_0197,1019639,171
genome_0198,2342548,100
genome_0199,2010280,71
genome_0200,2024069,90
genome_0201,1930821,322
genome_0202,2851904,65
genome_0203,1966624,132
genome_0204,2606128,332
genome_0205,2916936,1151
genome_0206,1884191,179
genome_0207,1755005,70
genome_0208,4431252,619
genome_0209,6569749,690
genome_0210,5080781,100
genome_0211,2543507,305
genome_0212,2378747,452
genome_0213,1937452,268
genome_0214,1859887,861
genome_0215,1222957,636
genome_0216,2209867,288
genome_0217,1884431,77
genome_0218,3021118,204
genome_0219,1871841,319
genome_0220,1635510,658
genome_0221,1601557,454
genome_0222,1476957,96
genome_0223,1280127,489
genome_0224,4776778,224
genome_0225,1644696,9
genome_0226,1324289,726
genome_0227,1395766,222
genome_0228,825696,257
genome_0229,3560998,806
genome_0230,1262402,573
genome_0231,1974515,84
genome_0232,2516799,237
genome_0233,2089406,174
genome_0234,2131277,261
genome_0235,8296673,633
genome_0236,1599705,157
genome_0237,1004765,468
genome_0238,2015725,37
genome_0239,1218789,596
genome_0240,2091161,756
genome_0241,1268845,216
genome_0242,1491764,144
genome_0243,3315090,236
genome_0244,2624579,157
genome_0245,1432530,171
genome_0246,1623267,346
genome_0247,2857950,192
genome_0248,3018511,484
genome_0249,1972458,258
genome_0250,1970705,107
genome_0251,2699357,191
genome_0252,1684863,105
genome_0253,2572979,144
genome_0254,2197709,304
genome_0255,663937,463
genome_0256,2208325,80
