opaque_genome_id,accession,assembly_accession,source_md5
genome_0001,CAAEPG010000000,GCA_900757855,835aa48b4cf388dd12681a7236040dd1
genome_0002,CAAFXI010000000,GCA_900766935,cc8359d0c73d0a6a6cf6ee773fe86ddb
genome_0003,CAAGJX010000000,GCA_900770235,3e1af6b4042667836a8678d8b1f5339c
genome_0004,CAAEMT010000000,GCA_900757145,7307f39a6eab5e8fc12cc4551785914e
genome_0005,CAAFUD010000000,GCA_900766125,e8ffe1cc01ea94cf1e64b65b0397a6bb
genome_0006,CAAGKF010000000,GCA_900770345,a9701eef2c7c0132af1255aa53ec7663
genome_0007,CAAECN010000000,GCA_900754315,792f79ef5623b1c96e31b36a6171eac1
genome_0008,CAAGGA010000000,GCA_900769275,5efa5317240ac81fbe0db0348dc4077d
genome_0009,CAAGLU010000000,GCA_900770865,25ed486a2f112861d7383ac784e23c57
genome_0010,CAAELM010000000,GCA_900756835,b88055958e94b350f27372c441f3f5bf
genome_0011,CAAEEP010000000,GCA_900754925,c8282662e95a2d1cd45374df1e62c5e6
genome_0012,CAAEKV010000000,GCA_900756645,7a06351bd4bca0b0eaf0ed0634520c0e
genome_0013,CAAFUL010000000,GCA_900766185,2541117b8b880ec96f3f2cb106bd880e
genome_0014,CAADZT010000000,GCA_900753595,24fb2d0117b999c18a750660d07f0183
genome_0015,CAAGOA010000000,GCA_900771455,75e29015605e4ae7332665dd88f05cb6
genome_0016,CAAGIR010000000,GCA_900769975,632f954ac2334bdcaf9a98ffc31a1a60
genome_0017,CAAGFR010000000,GCA_900769185,b165ea414a35385cd0e3781ea67b568e
genome_0018,CAAEIK010000000,GCA_900755955,8221893a18ea8d9fb74c6f289040f05a
genome_0019,CAAEYN010000000,GCA_900760295,48b0cac64e3897c752297a67aa8e03ce
genome_0020,CAADXI010000000,GCA_900752965,3a800c9fdcc5a797b3aeb7a5580ccae6
genome_0021,CAAEBF010000000,GCA_900754025,b6e0e91c15487d7daa7ceeeb6e3c406c
genome_0022,CAAEBL010000000,GCA_900754105,1a7a538a9ad50020136f752af6dc7596
genome_0023,CAAFAD010000000,GCA_900760565,850c308d09b0d7d39c9263dadf711ee5
genome_0024,CAADWG010000000,GCA_900752675,63a8ec3aba48299513bc9c40bd86821a
genome_0025,CAAFLR010000000,GCA_900763775,37aef2b7c7fb503b70781c67526c69b9
genome_0026,CAAGAR010000000,GCA_900767855,a1c25a34c5365e0ae6f20fd785af04b1
genome_0027,CAAGHS010000000,GCA_900769725,daf5b415c5577020abdd32e54a5a47bc
genome_0028,CAAGDK010000000,GCA_900768575,231aee50400a7e4b170bf84467f6c227
genome_0029,CAAGRW010000000,GCA_900772775,dd9f4488ed442ed079f594c34d5d6340
genome_0030,CAAEDC010000000,GCA_900754495,ad04b9850772c506673b625ef18b877a
genome_0031,CAAFUR010000000,GCA_900766245,7e224852e088e97c8f0af6edfb46ed75
genome_0032,CAAENU010000000,GCA_900757415,ffd0f3af565102b4bb60bcb5eb08e16d
genome_0033,CAAFCH010000000,GCA_900761295,35127838a74ea7c6e00b3fd6a5f0d39d
genome_0034,CAAGDM010000000,GCA_900768605,4b4879d3f378b573836a87419d2fb528
genome_0035,CAAFBA010000000,GCA_900760955,c49d19f9491c255a7701afb809dfab2c
genome_0036,CAAFFM010000000,GCA_900762135,e99f165202d61779e8884975c359f5ba
genome_0037,CAAELF010000000,GCA_900756745,480944e23d8f668cf0b85b706679812d
genome_0038,CAAFYX010000000,GCA_900767375,3fbc7426f54ca25ef8990ec8c6a9583e
genome_0039,CAAGCO010000000,GCA_900768345,cc3a1b1c43d9912cbdcd22f9a54d482a
